FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-09 00:00:00.000000,0.01168377,0.02865703,0.14218009,11,28,139,3,8,25,0.00348281,0.00867451,0.02647186,0.58737053,0.85722427,1.01506810
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-10 00:00:00.000000,0.01269240,0.02853699,0.14499758,12,27,142,4,9,27,0.00461456,0.00941277,0.02839494,0.58734961,0.85726867,1.01506491
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-11 00:00:00.000000,0.01350559,0.03012951,0.14492601,13,29,142,4,9,29,0.00504104,0.00980139,0.02970311,0.58730722,0.85734960,1.01505824
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-12 00:00:00.000000,0.01463058,0.03306606,0.14828171,14,32,145,5,10,31,0.00556458,0.01053295,0.03187435,0.58722142,0.85749692,1.01504402
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-13 00:00:00.000000,0.01554754,0.03523291,0.14971882,15,34,146,5,10,32,0.00596688,0.01104327,0.03354861,0.58704802,0.85754589,1.01501312
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-14 00:00:00.000000,0.01685803,0.03861460,0.15377872,16,37,150,6,11,35,0.00649140,0.01164735,0.03625796,0.58669894,0.85687918,1.01494460
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-15 00:00:00.000000,0.01780240,0.04129285,0.15740736,17,40,154,6,11,40,0.00687595,0.01224124,0.04098290,0.58600128,0.85719911,1.01412566
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-16 00:00:00.000000,0.01950224,0.04377688,0.16207125,19,42,158,7,12,42,0.00729309,0.01324107,0.04340816,0.58245642,0.85349491,1.01007438
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-17 00:00:00.000000,0.01988309,0.04595098,0.16700875,19,45,163,7,13,44,0.00783151,0.01403525,0.04539196,0.58088368,0.84741453,1.01170675
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-18 00:00:00.000000,0.02171490,0.04948617,0.17344626,21,48,169,7,14,47,0.00810090,0.01490702,0.04835700,0.57481877,0.83418683,1.00754393
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-19 00:00:00.000000,0.02254219,0.05254453,0.17910045,22,51,175,8,15,51,0.00847277,0.01589370,0.05276788,0.56060227,0.83665423,1.00579263
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-20 00:00:00.000000,0.02486594,0.05594073,0.18493006,24,54,181,8,16,56,0.00871962,0.01693253,0.05779650,0.54870537,0.85139412,0.98938916
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-21 00:00:00.000000,0.02612399,0.05878615,0.19073819,25,57,186,8,17,60,0.00898502,0.01770859,0.06178679,0.53329252,0.86030998,0.97689996
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-22 00:00:00.000000,0.02781275,0.06229844,0.19619137,27,61,192,9,18,64,0.00928255,0.01879694,0.06543787,0.52397043,0.82441610,0.99049784
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-23 00:00:00.000000,0.02836190,0.06474242,0.20172120,27,63,197,9,19,67,0.00961490,0.01998277,0.06928254,0.51848260,0.78039828,1.02326114
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-24 00:00:00.000000,0.03245430,0.06807054,0.21073660,31,66,206,10,21,71,0.01026042,0.02157093,0.07335130,0.50345023,0.77075542,1.04101515
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-25 00:00:00.000000,0.02972754,0.07139750,0.21545359,29,69,211,10,22,76,0.01040013,0.02323318,0.07769872,0.50016670,0.77442655,1.05045555
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-26 00:00:00.000000,0.03686772,0.07836185,0.22053862,36,76,216,11,24,80,0.01138942,0.02525215,0.08237810,0.48703190,0.79570790,1.05070201
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-27 00:00:00.000000,0.03203326,0.08467565,0.22615711,31,82,221,11,26,85,0.01138712,0.02716551,0.08738721,0.46993629,0.80175145,1.03789925
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-28 00:00:00.000000,0.04050268,0.09167544,0.23228523,39,89,227,12,27,91,0.01235132,0.02829579,0.09306181,0.44035466,0.79109640,0.99575070
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-29 00:00:00.000000,0.03537341,0.09848516,0.23888022,34,96,234,12,29,97,0.01276733,0.02976683,0.09949411,0.41490483,0.78547440,1.01263843
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-30 00:00:00.000000,0.04449365,0.10444005,0.24559673,43,102,240,13,30,104,0.01348648,0.03090090,0.10613576,0.41080607,0.75487939,1.02938831
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-03-31 00:00:00.000000,0.03878573,0.10956197,0.25273448,38,107,247,13,31,110,0.01416865,0.03189980,0.11303429,0.39257851,0.70914318,1.03448477
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-04-01 00:00:00.000000,0.04723490,0.11418441,0.26039407,46,111,255,14,32,117,0.01469803,0.03284809,0.12025154,0.38055398,0.68078902,1.02721814
45057,0,USSouthCarolinaLancaster,South Carolina,Lancaster,2020-07-13 08:02:55.455108,2020-04-02 00:00:00.000000,0.04180997,0.11776955,0.26782000,40,115,262,14,33,123,0.01514968,0.03377258,0.12636373,0.36936496,0.66875866,0.98374007
