FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-09 00:00:00.000000,0.00145794,0.00752311,0.02427424,0,5,16,0,2,8,0.00051642,0.00327312,0.01236689,0.41307548,0.57273834,0.77102430
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-10 00:00:00.000000,0.00132551,0.00702659,0.02407114,0,4,16,0,2,8,0.00058698,0.00355602,0.01197092,0.41307581,0.57160721,0.76955889
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-11 00:00:00.000000,0.00132898,0.00727241,0.02426526,0,4,16,0,2,8,0.00061409,0.00375541,0.01256084,0.41307629,0.57020247,0.76651128
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-12 00:00:00.000000,0.00135074,0.00744487,0.02448057,0,5,16,0,2,8,0.00070455,0.00403274,0.01318164,0.41307700,0.56860714,0.76436853
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-13 00:00:00.000000,0.00137659,0.00786689,0.02588571,0,5,17,0,2,9,0.00076372,0.00424660,0.01383022,0.41307801,0.56838889,0.76436385
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-14 00:00:00.000000,0.00140328,0.00800201,0.02788244,0,5,18,0,2,9,0.00078623,0.00443853,0.01451095,0.41307941,0.56780617,0.76435162
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-15 00:00:00.000000,0.00143014,0.00828243,0.03004398,0,5,20,0,3,10,0.00080971,0.00453733,0.01522526,0.41308124,0.56658701,0.76431975
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-16 00:00:00.000000,0.00388807,0.01090299,0.03649034,2,7,24,0,3,10,0.00083395,0.00455711,0.01597504,0.41308338,0.56474289,0.76423771
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-17 00:00:00.000000,0.00566197,0.01318533,0.04288805,3,8,28,0,3,12,0.00141643,0.00587019,0.01845671,0.41308428,0.55982444,0.76403430
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-18 00:00:00.000000,0.00688617,0.01566954,0.04926373,4,10,33,1,4,13,0.00209751,0.00707735,0.01956357,0.41306615,0.55422363,0.75471331
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-19 00:00:00.000000,0.00837041,0.01790740,0.05544635,5,12,37,1,5,15,0.00290039,0.00832665,0.02238614,0.41200298,0.54757002,0.74530563
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-20 00:00:00.000000,0.00932997,0.02117461,0.06232197,6,14,42,2,6,18,0.00350501,0.00985344,0.02802308,0.38139582,0.53467622,0.76493817
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-21 00:00:00.000000,0.01029113,0.02409685,0.07427077,6,16,50,2,7,22,0.00408251,0.01070339,0.03323399,0.35522922,0.50917794,0.76530914
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-22 00:00:00.000000,0.01123401,0.02665511,0.08270402,7,17,55,3,8,26,0.00478708,0.01236698,0.03873925,0.30076001,0.49379923,0.76507946
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-23 00:00:00.000000,0.01207744,0.02904339,0.08474115,8,19,57,3,9,28,0.00510853,0.01392936,0.04279634,0.30033092,0.47952660,0.76332305
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-24 00:00:00.000000,0.01372258,0.03269806,0.08564791,9,22,57,4,10,29,0.00656180,0.01560563,0.04397964,0.29965162,0.46535083,0.73520704
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-25 00:00:00.000000,0.01427855,0.03513654,0.08474058,9,23,57,5,11,32,0.00791552,0.01739499,0.04853536,0.29417372,0.44926731,0.72021780
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-26 00:00:00.000000,0.01468689,0.03738476,0.08755102,9,25,59,5,12,36,0.00851461,0.01910993,0.05385206,0.28346375,0.44181327,0.72692070
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-27 00:00:00.000000,0.01501633,0.03999866,0.09069971,10,26,61,5,13,39,0.00881470,0.02025141,0.05922260,0.26956860,0.43633383,0.71837692
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-28 00:00:00.000000,0.01541420,0.04212164,0.09905877,10,28,66,6,14,43,0.00907173,0.02200186,0.06411207,0.26503412,0.43287327,0.71352468
45059,0,USSouthCarolinaLaurens,South Carolina,Laurens,2020-09-29 01:38:12.580028,2020-03-29 00:00:00.000000,0.01593359,0.04358875,0.11449414,10,29,77,6,16,47,0.00937832,0.02377718,0.06972221,0.24995309,0.42770485,0.61798606
