FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-09 00:00:00.000000,0.00423095,0.00779285,0.01569629,3,6,13,0,1,3,0.00042148,0.00193585,0.00375696,0.53334670,0.73297435,0.94259959
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-10 00:00:00.000000,0.00470685,0.01029599,0.01765310,4,8,15,0,2,4,0.00065783,0.00241993,0.00552572,0.53334422,0.73297401,0.94258255
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-11 00:00:00.000000,0.00591897,0.01283325,0.02124198,5,11,18,1,2,7,0.00118395,0.00301081,0.00841608,0.53334053,0.73297322,0.94254084
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-12 00:00:00.000000,0.00720702,0.01520324,0.02802542,6,13,24,1,3,9,0.00154506,0.00367145,0.01054212,0.53333504,0.73297141,0.94244040
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-13 00:00:00.000000,0.00857247,0.01799190,0.03514937,7,15,30,1,3,12,0.00198012,0.00443198,0.01435349,0.53332694,0.73296715,0.94220827
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-14 00:00:00.000000,0.01004448,0.02068333,0.04037691,8,17,34,2,4,15,0.00247185,0.00505341,0.01797139,0.52876605,0.73295688,0.94171901
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-15 00:00:00.000000,0.01138874,0.02356544,0.04584768,9,20,39,2,5,18,0.00284898,0.00597236,0.02132883,0.52773709,0.73393304,0.92797219
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-16 00:00:00.000000,0.01432999,0.02717126,0.05047627,12,23,43,2,5,21,0.00323865,0.00688562,0.02479614,0.52658278,0.73391142,0.94218037
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-17 00:00:00.000000,0.01652027,0.03093149,0.05542032,14,26,47,3,6,22,0.00415652,0.00773126,0.02592800,0.51941411,0.73241290,0.94214386
45075,0,USSouthCarolinaOrangeburg,South Carolina,Orangeburg,2020-08-31 15:35:15.431779,2020-03-18 00:00:00.000000,0.01882879,0.03472506,0.06503202,16,29,56,3,7,25,0.00462156,0.00874730,0.02953123,0.50586819,0.73106400,0.94121636
