FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-09 00:00:00.000000,0.02294095,0.08216882,0.20320672,2,7,18,0,3,10,0.00924327,0.03264359,0.11799057,0.42916799,0.61920122,0.82627769
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-10 00:00:00.000000,0.01893178,0.06849896,0.20234789,1,6,18,0,3,9,0.01061612,0.03383823,0.09951720,0.42916283,0.61920101,0.82627492
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-11 00:00:00.000000,0.01886729,0.06501571,0.18477200,1,6,17,0,2,9,0.00836161,0.03103964,0.09721303,0.42915151,0.61920015,0.82626986
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-12 00:00:00.000000,0.01681305,0.05674554,0.17454354,1,5,16,0,2,8,0.00745787,0.02679551,0.08925256,0.42912522,0.61919652,0.82626024
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-13 00:00:00.000000,0.01396085,0.05351951,0.16180483,1,4,15,0,2,7,0.00687200,0.02420979,0.08478591,0.42906010,0.61918106,0.82624130
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-14 00:00:00.000000,0.01254027,0.04885124,0.15125439,1,4,14,0,2,7,0.00581280,0.02205924,0.08080743,0.42890426,0.61911513,0.82620285
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-15 00:00:00.000000,0.01129385,0.04436307,0.14399473,1,4,13,0,1,7,0.00456438,0.02019035,0.07697721,0.42856478,0.61883595,0.82612216
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-16 00:00:00.000000,0.02044800,0.05226066,0.14355527,1,4,13,0,1,6,0.00362733,0.01847219,0.07033905,0.41325066,0.61769783,0.82594653
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-17 00:00:00.000000,0.02577947,0.06270232,0.16212522,2,5,15,0,2,8,0.01001662,0.02815002,0.08690584,0.39540796,0.61035825,0.82554644
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-18 00:00:00.000000,0.03115117,0.07818166,0.15917693,2,7,14,1,3,8,0.01223245,0.03613217,0.09180781,0.37361011,0.60833335,0.82458626
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-19 00:00:00.000000,0.03430675,0.08694011,0.20539342,3,8,19,1,3,9,0.01420638,0.04151394,0.10742913,0.36085353,0.60291686,0.80651720
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-20 00:00:00.000000,0.03693695,0.09617226,0.23594689,3,8,21,1,4,11,0.01573946,0.04821284,0.11921468,0.35571696,0.59499179,0.80795965
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-21 00:00:00.000000,0.03885276,0.10651555,0.25168825,3,9,23,1,4,11,0.01667610,0.05163921,0.12777380,0.35396849,0.57414795,0.81419202
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-22 00:00:00.000000,0.04034948,0.11307593,0.26611348,3,10,24,1,5,12,0.01664904,0.05629722,0.13562501,0.35290747,0.56224629,0.80670057
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-23 00:00:00.000000,0.04766463,0.12164423,0.26671860,4,11,24,1,5,13,0.01664008,0.06025734,0.14375938,0.35236686,0.54646983,0.83979505
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-24 00:00:00.000000,0.04779627,0.12002290,0.26501202,4,11,24,1,5,13,0.01734472,0.06128887,0.13991689,0.35229626,0.53005490,0.84477979
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-25 00:00:00.000000,0.04444729,0.12490756,0.27174753,4,11,25,1,5,12,0.01614548,0.06289519,0.13854060,0.35225215,0.51342505,0.81178571
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-26 00:00:00.000000,0.04523609,0.12551404,0.29280853,4,11,27,1,5,14,0.01582624,0.06401101,0.15287911,0.32337554,0.50573902,0.77217434
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-27 00:00:00.000000,0.04465263,0.12206886,0.31716736,4,11,29,1,6,15,0.01548414,0.06651394,0.16894236,0.31892665,0.49196412,0.74485950
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-28 00:00:00.000000,0.04348365,0.12042451,0.33729249,4,11,31,1,6,16,0.01507132,0.06524839,0.18075663,0.30072259,0.47210263,0.76752164
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-29 00:00:00.000000,0.04228065,0.12075759,0.35400269,3,11,32,1,6,17,0.01465802,0.06497734,0.19041008,0.29450864,0.46120826,0.77189437
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-30 00:00:00.000000,0.04992523,0.12925360,0.33792453,4,12,31,1,5,18,0.01425651,0.06281511,0.19845948,0.28046249,0.45640059,0.73214894
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-03-31 00:00:00.000000,0.05644538,0.13153895,0.32939729,5,12,30,2,6,16,0.02462073,0.06703274,0.17835867,0.24814791,0.45233720,0.71811382
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-01 00:00:00.000000,0.05409175,0.13570392,0.31839184,5,12,29,2,6,15,0.02396791,0.06692974,0.17014581,0.24631308,0.43513196,0.70550747
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-02 00:00:00.000000,0.05214783,0.14272122,0.30752322,4,13,28,2,6,15,0.02306826,0.06803366,0.16368863,0.24498085,0.43088905,0.68944593
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-03 00:00:00.000000,0.05053015,0.14766081,0.30045004,4,13,27,2,6,14,0.02235951,0.06869011,0.15460096,0.24372896,0.42985112,0.68156455
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-04 00:00:00.000000,0.04912909,0.14975477,0.29426887,4,13,27,2,6,14,0.02168474,0.06942243,0.15821730,0.23493298,0.42436571,0.65499661
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-05 00:00:00.000000,0.04792463,0.15006936,0.28821511,4,13,26,1,6,14,0.02114442,0.07031307,0.15569966,0.24551274,0.41899708,0.62785917
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-06 00:00:00.000000,0.05662016,0.14274477,0.29140191,5,13,27,1,6,14,0.02070743,0.07112346,0.15259607,0.25383597,0.41546383,0.62601934
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-07 00:00:00.000000,0.05962535,0.14396761,0.30383724,5,13,28,2,6,14,0.02348205,0.06837676,0.15598075,0.25759497,0.41268568,0.61853855
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-08 00:00:00.000000,0.06224953,0.14283274,0.30205882,5,13,28,2,6,14,0.02191498,0.07272195,0.15920748,0.25897677,0.41275452,0.61299618
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-09 00:00:00.000000,0.06714313,0.14493318,0.30617038,6,13,28,2,6,15,0.02498380,0.07277304,0.16225874,0.25891840,0.41148870,0.59495063
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-10 00:00:00.000000,0.06630561,0.15234689,0.31139270,6,14,28,2,6,15,0.02612303,0.07444912,0.16515201,0.25614890,0.41306040,0.59510237
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-11 00:00:00.000000,0.06399378,0.14600345,0.31621415,5,13,29,2,6,15,0.02631798,0.07372136,0.16786421,0.24329532,0.41182279,0.55584809
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-12 00:00:00.000000,0.05888704,0.14477706,0.32015142,5,13,29,2,7,15,0.02493817,0.07549867,0.17034898,0.24306159,0.40734040,0.55551031
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-13 00:00:00.000000,0.05939460,0.14512209,0.31251925,5,13,29,2,6,16,0.02368403,0.07263132,0.17224546,0.24310585,0.40595472,0.55457707
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-14 00:00:00.000000,0.05881306,0.14136187,0.30104031,5,13,27,2,6,15,0.02528269,0.07017392,0.16568129,0.24174617,0.40021430,0.54807596
46023,0,USSouthDakotaCharlesMix,South Dakota,Charles Mix,2020-09-22 09:36:48.973178,2020-04-15 00:00:00.000000,0.05878360,0.14256956,0.34578497,5,13,32,2,6,17,0.02521091,0.06853685,0.18623985,0.23877563,0.39741844,0.54766575
