FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-09 00:00:00.000000,0.02404430,0.21684302,0.66520419,0,8,24,0,1,10,0.00337127,0.05102244,0.27883987,0.52390480,0.69446431,0.99412910
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-10 00:00:00.000000,0.01926363,0.14182375,0.47506137,0,5,17,0,1,6,0.00431089,0.05121499,0.17173071,0.52390433,0.69446432,0.99407155
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-11 00:00:00.000000,0.01319532,0.11093634,0.37904327,0,4,14,0,1,4,0.00312420,0.03301849,0.13276573,0.52390356,0.69446436,0.99396888
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-12 00:00:00.000000,0.00852601,0.08021141,0.30093457,0,2,11,0,1,4,0.00311335,0.02755140,0.10831851,0.52390229,0.69446444,0.99378579
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-13 00:00:00.000000,0.00700714,0.06258108,0.24911523,0,2,9,0,0,3,0.00177629,0.01907575,0.08975150,0.52390011,0.69446463,0.99345958
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-14 00:00:00.000000,0.00565461,0.04676970,0.20656917,0,1,7,0,0,2,0.00145717,0.01538387,0.07445241,0.52389628,0.69446510,0.99287992
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-15 00:00:00.000000,0.00376110,0.03520946,0.17142256,0,1,6,0,0,2,0.00112493,0.01051997,0.06180012,0.52388936,0.69446626,0.99185539
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-16 00:00:00.000000,0.01658388,0.05594211,0.16016773,0,2,5,0,0,1,0.00076231,0.00735832,0.05131160,0.52387658,0.69446903,0.99006259
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-17 00:00:00.000000,0.02656938,0.07954069,0.15244715,0,2,5,0,1,2,0.00664380,0.02787924,0.06070383,0.51542364,0.69447551,0.98698135
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-18 00:00:00.000000,0.04163352,0.10776857,0.21183290,1,4,7,0,1,2,0.00963413,0.03147663,0.06728179,0.51543992,0.68163534,0.98184859
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-19 00:00:00.000000,0.04154969,0.12027849,0.24319492,1,4,9,0,1,3,0.01238685,0.03800515,0.08590490,0.51424569,0.67961368,0.97373195
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-20 00:00:00.000000,0.04367801,0.13492181,0.27587052,1,5,10,0,1,3,0.01445691,0.04059115,0.09021424,0.51477426,0.67661886,0.96083330
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-21 00:00:00.000000,0.04371402,0.14279799,0.28811806,1,5,10,0,1,3,0.01505264,0.04348034,0.09952606,0.49577022,0.66381903,0.96656286
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-22 00:00:00.000000,0.04430389,0.14793621,0.29963538,1,5,11,0,1,3,0.01491570,0.04494362,0.10228095,0.48151067,0.66520864,0.95981047
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-23 00:00:00.000000,0.06040250,0.16167486,0.31215816,2,6,11,0,1,3,0.01506127,0.04669655,0.10409472,0.47881172,0.65958198,0.97611149
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-24 00:00:00.000000,0.07513812,0.17434962,0.32672282,2,6,12,0,2,4,0.02611869,0.05553085,0.11286208,0.47833667,0.64448655,0.92389143
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-25 00:00:00.000000,0.08416326,0.20010056,0.36646006,3,7,13,1,2,4,0.02777391,0.06299124,0.11983675,0.47803433,0.63462317,0.89109526
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-26 00:00:00.000000,0.09249624,0.20734614,0.39089327,3,7,14,0,2,5,0.02536688,0.06822745,0.13437000,0.47678803,0.64001309,0.88505336
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-27 00:00:00.000000,0.07866361,0.21886996,0.45181292,2,8,16,0,2,5,0.02448338,0.06753421,0.14148928,0.43837552,0.62952556,0.88128763
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-28 00:00:00.000000,0.07239929,0.21936011,0.50662936,2,8,18,0,2,5,0.02254503,0.06770470,0.14646211,0.41876303,0.62354607,0.91709064
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-29 00:00:00.000000,0.06740207,0.21971051,0.53974275,2,8,20,0,2,5,0.02157126,0.06701731,0.14985105,0.39365170,0.62684827,0.97269146
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-30 00:00:00.000000,0.05008257,0.18103216,0.42023366,1,6,15,0,2,5,0.02089694,0.06548499,0.15267463,0.37169246,0.61115712,0.95760886
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-03-31 00:00:00.000000,0.03440079,0.13823360,0.35146117,1,5,13,0,1,4,0.00806019,0.03681163,0.11086800,0.36431172,0.57759111,0.92715459
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-01 00:00:00.000000,0.01689510,0.09455109,0.26261902,0,3,9,0,1,3,0.00656710,0.02944053,0.09742826,0.35985526,0.57279592,0.89931035
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-02 00:00:00.000000,0.01113400,0.06298884,0.20167450,0,2,7,0,0,3,0.00286564,0.02017207,0.08065359,0.33994204,0.57809764,0.93714388
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-03 00:00:00.000000,0.00571327,0.04505341,0.16499445,0,1,6,0,0,2,0.00207524,0.01550795,0.06974338,0.33810078,0.57647155,0.96300135
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-04 00:00:00.000000,0.00359199,0.03149616,0.13329437,0,1,4,0,0,2,0.00097902,0.00996332,0.05981573,0.33779362,0.56959945,0.99297288
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-05 00:00:00.000000,0.00189851,0.02029139,0.11435249,0,0,4,0,0,1,0.00065836,0.00695969,0.05216032,0.33729953,0.55804251,1.02867758
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-06 00:00:00.000000,0.00111900,0.01413318,0.09981232,0,0,3,0,0,1,0.00031737,0.00444350,0.04546845,0.33694162,0.55300344,1.03891798
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-07 00:00:00.000000,0.00058769,0.00919993,0.08694453,0,0,3,0,0,1,0.00019427,0.00322858,0.03973937,0.33597937,0.54855795,1.04002747
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-08 00:00:00.000000,0.00033511,0.00601649,0.07537418,0,0,2,0,0,1,0.00009704,0.00218410,0.03452243,0.33632188,0.54642860,1.03242143
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-09 00:00:00.000000,0.00017408,0.00396024,0.06462935,0,0,2,0,0,1,0.00005569,0.00151597,0.02970589,0.33815921,0.54907641,1.00980046
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-10 00:00:00.000000,0.00009486,0.00282569,0.05459539,0,0,2,0,0,0,0.00002768,0.00097581,0.02516228,0.33629870,0.55415765,0.96576203
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-11 00:00:00.000000,0.00004815,0.00202554,0.04529178,0,0,1,0,0,0,0.00001494,0.00061323,0.02091484,0.34916113,0.54941049,0.91477837
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-12 00:00:00.000000,0.00002507,0.00131936,0.03688598,0,0,1,0,0,0,0.00000731,0.00040888,0.01704080,0.34794377,0.55303960,0.88145002
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-13 00:00:00.000000,0.00001256,0.00091642,0.02954120,0,0,1,0,0,0,0.00000389,0.00028511,0.01364109,0.36180615,0.54961131,0.86680351
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-14 00:00:00.000000,0.00000678,0.00063679,0.02334336,0,0,0,0,0,0,0.00000203,0.00020567,0.01076955,0.36252746,0.54513046,0.86149155
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-15 00:00:00.000000,0.00000359,0.00044181,0.01826583,0,0,0,0,0,0,0.00000111,0.00013942,0.00842011,0.36230331,0.53887355,0.85968544
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-16 00:00:00.000000,0.00000194,0.00030237,0.01419696,0,0,0,0,0,0,0.00000059,0.00009202,0.00654092,0.35438279,0.53741343,0.85903916
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-17 00:00:00.000000,0.00000104,0.00019821,0.01159927,0,0,0,0,0,0,0.00000032,0.00006058,0.00505923,0.32920714,0.53117493,0.85857313
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-18 00:00:00.000000,0.00000057,0.00013338,0.00974348,0,0,0,0,0,0,0.00000017,0.00004258,0.00389825,0.31892355,0.52847223,0.84315770
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-19 00:00:00.000000,0.00000031,0.00009351,0.00819073,0,0,0,0,0,0,0.00000010,0.00003017,0.00299235,0.31529094,0.52755420,0.77690176
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-20 00:00:00.000000,0.00817027,0.03040106,0.08729797,0,1,3,0,0,0,0.00000005,0.00002140,0.00229365,0.31424580,0.53020174,0.75326864
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-21 00:00:00.000000,0.01625850,0.06063269,0.17458371,0,2,6,0,0,2,0.00379878,0.02229932,0.07125560,0.30563427,0.52891282,0.77350299
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-22 00:00:00.000000,0.02509711,0.09765257,0.27555183,0,3,10,0,1,3,0.00601388,0.02688119,0.09029167,0.29889158,0.52780700,0.78153158
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-23 00:00:00.000000,0.03085204,0.11346861,0.31448937,1,4,11,0,1,3,0.00757058,0.03310466,0.10590437,0.29377411,0.52806311,0.78034891
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-24 00:00:00.000000,0.03482110,0.12604332,0.33882402,1,4,12,0,1,4,0.00863097,0.03712653,0.11271524,0.28993232,0.52573216,0.78016886
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-25 00:00:00.000000,0.03754009,0.12995865,0.35051845,1,4,13,0,1,4,0.00936234,0.04031565,0.11666947,0.28689241,0.52229511,0.77246713
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-26 00:00:00.000000,0.03940492,0.13241300,0.35728757,1,4,13,0,1,4,0.00986395,0.04309643,0.11867862,0.28379427,0.50510916,0.77254983
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-27 00:00:00.000000,0.04999950,0.13861828,0.33375556,1,5,12,0,1,4,0.01020798,0.04460659,0.11996611,0.27886275,0.49008143,0.77638413
46025,0,USSouthDakotaClark,South Dakota,Clark,2020-10-02 00:45:16.188597,2020-04-28 00:00:00.000000,0.06764621,0.14300744,0.27747009,2,5,10,0,1,3,0.01981930,0.04654286,0.09315937,0.27396795,0.49469227,0.78585645
