FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-09 00:00:00.000000,0.01021351,0.06092202,0.18102392,0,5,16,0,2,8,0.00410639,0.02572315,0.09130381,0.44975179,0.61626709,0.78006652
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-10 00:00:00.000000,0.01016480,0.05033991,0.16960476,0,4,15,0,2,8,0.00523331,0.02786853,0.08958661,0.44977559,0.61626607,0.77996491
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-11 00:00:00.000000,0.00900846,0.04894409,0.16312584,0,4,14,0,2,7,0.00513423,0.02699871,0.08704957,0.44984287,0.61626376,0.77977095
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-12 00:00:00.000000,0.00805082,0.04724261,0.15603610,0,4,13,0,2,7,0.00458402,0.02662093,0.08362625,0.45003265,0.61625845,0.77940105
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-13 00:00:00.000000,0.00718484,0.04789051,0.14914248,0,4,13,0,2,7,0.00409234,0.02723834,0.08000803,0.45056499,0.61624629,0.77869681
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-14 00:00:00.000000,0.00659661,0.04924169,0.14251363,0,4,12,0,2,6,0.00365543,0.02742714,0.07661451,0.45203493,0.61522886,0.77736033
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-15 00:00:00.000000,0.00650650,0.04792468,0.13616641,0,4,12,0,2,6,0.00360369,0.02640097,0.07404705,0.45592312,0.60974789,0.77483962
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-16 00:00:00.000000,0.00641701,0.04928848,0.14015881,0,4,12,0,2,6,0.00355469,0.02632093,0.07228964,0.46160483,0.60928430,0.77002988
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-17 00:00:00.000000,0.00634244,0.04756789,0.14220876,0,4,12,0,2,6,0.00351418,0.02666162,0.07499530,0.46081542,0.60353072,0.76403651
46033,0,USSouthDakotaCuster,South Dakota,Custer,2020-09-17 00:23:59.451967,2020-03-18 00:00:00.000000,0.00626387,0.04495508,0.13839943,0,4,12,0,2,6,0.00347273,0.02665375,0.07769069,0.44602537,0.60429907,0.75856941
