FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-09 00:00:00.000000,0.03684783,0.28888385,0.63460887,0,6,14,0,1,5,0.00838661,0.05394795,0.21947882,0.54474167,0.74211636,1.08440520
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-10 00:00:00.000000,0.02433590,0.16633432,0.44523149,0,3,10,0,1,4,0.01238799,0.07868729,0.18181978,0.54474229,0.74211257,1.08440826
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-11 00:00:00.000000,0.02323227,0.14148852,0.34033399,0,3,7,0,0,2,0.00576513,0.03459589,0.11623799,0.54474337,0.74210499,1.08441560
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-12 00:00:00.000000,0.01402190,0.08707647,0.26134830,0,2,6,0,0,2,0.00648114,0.03677292,0.09447618,0.54474548,0.74208968,1.08443322
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-13 00:00:00.000000,0.01211650,0.07142879,0.20634656,0,1,4,0,0,1,0.00362103,0.02022676,0.06781516,0.54475023,0.74205850,1.08447550
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-14 00:00:00.000000,0.00805624,0.05047206,0.15526500,0,1,3,0,0,1,0.00325069,0.01949914,0.05639175,0.54476246,0.74199460,1.08457684
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-15 00:00:00.000000,0.00616821,0.04369352,0.13454148,0,1,3,0,0,1,0.00202973,0.01299297,0.05054541,0.54479670,0.74483676,1.08481919
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-16 00:00:00.000000,0.03893334,0.07312443,0.15783198,0,1,3,0,0,0,0.00160005,0.01082214,0.04071098,0.54489599,0.74780864,1.08539581
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-17 00:00:00.000000,0.06540761,0.11358603,0.20815579,1,2,4,0,1,2,0.02230820,0.04653392,0.09123289,0.54114944,0.74733063,1.09562050
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-18 00:00:00.000000,0.09962367,0.16061218,0.30012864,2,3,6,0,1,2,0.02826643,0.05240665,0.10370161,0.52833498,0.74617395,1.09639221
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-19 00:00:00.000000,0.11680786,0.18431438,0.36193103,2,4,8,0,1,3,0.03637853,0.06689148,0.13674664,0.51356948,0.74325390,1.09874204
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-20 00:00:00.000000,0.12996807,0.21262929,0.40960385,2,4,9,0,1,3,0.03990741,0.07518515,0.15083409,0.49707996,0.73573596,1.12767758
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-21 00:00:00.000000,0.13806224,0.22978957,0.43977430,3,5,10,0,1,3,0.04259324,0.08418300,0.17069151,0.51397389,0.74358231,1.14880952
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-22 00:00:00.000000,0.14384154,0.24457558,0.46473106,3,5,10,1,2,4,0.04429643,0.08747502,0.17967554,0.48600695,0.71851875,1.15207106
46049,0,USSouthDakotaFaulk,South Dakota,Faulk,2020-08-31 16:00:06.463329,2020-03-23 00:00:00.000000,0.11873073,0.21030639,0.41422284,2,4,9,1,2,4,0.04549991,0.08968830,0.18726719,0.47960165,0.71828831,1.16138174
