FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-09 00:00:00.000000,0.00382736,0.05985897,0.19685198,0,4,13,0,1,3,0.00136158,0.01524260,0.05514221,0.48490580,0.75699315,1.00551883
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-10 00:00:00.000000,0.00377668,0.05247156,0.15567303,0,3,10,0,1,3,0.00160781,0.01715441,0.05426589,0.48490590,0.75699316,1.00549215
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-11 00:00:00.000000,0.00441723,0.05349868,0.15158784,0,3,10,0,1,3,0.00177819,0.01589755,0.05298979,0.48490622,0.75699318,1.00544194
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-12 00:00:00.000000,0.00495320,0.05396598,0.13664728,0,3,9,0,1,3,0.00195282,0.01531513,0.05272327,0.48490739,0.75699331,1.00534794
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-13 00:00:00.000000,0.00547807,0.05507838,0.12703368,0,3,8,0,1,3,0.00213281,0.01464084,0.04679806,0.48491209,0.75699389,1.00517285
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-14 00:00:00.000000,0.00574506,0.05587983,0.11943277,0,3,8,0,1,3,0.00232305,0.01470506,0.04351761,0.48493163,0.75779884,1.00484840
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-15 00:00:00.000000,0.00622650,0.05586519,0.12637670,0,3,8,0,1,3,0.00252724,0.01517020,0.04436060,0.48501363,0.75930008,1.00425157
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-16 00:00:00.000000,0.00652694,0.05687316,0.13301280,0,4,9,0,1,3,0.00274884,0.01497162,0.04548189,0.48535863,0.76071429,1.00316612
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-17 00:00:00.000000,0.00646749,0.05798126,0.13940067,0,4,9,0,1,3,0.00299128,0.01503130,0.04744612,0.48680248,0.76072445,1.00122971
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-18 00:00:00.000000,0.00626860,0.05612773,0.14557731,0,3,10,0,1,3,0.00325803,0.01622558,0.05218518,0.47760929,0.76229018,0.99788755
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-19 00:00:00.000000,0.00596681,0.05565151,0.15189911,0,3,10,0,1,4,0.00334145,0.01631710,0.05740026,0.46304193,0.76559174,1.02689214
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-20 00:00:00.000000,0.00568636,0.05218980,0.15766287,0,3,11,0,1,4,0.00345608,0.01573530,0.06312526,0.42758253,0.76828129,1.05189768
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-21 00:00:00.000000,0.00622168,0.05408601,0.16295190,0,3,11,0,1,4,0.00320254,0.01522669,0.06937049,0.41144384,0.76325695,1.10816953
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-22 00:00:00.000000,0.00681024,0.05946036,0.16813579,0,4,11,0,1,5,0.00294664,0.01486197,0.07605179,0.37965676,0.75849827,1.13847996
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-23 00:00:00.000000,0.00745729,0.06357864,0.17350509,0,4,12,0,1,5,0.00285020,0.01485032,0.08251084,0.37160555,0.75610241,1.17851390
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-24 00:00:00.000000,0.00816892,0.06900625,0.17885749,0,4,12,0,1,6,0.00268889,0.01479524,0.08663888,0.36967630,0.75676636,1.20866879
46051,0,USSouthDakotaGrant,South Dakota,Grant,2020-08-08 19:44:15.132627,2020-03-25 00:00:00.000000,0.00843973,0.07382530,0.18424422,0,5,12,0,1,6,0.00258858,0.01479430,0.09089609,0.36901868,0.76180828,1.23962846
