FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-09 00:00:00.000000,0.02097897,0.11365683,0.36325136,1,6,20,0,1,5,0.00281938,0.02182081,0.10294701,0.50514856,0.72795268,1.11216864
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-10 00:00:00.000000,0.01825255,0.08947731,0.31634336,1,4,17,0,1,4,0.00214602,0.01820259,0.08522891,0.50514706,0.72795269,1.11215677
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-11 00:00:00.000000,0.01888347,0.09455360,0.34107972,1,5,19,0,0,4,0.00204558,0.01729781,0.07264987,0.50514365,0.72795271,1.11213244
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-12 00:00:00.000000,0.01945704,0.10615754,0.40726403,1,5,22,0,0,3,0.00167571,0.01613451,0.06431454,0.50513529,0.72795276,1.11208227
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-13 00:00:00.000000,0.01997964,0.11779809,0.47264142,1,6,26,0,0,3,0.00158036,0.01507991,0.06592322,0.50511352,0.72795294,1.11197895
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-14 00:00:00.000000,0.02045686,0.12348938,0.52915080,1,6,29,0,0,3,0.00166010,0.01512618,0.06873448,0.50505470,0.72795347,1.11176955
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-15 00:00:00.000000,0.02088955,0.13308322,0.53792842,1,7,30,0,0,4,0.00174234,0.01524583,0.07170337,0.50489279,0.72795512,1.11136314
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-16 00:00:00.000000,0.04589574,0.16914162,0.57245498,2,9,31,0,0,4,0.00182574,0.01576026,0.07487845,0.50444651,0.72796020,1.08434571
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-17 00:00:00.000000,0.06643411,0.19997150,0.60882085,3,11,34,0,0,4,0.00268304,0.01645850,0.08133234,0.50324690,0.72595881,1.06792767
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-18 00:00:00.000000,0.08714369,0.23921131,0.70741624,4,13,39,0,1,4,0.00324554,0.01996692,0.08224984,0.50027339,0.72802283,1.05558919
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-19 00:00:00.000000,0.10811896,0.27918088,0.80438581,6,15,44,0,1,4,0.00414009,0.02147885,0.08147071,0.49406567,0.73041999,1.04989642
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-20 00:00:00.000000,0.13041871,0.31306740,0.86925553,7,17,48,0,1,4,0.00482908,0.02401863,0.08128066,0.48511494,0.72463673,1.07843593
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-21 00:00:00.000000,0.14913504,0.34782278,0.92294678,8,19,51,0,1,4,0.00557516,0.02576513,0.08471579,0.47719455,0.70928402,1.06464054
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-22 00:00:00.000000,0.16965975,0.38921600,0.97713570,9,21,54,0,1,5,0.00652820,0.02763219,0.09008976,0.46271694,0.69464729,1.05462984
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-23 00:00:00.000000,0.17029579,0.39654286,1.01180658,9,22,56,0,1,5,0.00720187,0.02969076,0.09565837,0.45761312,0.68406645,1.05003676
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-24 00:00:00.000000,0.17088029,0.41026913,1.04739184,9,22,58,0,1,5,0.00775560,0.03157467,0.09864499,0.42304512,0.68484274,1.04595248
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-25 00:00:00.000000,0.17127968,0.41914189,1.08397149,9,23,60,0,1,5,0.00819471,0.03333160,0.10220308,0.35412739,0.68261108,1.03975490
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-26 00:00:00.000000,0.17173929,0.42992786,1.12171200,9,24,62,0,1,5,0.00858597,0.03502205,0.10730603,0.34663972,0.68095232,1.03541068
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-27 00:00:00.000000,0.17229511,0.44290940,1.16078421,9,24,64,0,2,6,0.00895809,0.03677451,0.11211966,0.34625927,0.67912868,1.09115455
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-28 00:00:00.000000,0.17294106,0.45508318,1.21191073,9,25,67,0,2,6,0.00932357,0.03782573,0.11675993,0.34735675,0.67778994,1.14978312
46087,0,USSouthDakotaMcCook,South Dakota,McCook,2020-08-31 16:01:10.407111,2020-03-29 00:00:00.000000,0.17366588,0.46353225,1.26484439,9,25,70,0,2,6,0.00968801,0.03892117,0.12130561,0.34593743,0.67818725,1.30422504
