FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-09 00:00:00.000000,0.00106838,0.00475148,0.01133694,1,5,12,0,2,6,0.00030972,0.00207653,0.00598100,0.38048586,0.52131599,0.68933360
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-10 00:00:00.000000,0.00081310,0.00364736,0.01071271,0,4,12,0,2,7,0.00056163,0.00238372,0.00639616,0.38048565,0.52131297,0.68933290
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-11 00:00:00.000000,0.00082355,0.00379090,0.01088495,0,4,12,0,2,7,0.00053684,0.00246208,0.00655306,0.38048506,0.52130594,0.68933064
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-12 00:00:00.000000,0.00079430,0.00406158,0.01093953,0,4,12,0,3,7,0.00053925,0.00268088,0.00700967,0.38048336,0.52128951,0.68932335
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-13 00:00:00.000000,0.00083088,0.00428239,0.01173819,0,4,13,0,3,8,0.00052556,0.00285921,0.00753359,0.38047842,0.52125099,0.68929944
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-14 00:00:00.000000,0.00086974,0.00445822,0.01260521,0,5,14,0,3,9,0.00053642,0.00291104,0.00808701,0.38046407,0.52116041,0.68922042
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-15 00:00:00.000000,0.00090708,0.00447723,0.01353457,1,5,15,0,3,9,0.00056191,0.00295783,0.00868416,0.38042241,0.51408873,0.68895780
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-16 00:00:00.000000,0.00197512,0.00569632,0.01544271,2,6,17,0,3,10,0.00057439,0.00303844,0.00932510,0.38030204,0.51088423,0.68808394
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-17 00:00:00.000000,0.00247840,0.00712000,0.01741841,2,8,19,1,4,12,0.00146476,0.00416038,0.01087733,0.37996034,0.50859066,0.68588612
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-18 00:00:00.000000,0.00342812,0.00871276,0.01930415,3,9,21,2,5,13,0.00176091,0.00522679,0.01201148,0.37919316,0.49708855,0.68495160
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-19 00:00:00.000000,0.00425316,0.01007403,0.02139236,4,11,24,2,7,15,0.00224524,0.00624132,0.01342625,0.37658745,0.48793121,0.67342158
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-20 00:00:00.000000,0.00479978,0.01147497,0.02495821,5,13,28,3,8,17,0.00287791,0.00703762,0.01528319,0.37255982,0.47835220,0.66197113
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-21 00:00:00.000000,0.00534969,0.01263535,0.02873015,6,14,32,4,8,20,0.00354729,0.00787442,0.01785932,0.36327585,0.46567066,0.65389305
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-22 00:00:00.000000,0.00590447,0.01363701,0.03242676,6,15,36,4,9,23,0.00397230,0.00855423,0.02041747,0.34826653,0.44966266,0.65419518
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-23 00:00:00.000000,0.00687566,0.01552360,0.03373364,7,17,38,4,10,26,0.00437306,0.00947532,0.02289967,0.32715934,0.42824867,0.61564174
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-24 00:00:00.000000,0.00784701,0.01683724,0.03479642,8,19,39,5,11,26,0.00500597,0.01054295,0.02315128,0.30307528,0.41832651,0.56067411
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-25 00:00:00.000000,0.00823376,0.01841085,0.03509741,9,20,39,6,13,26,0.00567987,0.01184734,0.02368560,0.29654329,0.40824613,0.54406322
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-26 00:00:00.000000,0.00864743,0.02027919,0.03626456,9,23,41,6,14,27,0.00596502,0.01311197,0.02393178,0.29312237,0.39342703,0.53767782
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-27 00:00:00.000000,0.00936841,0.02105394,0.03555518,10,23,40,7,16,27,0.00625751,0.01412983,0.02413073,0.29461465,0.38304434,0.52724482
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-28 00:00:00.000000,0.01035815,0.02209539,0.03746595,11,25,42,7,16,29,0.00654171,0.01464260,0.02584834,0.28498555,0.37472443,0.52542477
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-29 00:00:00.000000,0.01092902,0.02273884,0.03972472,12,25,45,7,17,31,0.00682653,0.01517159,0.02755529,0.27205468,0.36905204,0.51246827
46103,0,USSouthDakotaPennington,South Dakota,Pennington,2020-09-17 00:22:24.679615,2020-03-30 00:00:00.000000,0.01105311,0.02440336,0.04264477,12,27,48,8,17,33,0.00713250,0.01578324,0.02919919,0.26552289,0.35783027,0.48863353
