FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-09 00:00:00.000000,0.00875805,0.04854419,0.11380983,1,7,18,0,2,7,0.00266027,0.01578345,0.04800101,0.50373231,0.63248967,0.82292283
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-10 00:00:00.000000,0.00715439,0.03792067,0.09929642,1,6,15,0,2,6,0.00273517,0.01395817,0.04382663,0.50371736,0.63248834,0.82292052
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-11 00:00:00.000000,0.00676587,0.03688249,0.09785068,1,5,15,0,2,6,0.00250066,0.01298241,0.03955997,0.50367705,0.63248446,0.82291376
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-12 00:00:00.000000,0.00670125,0.03517490,0.09501638,1,5,15,0,1,5,0.00233039,0.01224478,0.03552287,0.50356842,0.63247401,0.82289407
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-13 00:00:00.000000,0.00695904,0.03490926,0.09312039,1,5,14,0,1,5,0.00217961,0.01132421,0.03187775,0.50327624,0.63244690,0.82283694
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-14 00:00:00.000000,0.00654062,0.03368107,0.09193502,1,5,14,0,1,4,0.00204416,0.01068017,0.02860461,0.50249448,0.63237799,0.82267168
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-15 00:00:00.000000,0.00609095,0.03385111,0.09150753,0,5,14,0,1,4,0.00192030,0.01015165,0.02784536,0.50043168,0.63129598,0.82219509
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-16 00:00:00.000000,0.01235528,0.04317929,0.11087580,1,6,17,0,1,4,0.00180555,0.00997354,0.02948809,0.50014128,0.62628216,0.82082768
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-17 00:00:00.000000,0.01799571,0.05304329,0.13402599,2,8,21,0,2,5,0.00448479,0.01291956,0.03489339,0.49983144,0.62234007,0.81695224
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-18 00:00:00.000000,0.02164505,0.06427177,0.15957242,3,10,25,1,2,6,0.00724557,0.01564628,0.04219975,0.49947557,0.61574140,0.80632205
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-19 00:00:00.000000,0.02457042,0.07227752,0.18439736,3,11,29,1,2,8,0.00935074,0.01853936,0.05049074,0.47260677,0.60916684,0.80190155
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-20 00:00:00.000000,0.02956378,0.08126396,0.21035367,4,12,33,1,3,9,0.01129848,0.02174181,0.05875198,0.47250199,0.58661524,0.80051845
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-21 00:00:00.000000,0.03268305,0.09030793,0.23624096,5,14,37,1,3,10,0.01187232,0.02415419,0.06647836,0.45742064,0.58522172,0.79384998
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-22 00:00:00.000000,0.03522141,0.09663175,0.26214598,5,15,41,2,4,12,0.01356043,0.02633990,0.07540750,0.44368025,0.56893819,0.77513214
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-23 00:00:00.000000,0.03992285,0.10183827,0.27652960,6,16,44,2,4,13,0.01468841,0.02762851,0.08438671,0.43309662,0.55885483,0.75826752
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-24 00:00:00.000000,0.04200551,0.10636229,0.29088884,6,16,46,2,4,14,0.01495733,0.02871128,0.09144845,0.43105361,0.55568296,0.75563840
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-25 00:00:00.000000,0.04189886,0.11032904,0.30445385,6,17,48,2,5,15,0.01487021,0.03144113,0.09750000,0.42631709,0.54806649,0.75474571
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-26 00:00:00.000000,0.04250123,0.11478244,0.31743487,6,18,50,2,5,16,0.01479627,0.03376855,0.10298314,0.41555677,0.54181431,0.73656558
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-27 00:00:00.000000,0.04305360,0.11827283,0.33007943,6,18,52,2,5,17,0.01481360,0.03511818,0.10811491,0.39857484,0.55235304,0.72261885
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-28 00:00:00.000000,0.04329922,0.12198360,0.34272193,6,19,54,2,5,18,0.01424215,0.03626840,0.11303050,0.39520086,0.55070152,0.71546398
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-29 00:00:00.000000,0.04291163,0.12563261,0.35590775,6,20,56,2,6,18,0.01303490,0.03844021,0.11779689,0.39425150,0.54051366,0.71834683
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-30 00:00:00.000000,0.04416542,0.13522550,0.37510422,7,21,59,2,6,19,0.01292998,0.03916983,0.12232546,0.39651166,0.53496148,0.72939334
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-03-31 00:00:00.000000,0.04541130,0.14355660,0.39446876,7,22,62,2,6,20,0.01631157,0.04025971,0.12805472,0.39413352,0.53336066,0.74249121
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-01 00:00:00.000000,0.04678522,0.14888706,0.41438104,7,23,66,2,6,21,0.01736143,0.04123611,0.13444447,0.38773040,0.52996262,0.74656299
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-02 00:00:00.000000,0.04593664,0.15338617,0.43481597,7,24,69,3,6,22,0.01891821,0.04214782,0.14122346,0.38820614,0.52732331,0.74577306
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-03 00:00:00.000000,0.04618342,0.15552105,0.45591524,7,24,72,3,6,23,0.01919171,0.04344104,0.14827181,0.39409393,0.53070165,0.72240180
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-04 00:00:00.000000,0.04654230,0.15934379,0.47801111,7,25,76,3,7,24,0.01952425,0.04533483,0.15556805,0.39593778,0.53784248,0.70812139
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-05 00:00:00.000000,0.04699616,0.16370829,0.51004511,7,26,81,3,7,25,0.01988395,0.04732687,0.16317125,0.39701038,0.54479385,0.71770793
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-06 00:00:00.000000,0.04861973,0.16346549,0.54098343,7,26,86,3,7,27,0.02081927,0.04834517,0.17121177,0.38789371,0.56044970,0.74035746
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-07 00:00:00.000000,0.05085230,0.17076058,0.58258731,8,27,92,3,7,29,0.02046919,0.04921667,0.18234788,0.38914493,0.55859469,0.74235217
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-08 00:00:00.000000,0.05209174,0.17847283,0.62680494,8,28,99,3,8,31,0.02023565,0.05113645,0.19551815,0.38574988,0.56655854,0.74926175
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-09 00:00:00.000000,0.05238013,0.18916692,0.67209761,8,30,107,3,8,33,0.02003665,0.05165743,0.21011714,0.38066076,0.56956699,0.77067313
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-10 00:00:00.000000,0.05239893,0.19659105,0.71857405,8,31,114,3,8,35,0.01987009,0.05234132,0.22568138,0.38981088,0.57345107,0.76089352
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-11 00:00:00.000000,0.05225069,0.20508362,0.76413093,8,32,121,3,8,38,0.01972628,0.05433667,0.24175862,0.38747930,0.57404825,0.77800156
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-12 00:00:00.000000,0.05191476,0.21466425,0.80794065,8,34,128,3,9,41,0.01960035,0.05657795,0.25789709,0.37481722,0.56426178,0.79912003
46127,0,USSouthDakotaUnion,South Dakota,Union,2020-09-22 09:25:13.323831,2020-04-13 00:00:00.000000,0.06048784,0.23117561,0.83021912,9,36,132,3,9,43,0.01948634,0.05806751,0.27372993,0.35444826,0.56142002,0.81118093
