FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-09 00:00:00.000000,0.00357965,0.00823538,0.02208645,4,10,29,1,3,13,0.00086282,0.00296686,0.01028581,0.50607610,0.67577390,0.98597137
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-10 00:00:00.000000,0.00327707,0.00955442,0.02399170,4,12,31,2,6,16,0.00198729,0.00499940,0.01272642,0.50608084,0.67577390,0.98594428
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-11 00:00:00.000000,0.00442553,0.01246023,0.02725546,5,16,36,3,8,19,0.00226085,0.00614386,0.01436803,0.50608673,0.67577389,0.98589885
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-12 00:00:00.000000,0.00468607,0.01462892,0.03393474,6,19,45,3,10,22,0.00275218,0.00755597,0.01714024,0.50609394,0.67481680,0.98582064
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-13 00:00:00.000000,0.00542783,0.01671795,0.03831776,7,22,50,4,11,26,0.00316815,0.00871883,0.01994922,0.50610253,0.67442720,0.98568058
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-14 00:00:00.000000,0.00619148,0.01782982,0.04362879,8,23,58,4,13,31,0.00356408,0.00999975,0.02395704,0.50611225,0.67442647,0.98541434
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-15 00:00:00.000000,0.00699083,0.01999965,0.05106667,9,26,67,5,14,37,0.00384756,0.01120044,0.02834570,0.50612115,0.67316958,0.98486307
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-16 00:00:00.000000,0.00827072,0.02367349,0.05464333,11,31,72,5,16,43,0.00420696,0.01250887,0.03284092,0.50610840,0.66681437,0.98359108
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-17 00:00:00.000000,0.00945924,0.02662974,0.05915359,12,35,78,6,19,44,0.00516764,0.01452440,0.03375959,0.48972309,0.67074835,0.98030856
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-18 00:00:00.000000,0.01095240,0.02861278,0.06147571,14,38,81,7,21,47,0.00585926,0.01590594,0.03601641,0.47697077,0.66686499,0.96591446
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-19 00:00:00.000000,0.01235927,0.03136401,0.06783635,16,41,90,8,23,52,0.00669036,0.01752150,0.03978079,0.45931864,0.65578557,0.94506264
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-20 00:00:00.000000,0.01355689,0.03436096,0.07447868,18,45,99,9,25,58,0.00749407,0.01888567,0.04387586,0.42484362,0.63930144,0.88160546
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-21 00:00:00.000000,0.01445673,0.03721828,0.08132666,19,49,108,10,27,64,0.00818740,0.02062259,0.04809700,0.41514755,0.62802416,0.80943529
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-22 00:00:00.000000,0.01534113,0.03818723,0.08811843,20,50,117,11,29,69,0.00870733,0.02204353,0.05233869,0.39814262,0.60674097,0.79616086
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-23 00:00:00.000000,0.01756318,0.04114112,0.09580447,23,54,127,12,30,74,0.00921699,0.02304234,0.05616541,0.39064946,0.59956623,0.78317041
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-24 00:00:00.000000,0.01974255,0.04375341,0.10264433,26,58,136,14,33,81,0.01100470,0.02544246,0.06099885,0.38603834,0.57729803,0.76697404
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-25 00:00:00.000000,0.02189590,0.04658655,0.10690821,29,62,142,15,35,82,0.01200254,0.02685345,0.06164158,0.38154762,0.54810734,0.73917506
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-26 00:00:00.000000,0.02362568,0.04912304,0.11341272,31,65,150,17,37,81,0.01301332,0.02787490,0.06154722,0.38022802,0.53583211,0.73242409
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-27 00:00:00.000000,0.02478512,0.05245625,0.11254093,32,69,149,17,39,83,0.01328699,0.02949892,0.06265322,0.37023976,0.51855179,0.73083897
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-28 00:00:00.000000,0.02418154,0.05570833,0.11113759,32,74,147,17,40,84,0.01294387,0.03027425,0.06337436,0.36862425,0.50716421,0.70760933
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-29 00:00:00.000000,0.02366251,0.05800399,0.10872378,31,77,144,16,42,84,0.01264998,0.03178174,0.06362307,0.32808562,0.48127492,0.70636888
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-30 00:00:00.000000,0.02466031,0.05714634,0.10957286,32,76,145,16,44,84,0.01239646,0.03310675,0.06352938,0.30030945,0.47203885,0.70197388
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-03-31 00:00:00.000000,0.02575778,0.05645200,0.10969099,34,75,145,17,42,83,0.01319662,0.03216996,0.06249920,0.29138026,0.46545550,0.68555065
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-01 00:00:00.000000,0.02887619,0.05685950,0.11009256,38,75,146,20,44,82,0.01559254,0.03326089,0.06231130,0.29084983,0.44793852,0.65146918
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-02 00:00:00.000000,0.02836954,0.05627603,0.11570938,37,74,153,22,43,83,0.01666692,0.03238648,0.06280691,0.29377380,0.44461385,0.64411048
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-03 00:00:00.000000,0.02750883,0.05410116,0.12401184,36,72,165,21,43,83,0.01618315,0.03251678,0.06283898,0.29300196,0.43028272,0.60800677
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-04 00:00:00.000000,0.02603512,0.05178437,0.12250664,34,68,163,20,42,83,0.01560435,0.03228918,0.06309199,0.27628075,0.41554219,0.58868632
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-05 00:00:00.000000,0.02496000,0.05001210,0.11983028,33,66,159,19,40,85,0.01494883,0.03047994,0.06390921,0.27059260,0.41219854,0.55898851
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-06 00:00:00.000000,0.02369229,0.04860058,0.11817143,31,64,157,18,38,90,0.01404364,0.02904893,0.06776652,0.25791540,0.40666771,0.53953068
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-07 00:00:00.000000,0.02172450,0.04624874,0.11599876,28,61,154,17,36,88,0.01285522,0.02749781,0.06683460,0.25273051,0.39941418,0.53852251
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-08 00:00:00.000000,0.02025792,0.04404570,0.11333759,26,58,150,15,35,87,0.01188680,0.02638188,0.06568212,0.24800105,0.39143056,0.53772299
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-09 00:00:00.000000,0.01946942,0.04232660,0.11019109,25,56,146,14,33,85,0.01126129,0.02532044,0.06427102,0.24507127,0.38806011,0.53372333
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-10 00:00:00.000000,0.01854160,0.04154520,0.10654822,24,55,141,14,32,83,0.01065842,0.02459583,0.06259831,0.24295949,0.38100151,0.52895660
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-11 00:00:00.000000,0.01765182,0.04012340,0.10230683,23,53,136,13,32,80,0.01039089,0.02424641,0.06060886,0.24141910,0.37239689,0.52488343
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-12 00:00:00.000000,0.01669565,0.03832856,0.10027188,22,51,133,13,31,77,0.01023391,0.02346594,0.05813654,0.24092220,0.36808782,0.52496571
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-13 00:00:00.000000,0.01658486,0.03575184,0.09309411,22,47,123,12,29,73,0.00939339,0.02191551,0.05527311,0.22284450,0.36094134,0.52117284
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-14 00:00:00.000000,0.01580226,0.03539730,0.08844666,21,47,117,12,26,70,0.00942653,0.02017777,0.05267573,0.21045215,0.35708637,0.52093132
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-15 00:00:00.000000,0.01555630,0.03369187,0.08388464,20,44,111,11,26,66,0.00894281,0.01960028,0.04997133,0.20463456,0.35255092,0.52319406
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-16 00:00:00.000000,0.01464976,0.03200681,0.07946002,19,42,105,11,25,65,0.00852019,0.01893436,0.04898440,0.20323286,0.35252048,0.52148636
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-17 00:00:00.000000,0.01374113,0.03100456,0.07526028,18,41,100,10,24,60,0.00807130,0.01830542,0.04561739,0.20049169,0.35029690,0.51713625
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-18 00:00:00.000000,0.01326229,0.03070958,0.07124836,17,40,94,10,23,56,0.00790181,0.01777241,0.04257788,0.19917507,0.34624073,0.50727279
47009,0,USTennesseeBlount,Tennessee,Blount,2020-10-02 00:29:25.471044,2020-04-19 00:00:00.000000,0.01247846,0.03048124,0.06810991,16,40,90,10,23,53,0.00759502,0.01775403,0.04034244,0.19148453,0.35109584,0.48844974
