FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-09 00:00:00.000000,0.00105361,0.00782234,0.02692676,0,4,15,0,1,6,0.00028427,0.00277062,0.01153661,0.40779116,0.63217727,0.82835168
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-10 00:00:00.000000,0.00105074,0.00638981,0.02814213,0,3,15,0,2,6,0.00059050,0.00359947,0.01146428,0.40776168,0.63217630,0.82833721
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-11 00:00:00.000000,0.00118414,0.00669254,0.02968134,0,3,16,0,2,6,0.00064187,0.00361498,0.01166990,0.40769677,0.63217246,0.82830264
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-12 00:00:00.000000,0.00113963,0.00712590,0.03128309,0,4,17,0,2,6,0.00069955,0.00390019,0.01215220,0.40755404,0.63216055,0.82821945
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-13 00:00:00.000000,0.00116484,0.00752979,0.03292554,0,4,18,0,2,7,0.00069433,0.00400536,0.01271366,0.40724111,0.63212668,0.82801648
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-14 00:00:00.000000,0.00115739,0.00791863,0.03409656,0,4,19,0,2,7,0.00070263,0.00414683,0.01334259,0.40655930,0.63184681,0.82751002
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-15 00:00:00.000000,0.00116111,0.00815327,0.03430107,0,4,19,0,2,7,0.00070060,0.00424760,0.01402821,0.40509374,0.63178887,0.81919212
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-16 00:00:00.000000,0.00349025,0.01039243,0.03959259,1,5,22,0,2,8,0.00069998,0.00434059,0.01476504,0.40203333,0.63314181,0.79944908
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-17 00:00:00.000000,0.00497796,0.01211646,0.04292572,2,6,24,0,3,9,0.00162312,0.00564996,0.01623394,0.39586549,0.63235825,0.79895643
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-18 00:00:00.000000,0.00716385,0.01464836,0.04644205,4,8,26,1,3,10,0.00251429,0.00680112,0.01859149,0.39092801,0.62182660,0.79815028
47031,0,USTennesseeCoffee,Tennessee,Coffee,2020-09-22 09:32:20.057205,2020-03-19 00:00:00.000000,0.00912133,0.01724495,0.04984774,5,9,28,1,4,11,0.00339328,0.00817507,0.02119689,0.38796039,0.61186987,0.79757719
