FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-09 00:00:00.000000,0.00274822,0.01400857,0.05014841,1,5,21,0,2,11,0.00127335,0.00710432,0.02752006,0.47471735,0.68912201,0.84488762
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-10 00:00:00.000000,0.00279582,0.01357938,0.04421113,1,5,18,0,3,11,0.00131252,0.00725439,0.02714091,0.47471894,0.68912177,0.84488758
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-11 00:00:00.000000,0.00293870,0.01424862,0.04256999,1,6,17,0,3,10,0.00133298,0.00764213,0.02521439,0.47472125,0.68912107,0.84488750
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-12 00:00:00.000000,0.00312299,0.01483080,0.04414558,1,6,18,0,3,9,0.00138622,0.00805365,0.02368584,0.47472457,0.68911903,0.84488733
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-13 00:00:00.000000,0.00333715,0.01568898,0.04649508,1,6,19,0,3,9,0.00147990,0.00851132,0.02215683,0.47472923,0.68911309,0.84488683
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-14 00:00:00.000000,0.00357856,0.01665834,0.04900137,1,7,20,0,3,9,0.00158613,0.00901058,0.02279335,0.47473558,0.68909572,0.84488485
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-15 00:00:00.000000,0.00384671,0.01770400,0.05165745,1,7,21,0,4,10,0.00170458,0.00955018,0.02393164,0.47474363,0.68862280,0.84487532
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-16 00:00:00.000000,0.00728215,0.02352562,0.05704879,3,9,24,0,4,10,0.00183530,0.01012738,0.02511619,0.47475234,0.68675122,0.84482483
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-17 00:00:00.000000,0.00923310,0.02969682,0.05904514,3,12,24,1,5,12,0.00393498,0.01392818,0.02868402,0.47475754,0.68317500,0.84454884
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-18 00:00:00.000000,0.01232905,0.03708461,0.06871531,5,15,29,2,7,13,0.00483475,0.01766245,0.03256041,0.46924930,0.67652066,0.84284033
47051,0,USTennesseeFranklin,Tennessee,Franklin,2020-09-17 00:06:05.155743,2020-03-19 00:00:00.000000,0.01570104,0.04425431,0.07636784,6,18,32,2,8,14,0.00647165,0.02122571,0.03513227,0.46175510,0.66033660,0.83507725
