FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-09 00:00:00.000000,0.00060662,0.00912685,0.02970164,0,4,15,0,2,7,0.00019727,0.00429363,0.01440480,0.44619900,0.58458883,0.88063897
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-10 00:00:00.000000,0.00044148,0.00838504,0.02567191,0,4,13,0,2,8,0.00031498,0.00508098,0.01500616,0.44619908,0.58458314,0.88063895
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-11 00:00:00.000000,0.00054924,0.00848058,0.02447808,0,4,13,0,2,7,0.00027843,0.00512812,0.01460181,0.44619925,0.58457256,0.88063889
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-12 00:00:00.000000,0.00056718,0.00836925,0.02398403,0,4,12,0,2,7,0.00033827,0.00501162,0.01467195,0.44619959,0.58455294,0.88063867
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-13 00:00:00.000000,0.00062869,0.00808033,0.02357504,0,4,12,0,2,7,0.00035807,0.00490638,0.01471443,0.44620027,0.58451666,0.88063791
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-14 00:00:00.000000,0.00068399,0.00791465,0.02358606,0,4,12,0,2,8,0.00039987,0.00494602,0.01553473,0.44620153,0.58445006,0.88063518
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-15 00:00:00.000000,0.00074739,0.00779220,0.02481957,0,4,13,0,2,8,0.00043512,0.00487023,0.01618376,0.44620346,0.58232184,0.88062516
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-16 00:00:00.000000,0.00141884,0.01194881,0.02771600,0,6,14,0,2,9,0.00046727,0.00484909,0.01673324,0.44620401,0.58107981,0.88058766
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-17 00:00:00.000000,0.00178796,0.01351331,0.03351941,0,7,18,0,4,10,0.00095535,0.00785177,0.02008737,0.44618790,0.57912215,0.88044550
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-18 00:00:00.000000,0.00225613,0.01637890,0.04119805,1,8,22,0,4,12,0.00121976,0.00874588,0.02372625,0.44606784,0.57788548,0.87990203
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-19 00:00:00.000000,0.00270899,0.01962685,0.04904410,1,10,26,0,5,15,0.00149703,0.01093625,0.02950355,0.43648140,0.57629692,0.87783151
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-20 00:00:00.000000,0.00316743,0.02173422,0.05722234,1,11,30,0,6,18,0.00178872,0.01246547,0.03516988,0.40708487,0.57057133,0.86588603
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-21 00:00:00.000000,0.00366636,0.02398141,0.06536354,1,12,35,1,7,21,0.00211272,0.01378756,0.04072026,0.38195960,0.55063526,0.83368715
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-22 00:00:00.000000,0.00419778,0.02598914,0.07379500,2,13,39,1,8,24,0.00243982,0.01493849,0.04629548,0.36600149,0.54061180,0.79593665
47107,0,USTennesseeMcMinn,Tennessee,McMinn,2020-09-17 00:04:48.673069,2020-03-23 00:00:00.000000,0.00615982,0.02850960,0.07920711,3,15,42,1,8,27,0.00277170,0.01594467,0.05096927,0.35627371,0.53231373,0.75292589
