FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-09 00:00:00.000000,0.00831868,0.05157823,0.16323975,1,7,24,0,2,9,0.00311637,0.01541685,0.06588182,0.47271730,0.72988909,0.95049174
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-10 00:00:00.000000,0.00921344,0.04940939,0.15588681,1,7,23,0,2,8,0.00284804,0.01402785,0.05512254,0.47272023,0.72988909,0.95049146
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-11 00:00:00.000000,0.01006003,0.05865312,0.17283423,1,8,25,0,2,7,0.00285337,0.01349953,0.04711733,0.47272664,0.72988909,0.95049075
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-12 00:00:00.000000,0.01096460,0.06320723,0.17842528,1,9,26,0,2,6,0.00295507,0.01374103,0.04113136,0.47274060,0.72988908,0.95048877
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-13 00:00:00.000000,0.01181310,0.06919075,0.18915802,1,10,28,0,2,5,0.00299347,0.01392514,0.03952056,0.47277104,0.72988905,0.95048276
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-14 00:00:00.000000,0.01298307,0.07479526,0.19926852,1,11,29,0,2,6,0.00266955,0.01432537,0.04058892,0.47283735,0.72988895,0.95046336
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-15 00:00:00.000000,0.01440636,0.08116330,0.21658546,2,12,32,0,2,6,0.00252936,0.01504931,0.04191284,0.47298156,0.73104476,0.95039757
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-16 00:00:00.000000,0.02854458,0.09893339,0.26203430,4,14,39,0,2,6,0.00249995,0.01562303,0.04348567,0.47329411,0.72988742,0.95016751
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-17 00:00:00.000000,0.03949443,0.11642611,0.32038212,5,17,48,0,2,6,0.00274886,0.01642434,0.04553834,0.47396641,0.72868159,0.94935489
47153,0,USTennesseeSequatchie,Tennessee,Sequatchie,2020-09-16 23:43:21.068505,2020-03-18 00:00:00.000000,0.04470707,0.13676971,0.38614528,6,20,58,0,2,7,0.00317480,0.01749937,0.04805554,0.47538949,0.72777754,0.94656845
