FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-09 00:00:00.000000,0.00118889,0.00444893,0.00908153,1,4,8,0,1,3,0.00011181,0.00129311,0.00314342,0.47418903,0.61901052,0.87807367
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-10 00:00:00.000000,0.00231087,0.00559538,0.01167311,2,5,11,0,2,4,0.00036859,0.00216237,0.00485115,0.47416048,0.61901081,0.87807366
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-11 00:00:00.000000,0.00331169,0.00746562,0.01594242,3,7,15,0,2,6,0.00059041,0.00282321,0.00630932,0.47411427,0.61901147,0.87807364
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-12 00:00:00.000000,0.00427883,0.00898384,0.02041410,4,8,20,0,3,7,0.00085769,0.00361827,0.00778674,0.47403958,0.61901292,0.87807356
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-13 00:00:00.000000,0.00482763,0.01115184,0.02514154,4,10,24,1,4,10,0.00119423,0.00439974,0.01049513,0.47391916,0.61901617,0.87807329
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-14 00:00:00.000000,0.00570313,0.01315351,0.03014929,5,12,29,1,5,13,0.00159988,0.00531923,0.01352043,0.47372579,0.61902340,0.87807232
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-15 00:00:00.000000,0.00659966,0.01547062,0.03545958,6,15,34,2,6,15,0.00207820,0.00621008,0.01570344,0.47341727,0.61903951,0.87806881
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-16 00:00:00.000000,0.00812894,0.01802356,0.04056902,7,17,39,2,7,18,0.00263444,0.00731708,0.01927437,0.47292990,0.61872130,0.87805597
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-17 00:00:00.000000,0.00936475,0.02069197,0.04603086,9,20,45,3,8,22,0.00317079,0.00864816,0.02241163,0.46854046,0.61429432,0.87830550
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-18 00:00:00.000000,0.01038517,0.02373619,0.05183941,10,23,50,3,9,25,0.00350173,0.00994487,0.02612872,0.46763599,0.60599199,0.88546049
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-19 00:00:00.000000,0.01109792,0.02675861,0.05863730,10,26,57,4,11,29,0.00423592,0.01137138,0.03028810,0.45898059,0.59554820,0.87716361
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-20 00:00:00.000000,0.01173240,0.03010954,0.06456372,11,29,63,4,12,34,0.00506713,0.01296485,0.03487761,0.41575664,0.58546568,0.85004237
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-21 00:00:00.000000,0.01227141,0.03320421,0.07102569,12,32,69,5,14,37,0.00576780,0.01440123,0.03786301,0.40099557,0.56026357,0.78956180
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-22 00:00:00.000000,0.01276497,0.03689865,0.07666605,12,36,75,6,16,39,0.00678199,0.01639223,0.04009185,0.39462752,0.54076791,0.82871099
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-23 00:00:00.000000,0.01400202,0.04045142,0.08241108,13,39,80,7,17,44,0.00780470,0.01806242,0.04553631,0.39412714,0.52769887,0.81930029
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-24 00:00:00.000000,0.01519476,0.04586912,0.09370042,14,45,92,8,20,48,0.00850198,0.02065589,0.04984567,0.39244490,0.51528999,0.76073692
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-25 00:00:00.000000,0.01641922,0.04924362,0.10717296,16,48,105,8,22,52,0.00899039,0.02266258,0.05298502,0.38046732,0.50313133,0.76023691
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-26 00:00:00.000000,0.01760686,0.05378563,0.12046305,17,52,118,9,24,54,0.00947560,0.02462782,0.05593096,0.36852206,0.49630354,0.73891661
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-27 00:00:00.000000,0.01874817,0.05899178,0.13359379,18,57,131,9,26,57,0.00994510,0.02671762,0.05864819,0.35749409,0.47999927,0.69633463
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-28 00:00:00.000000,0.01982497,0.06317247,0.14689497,19,62,144,10,27,59,0.01040076,0.02833738,0.06022767,0.35156841,0.46361050,0.66640888
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-29 00:00:00.000000,0.02076300,0.06609339,0.15931590,20,64,156,10,29,59,0.01084238,0.02992969,0.06097978,0.32801826,0.45595363,0.67216051
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-30 00:00:00.000000,0.02198882,0.06753209,0.17119171,21,66,168,11,33,65,0.01126967,0.03366861,0.06682894,0.31652979,0.44677378,0.62983754
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-03-31 00:00:00.000000,0.02301887,0.07676996,0.18396793,22,75,180,11,35,72,0.01180119,0.03570892,0.07356753,0.31240087,0.43988810,0.62395575
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-01 00:00:00.000000,0.02390131,0.08250227,0.19790051,23,81,194,12,37,79,0.01233424,0.03771208,0.08047658,0.30874811,0.43274332,0.62437376
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-02 00:00:00.000000,0.02377297,0.08458234,0.21323758,23,83,209,12,38,86,0.01284757,0.03956353,0.08766469,0.29967942,0.41600216,0.62435314
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-03 00:00:00.000000,0.02384882,0.08424301,0.23030888,23,82,226,13,41,93,0.01332653,0.04216388,0.09524871,0.29582698,0.41411994,0.62396604
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-04 00:00:00.000000,0.02515075,0.08830875,0.24676887,24,86,242,13,45,101,0.01376879,0.04610456,0.10336202,0.29428549,0.42066986,0.63045011
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-05 00:00:00.000000,0.02552856,0.09202978,0.26194072,25,90,257,13,48,110,0.01417405,0.04949555,0.11204715,0.28238153,0.41431248,0.61785448
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-06 00:00:00.000000,0.02474465,0.09537952,0.28276058,24,93,277,14,53,119,0.01434025,0.05455422,0.12156524,0.26455349,0.40084233,0.61845590
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-07 00:00:00.000000,0.02384205,0.09892376,0.31345073,23,97,307,14,56,130,0.01460994,0.05800498,0.13331652,0.25741521,0.39413892,0.59460821
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-08 00:00:00.000000,0.02415819,0.10112026,0.34708524,23,99,341,14,60,146,0.01450493,0.06162840,0.14869424,0.25234797,0.38652934,0.59206229
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-09 00:00:00.000000,0.02444899,0.10454626,0.38366512,24,102,376,14,62,162,0.01467416,0.06354137,0.16551207,0.25188361,0.38003470,0.60047776
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-10 00:00:00.000000,0.02395108,0.10797297,0.40911066,23,106,401,14,63,175,0.01483243,0.06437846,0.17891549,0.25454322,0.37618034,0.60164597
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-11 00:00:00.000000,0.02349259,0.11009065,0.42680202,23,108,419,14,63,188,0.01457643,0.06484779,0.19196208,0.25097879,0.37474810,0.58997672
47155,0,USTennesseeSevier,Tennessee,Sevier,2020-09-09 06:07:55.236876,2020-04-12 00:00:00.000000,0.02307812,0.11131830,0.46150425,22,109,453,14,63,206,0.01429955,0.06437891,0.21056983,0.24516937,0.36556310,0.58745769
