FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-09 00:00:00.000000,0.01674480,0.07236073,0.24189503,1,6,20,0,1,4,0.00276069,0.01281195,0.05822941,0.57767904,0.76667159,1.15105861
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-10 00:00:00.000000,0.01466836,0.05795020,0.15975845,1,4,13,0,0,3,0.00244409,0.01148428,0.04529726,0.57767965,0.76667234,1.15106274
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-11 00:00:00.000000,0.01628759,0.06075173,0.17485590,1,5,14,0,0,3,0.00254921,0.01098767,0.04229170,0.57768186,0.76667439,1.15107383
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-12 00:00:00.000000,0.01782633,0.06503313,0.19271151,1,5,16,0,0,3,0.00237357,0.01011044,0.03912348,0.57768980,0.76668014,1.15110347
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-13 00:00:00.000000,0.01931239,0.06786352,0.21070651,1,5,18,0,0,3,0.00242849,0.01012088,0.03691611,0.57771809,0.76669690,1.15118148
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-14 00:00:00.000000,0.02077096,0.07297682,0.22102612,1,6,18,0,0,3,0.00249534,0.01033636,0.03564203,0.57781849,0.76674815,1.15137783
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-15 00:00:00.000000,0.02222097,0.07806456,0.24397166,1,6,20,0,0,2,0.00256665,0.01046186,0.03470040,0.57817348,0.76691376,1.15160710
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-16 00:00:00.000000,0.02367107,0.08275993,0.26582155,2,7,22,0,0,3,0.00264249,0.00998944,0.03520334,0.57942075,0.76747675,1.15161758
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-17 00:00:00.000000,0.02510676,0.08739700,0.28448201,2,7,24,0,0,3,0.00272295,0.00994890,0.03617886,0.58291420,0.78527846,1.15164313
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-18 00:00:00.000000,0.02647459,0.09087457,0.30325733,2,7,25,0,0,3,0.00280814,0.00994921,0.03728910,0.58223135,0.78949116,1.15171682
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-19 00:00:00.000000,0.02772107,0.09486598,0.32210440,2,8,27,0,0,3,0.00289825,0.01030315,0.03834435,0.57808541,0.79937742,1.15197495
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-20 00:00:00.000000,0.02887806,0.09887091,0.34126919,2,8,29,0,0,3,0.00299358,0.01071720,0.03927286,0.56872261,0.80126922,1.18086401
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-21 00:00:00.000000,0.03002031,0.10278563,0.36093543,2,8,30,0,0,3,0.00309457,0.01114633,0.04023894,0.54247080,0.80811065,1.18060145
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-22 00:00:00.000000,0.03119755,0.10636945,0.38102794,2,9,32,0,0,3,0.00320149,0.01159715,0.04123861,0.53163301,0.79630002,1.24211225
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-23 00:00:00.000000,0.03244011,0.11000700,0.40145076,2,9,34,0,1,3,0.00331433,0.01210644,0.04316295,0.53128630,0.80369382,1.27057981
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-24 00:00:00.000000,0.03378058,0.11497884,0.42219990,2,9,36,0,1,3,0.00343314,0.01261902,0.04388846,0.51852725,0.80826353,1.28221506
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-25 00:00:00.000000,0.03526909,0.12017333,0.44107031,3,10,37,0,1,3,0.00355803,0.01311580,0.04489242,0.52970718,0.80306623,1.28779356
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-26 00:00:00.000000,0.03697031,0.12314119,0.45594057,3,10,38,0,1,3,0.00368920,0.01352163,0.04628073,0.52658809,0.79902638,1.31587310
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-27 00:00:00.000000,0.03892696,0.12691791,0.47080155,3,10,40,0,1,4,0.00382696,0.01395122,0.04771109,0.50165022,0.79390742,1.34333919
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-28 00:00:00.000000,0.04112814,0.13167263,0.48606900,3,11,41,0,1,4,0.00397182,0.01436287,0.04916723,0.49389362,0.79963351,1.36384597
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-29 00:00:00.000000,0.04353403,0.13644734,0.50244035,3,11,42,0,1,4,0.00412470,0.01475600,0.05064061,0.48056354,0.81603572,1.41625825
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-30 00:00:00.000000,0.04609878,0.14213997,0.53464278,3,12,45,0,1,4,0.00428697,0.01524594,0.05213162,0.47288416,0.84206695,1.47597868
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-03-31 00:00:00.000000,0.04751332,0.14800811,0.57368374,4,12,49,0,1,4,0.00445970,0.01577437,0.05364689,0.46854173,0.83579824,1.58921134
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-01 00:00:00.000000,0.04898363,0.15401532,0.60708548,4,13,51,0,1,4,0.00464302,0.01632259,0.05519469,0.44134696,0.82990324,1.62241150
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-02 00:00:00.000000,0.05051033,0.15886402,0.63414701,4,13,54,0,1,4,0.00483675,0.01689007,0.05678220,0.43294602,0.83251609,1.67334795
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-03 00:00:00.000000,0.05209234,0.16291644,0.66269410,4,13,56,0,1,4,0.00504100,0.01732789,0.05841499,0.43280479,0.83590452,1.87836331
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-04 00:00:00.000000,0.05286540,0.16692576,0.69227083,4,14,59,0,1,5,0.00525630,0.01783551,0.06009740,0.45307062,0.83548360,2.05111524
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-05 00:00:00.000000,0.05198352,0.17116817,0.72292628,4,14,61,0,1,5,0.00548345,0.01856006,0.06183345,0.43829219,0.82980262,2.16869393
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-06 00:00:00.000000,0.05114410,0.17606972,0.75470368,4,15,64,0,1,5,0.00563439,0.01929376,0.06362858,0.40152256,0.83378050,2.23525205
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-07 00:00:00.000000,0.05035252,0.18220932,0.78765336,4,15,67,0,1,5,0.00556414,0.01988089,0.06549413,0.40523060,0.83507674,2.26304915
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-08 00:00:00.000000,0.05026349,0.18845510,0.82182833,4,16,70,0,1,5,0.00549453,0.02054660,0.06745119,0.40351764,0.83997513,2.27252065
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-09 00:00:00.000000,0.05189821,0.19498789,0.85728348,4,16,73,0,1,5,0.00542655,0.02118550,0.06952097,0.40059322,0.84182330,2.27315775
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-10 00:00:00.000000,0.05395657,0.20183906,0.89407551,4,17,76,0,1,6,0.00536129,0.02190675,0.07170905,0.39836703,0.85250731,2.26520809
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-11 00:00:00.000000,0.05614749,0.20887693,0.93226295,4,17,79,0,1,6,0.00529971,0.02269774,0.07400753,0.40334957,0.86329099,2.24497690
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-12 00:00:00.000000,0.05840868,0.21601267,0.97190624,4,18,83,0,2,6,0.00524246,0.02352278,0.07704274,0.41249389,0.86225437,2.23833928
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-13 00:00:00.000000,0.06069466,0.22181182,1.01306785,5,18,86,0,2,6,0.00536797,0.02438085,0.08063465,0.41738380,0.88126688,2.26847862
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-14 00:00:00.000000,0.06295607,0.22749907,1.05581229,5,19,90,0,2,7,0.00553925,0.02522435,0.08443283,0.41087706,0.87724966,2.24012521
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-15 00:00:00.000000,0.06510771,0.23496711,1.10020625,5,20,94,0,2,7,0.00571617,0.02584017,0.08845924,0.38862440,0.88940363,2.18889896
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-16 00:00:00.000000,0.06706819,0.24244604,1.14631866,5,20,98,0,2,7,0.00589880,0.02627968,0.09273011,0.38553110,0.90996106,2.23669868
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-17 00:00:00.000000,0.06841743,0.25023565,1.19422078,5,21,102,0,2,8,0.00608712,0.02679661,0.09725963,0.38449046,0.93549579,2.22188143
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-18 00:00:00.000000,0.06870601,0.25980494,1.24398628,5,22,106,0,2,8,0.00628139,0.02741482,0.10206372,0.38375777,0.94039386,2.20981953
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-19 00:00:00.000000,0.06905830,0.26973028,1.29569134,5,23,110,0,2,9,0.00648195,0.02830356,0.10716388,0.38334880,0.97344426,2.38105204
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-20 00:00:00.000000,0.06947918,0.28153572,1.34941474,5,24,115,0,2,9,0.00668906,0.02923118,0.11259022,0.38425385,1.00478808,2.49886019
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-21 00:00:00.000000,0.07009518,0.29325222,1.40523790,5,25,120,0,2,10,0.00690296,0.03019184,0.11837917,0.39172196,1.00965817,2.66624226
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-22 00:00:00.000000,0.07107352,0.30594057,1.46324504,6,26,125,0,2,10,0.00712388,0.03117933,0.12454927,0.42411452,1.01075174,2.63766032
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-23 00:00:00.000000,0.07234732,0.31905005,1.52352324,6,27,130,0,2,11,0.00735205,0.03191436,0.13111750,0.42464741,1.01186115,2.61150324
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-24 00:00:00.000000,0.07375496,0.33248036,1.58616250,6,28,135,0,2,11,0.00758772,0.03267072,0.13808127,0.42271375,1.01688736,2.59430440
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-25 00:00:00.000000,0.07522216,0.34472407,1.65125589,6,29,141,0,2,12,0.00783113,0.03347965,0.14544313,0.41884190,1.03353630,2.58634554
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-26 00:00:00.000000,0.07672330,0.35732077,1.71889958,6,30,147,0,2,13,0.00808301,0.03506933,0.15321993,0.41129672,1.04925620,2.59934302
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-27 00:00:00.000000,0.10644274,0.39717829,1.80849857,9,33,154,0,3,13,0.00834783,0.03655655,0.16143226,0.39892209,1.06850930,2.67269602
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-28 00:00:00.000000,0.12757379,0.45230850,1.90084998,10,38,162,0,3,14,0.00888209,0.03859938,0.17028988,0.38998704,1.07887317,2.83623394
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-29 00:00:00.000000,0.14908977,0.49646808,1.99623063,12,42,170,0,3,15,0.00947556,0.04158658,0.17981239,0.38290390,1.08385773,2.89048777
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-04-30 00:00:00.000000,0.16975185,0.52932663,2.09458463,14,45,179,0,3,16,0.01067803,0.04444283,0.19002214,0.37275581,1.11290823,2.99708506
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-05-01 00:00:00.000000,0.18562416,0.58423821,2.19602940,15,49,187,0,4,17,0.01151616,0.04713985,0.20094494,0.36375409,1.14775280,3.01409542
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-05-02 00:00:00.000000,0.19845895,0.64953170,2.30071683,16,55,196,1,4,18,0.01239890,0.05147734,0.21261042,0.35894298,1.14771584,2.99618734
48009,0,USTexasArcher,Texas,Archer,2020-08-31 15:07:05.121374,2020-05-03 00:00:00.000000,0.21136256,0.70744818,2.40880768,18,60,206,1,4,19,0.01332611,0.05603786,0.22589363,0.35773483,1.14272064,2.99442819
