FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-09 00:00:00.000000,0.00511353,0.04072559,0.13199524,0,2,9,0,1,5,0.00193471,0.01460912,0.07223846,0.48834819,0.62257677,0.78570922
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-10 00:00:00.000000,0.00452060,0.03357680,0.12296847,0,2,8,0,1,5,0.00288813,0.01868290,0.07497333,0.48834816,0.62257805,0.78570892
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-11 00:00:00.000000,0.00479927,0.03530425,0.12370688,0,2,8,0,1,5,0.00297673,0.01828316,0.07727464,0.48834813,0.62258071,0.78570775
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-12 00:00:00.000000,0.00492791,0.03398834,0.12579571,0,2,8,0,1,5,0.00297389,0.01894406,0.07921471,0.48834808,0.62258618,0.78570368
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-13 00:00:00.000000,0.00503466,0.03473610,0.12832072,0,2,8,0,1,5,0.00296789,0.01912417,0.08106173,0.48834801,0.62259740,0.78569044
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-14 00:00:00.000000,0.00502459,0.03540857,0.13097762,0,2,9,0,1,5,0.00296262,0.01944983,0.08288505,0.48834793,0.62262022,0.78564837
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-15 00:00:00.000000,0.00501503,0.03603509,0.13364992,0,2,9,0,1,5,0.00295702,0.01976335,0.08470119,0.48834789,0.62266600,0.78551658
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-16 00:00:00.000000,0.00500604,0.03659451,0.13607490,0,2,9,0,1,5,0.00295160,0.01952226,0.08343413,0.48834809,0.62275537,0.78108768
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-17 00:00:00.000000,0.00499992,0.03634751,0.13779372,0,2,9,0,1,5,0.00294671,0.01963281,0.08077572,0.48834926,0.62292025,0.75404753
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-18 00:00:00.000000,0.00500395,0.03622203,0.13808945,0,2,9,0,1,5,0.00294429,0.01979367,0.07866744,0.48835310,0.61659268,0.73561757
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-19 00:00:00.000000,0.00503073,0.03517296,0.13638296,0,2,9,0,1,5,0.00295057,0.01979206,0.07869701,0.46813695,0.61308157,0.72912663
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-20 00:00:00.000000,0.00508128,0.03458668,0.13076849,0,2,9,0,1,5,0.00297495,0.01989192,0.07604499,0.44221319,0.60706599,0.73257285
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-21 00:00:00.000000,0.00514735,0.03385398,0.12293396,0,2,8,0,1,5,0.00301348,0.01945707,0.07179684,0.42479145,0.60145169,0.73259475
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-22 00:00:00.000000,0.00522153,0.03267105,0.11472574,0,2,8,0,1,5,0.00305646,0.01897400,0.07145372,0.41876451,0.58457705,0.71408547
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-23 00:00:00.000000,0.00529866,0.03250783,0.10884850,0,2,7,0,1,5,0.00310129,0.01923950,0.07288746,0.41658324,0.56792129,0.70272754
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-24 00:00:00.000000,0.00537721,0.03223353,0.11107358,0,2,7,0,1,5,0.00313712,0.01958628,0.07435360,0.41158572,0.55745348,0.69885997
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-25 00:00:00.000000,0.00545467,0.03086989,0.11199848,0,2,7,0,1,5,0.00295043,0.01954313,0.07368196,0.40030592,0.54745060,0.69630830
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-26 00:00:00.000000,0.00536372,0.03042097,0.10818310,0,2,7,0,1,4,0.00280874,0.01809338,0.07119001,0.38429459,0.54377922,0.69263100
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-27 00:00:00.000000,0.00525826,0.02966511,0.10506482,0,2,7,0,1,4,0.00274109,0.01733252,0.06877044,0.37802767,0.53506235,0.69687332
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-28 00:00:00.000000,0.00520498,0.02882976,0.10484972,0,2,7,0,1,4,0.00271133,0.01695378,0.06638116,0.36109393,0.53052558,0.73640427
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-29 00:00:00.000000,0.00516863,0.02876804,0.10329972,0,2,7,0,1,4,0.00268980,0.01688230,0.06389193,0.35197344,0.52665619,0.75367024
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-30 00:00:00.000000,0.00494017,0.02766125,0.10700491,0,1,7,0,1,4,0.00267113,0.01647916,0.06265357,0.33903739,0.51808379,0.75445366
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-03-31 00:00:00.000000,0.00430896,0.02596629,0.11109839,0,1,7,0,1,4,0.00235608,0.01531235,0.06518483,0.32501425,0.51175146,0.75411313
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-04-01 00:00:00.000000,0.00374051,0.02472936,0.10742936,0,1,7,0,1,4,0.00216540,0.01446221,0.06765951,0.32422005,0.50565877,0.75246760
48017,0,USTexasBailey,Texas,Bailey,2020-10-08 00:01:51.926317,2020-04-02 00:00:00.000000,0.00325652,0.02304558,0.10112580,0,1,7,0,0,4,0.00210574,0.01339003,0.06662440,0.32575461,0.50501488,0.73041093
