FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-09 00:00:00.000000,0.00643870,0.03639697,0.09128851,0,4,12,0,2,7,0.00320719,0.01641437,0.05460316,0.34899877,0.52759495,0.69258990
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-10 00:00:00.000000,0.00536958,0.02907884,0.08971557,0,3,12,0,2,7,0.00328876,0.01705020,0.05189622,0.34899876,0.52757826,0.69208136
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-11 00:00:00.000000,0.00585722,0.03030686,0.09628862,0,4,13,0,2,7,0.00336026,0.01631960,0.05542839,0.34899876,0.52755558,0.69130098
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-12 00:00:00.000000,0.00574494,0.03083641,0.09895851,0,4,13,0,2,7,0.00345518,0.01728154,0.05745094,0.34899875,0.52752470,0.69010645
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-13 00:00:00.000000,0.00598069,0.03165605,0.10981193,0,4,14,0,2,8,0.00364340,0.01794579,0.06153682,0.34899872,0.52251812,0.68828486
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-14 00:00:00.000000,0.00652539,0.03294983,0.11748156,0,4,16,0,2,9,0.00397154,0.01874379,0.06622352,0.34899861,0.52251450,0.68552292
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-15 00:00:00.000000,0.00710981,0.03512434,0.12308791,0,4,16,0,2,9,0.00432294,0.01927849,0.07015730,0.34899822,0.52250193,0.68137094
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-16 00:00:00.000000,0.01756344,0.04577243,0.13377705,2,6,18,0,2,9,0.00469986,0.02066673,0.07329554,0.34899661,0.52185408,0.67716249
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-17 00:00:00.000000,0.02669454,0.05514341,0.14439263,3,7,19,1,3,11,0.00952940,0.02794437,0.08127672,0.34898839,0.51782863,0.67418188
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-18 00:00:00.000000,0.03840072,0.06896549,0.15657087,5,9,21,1,4,11,0.01294797,0.03436608,0.08779956,0.33383389,0.51353858,0.66817165
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-19 00:00:00.000000,0.04876146,0.07840894,0.17533631,6,10,23,2,5,13,0.01647610,0.04033821,0.09989321,0.33285919,0.51094788,0.65210888
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-20 00:00:00.000000,0.05509735,0.08815138,0.20001641,7,12,27,2,6,15,0.02015808,0.04825783,0.11497367,0.32110251,0.48879930,0.64180773
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-21 00:00:00.000000,0.06192248,0.09682356,0.22410832,8,13,30,3,7,17,0.02400899,0.05373558,0.12791307,0.29709327,0.45919769,0.63498865
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-22 00:00:00.000000,0.06397890,0.10673002,0.24805484,8,14,33,3,7,19,0.02797459,0.05865304,0.14350710,0.28210468,0.42848091,0.61532724
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-23 00:00:00.000000,0.06770902,0.12251586,0.25813724,9,16,35,4,8,21,0.03200457,0.06497980,0.15975532,0.26266647,0.40516164,0.59648493
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-24 00:00:00.000000,0.07834850,0.13709203,0.26834781,10,18,36,4,9,22,0.03426217,0.07167916,0.16576361,0.25066308,0.39744368,0.59449448
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-25 00:00:00.000000,0.08616026,0.14490294,0.28826800,11,19,39,5,10,24,0.03675510,0.07908333,0.17696951,0.24628872,0.38625059,0.56968135
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-26 00:00:00.000000,0.09223055,0.15469056,0.30872439,12,21,42,5,11,25,0.03950118,0.08763773,0.18700198,0.24074978,0.36114212,0.55674230
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-27 00:00:00.000000,0.09624380,0.16300408,0.32947487,13,22,44,5,12,26,0.04233772,0.09348351,0.19621711,0.21725430,0.34842070,0.51875399
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-28 00:00:00.000000,0.09695740,0.16955523,0.35003851,13,23,47,6,13,27,0.04505641,0.09934854,0.20471756,0.19095610,0.33402602,0.49653335
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-29 00:00:00.000000,0.09676194,0.17943570,0.36964937,13,24,50,6,14,29,0.04763114,0.10547910,0.21292102,0.17554266,0.32333027,0.48224012
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-30 00:00:00.000000,0.09673319,0.18812928,0.38546960,13,25,52,6,15,30,0.05018744,0.11164616,0.22110767,0.17203662,0.31622957,0.48077831
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-03-31 00:00:00.000000,0.09288551,0.19587889,0.39978678,12,26,54,7,16,31,0.05284944,0.11862101,0.22957384,0.17096174,0.30916849,0.47943839
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-01 00:00:00.000000,0.08791159,0.20094909,0.41470482,11,27,56,7,16,33,0.05196342,0.12066845,0.24467881,0.17031419,0.30162386,0.47772784
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-02 00:00:00.000000,0.08912181,0.21260783,0.43021764,12,28,58,6,17,35,0.04972505,0.12541207,0.25997046,0.16953147,0.29316446,0.47532503
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-03 00:00:00.000000,0.08863665,0.22120459,0.44629972,12,30,60,6,17,37,0.05091067,0.13042322,0.27483739,0.16394396,0.28268058,0.47023425
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-04 00:00:00.000000,0.08166681,0.23076182,0.46269159,11,31,63,6,17,39,0.04923115,0.13025058,0.28643269,0.16188179,0.27733317,0.45466894
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-05 00:00:00.000000,0.07526407,0.24323575,0.47737486,10,33,65,6,18,38,0.04707714,0.13630301,0.28562404,0.16130979,0.27438785,0.44365323
48093,0,USTexasComanche,Texas,Comanche,2020-09-29 02:24:04.651187,2020-04-06 00:00:00.000000,0.07939873,0.24921901,0.48518510,10,33,66,6,19,39,0.04411809,0.14232507,0.28784200,0.16021932,0.26821211,0.42398286
