FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-09 00:00:00.000000,0.00114484,0.02789655,0.21150699,0,0,7,0,0,4,0.00060179,0.01181206,0.11710180,0.37567611,0.52523552,0.70517312
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-10 00:00:00.000000,0.00115017,0.02131043,0.18119298,0,0,6,0,0,4,0.00078274,0.01551638,0.13702472,0.37567171,0.52523395,0.70517253
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-11 00:00:00.000000,0.00133955,0.02285203,0.19768337,0,0,6,0,0,5,0.00090606,0.01643145,0.14694220,0.37566097,0.52522997,0.70517109
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-12 00:00:00.000000,0.00154874,0.02520397,0.21570225,0,0,7,0,0,5,0.00105070,0.01797708,0.15724100,0.37563495,0.52521978,0.70516754
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-13 00:00:00.000000,0.00176513,0.02850106,0.23182553,0,0,8,0,0,6,0.00118214,0.02032246,0.17743883,0.37557297,0.52519350,0.70515869
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-14 00:00:00.000000,0.00195970,0.03174529,0.24710245,0,1,8,0,0,6,0.00132311,0.02288556,0.19427972,0.37543153,0.52512467,0.70513653
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-15 00:00:00.000000,0.00217483,0.03546740,0.26346790,0,1,9,0,0,7,0.00147601,0.02578234,0.20713515,0.37517606,0.52371779,0.70508105
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-16 00:00:00.000000,0.00241292,0.03988751,0.28263424,0,1,9,0,1,7,0.00164310,0.02900086,0.22085381,0.37517616,0.52017211,0.70366881
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-17 00:00:00.000000,0.00267661,0.04487691,0.30492391,0,1,10,0,1,8,0.00182662,0.03193538,0.23549735,0.37516329,0.50980677,0.69172780
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-18 00:00:00.000000,0.00296869,0.05004464,0.32905144,0,1,11,0,1,8,0.00202885,0.03603987,0.25114943,0.37508657,0.50862216,0.66814139
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-19 00:00:00.000000,0.00329188,0.05487470,0.35531827,0,1,12,0,1,9,0.00225213,0.04022188,0.26791269,0.36439405,0.49749217,0.65115096
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-20 00:00:00.000000,0.00364592,0.06001030,0.38412827,0,2,13,0,1,10,0.00249863,0.04352145,0.28878694,0.35525739,0.47225842,0.64885752
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-21 00:00:00.000000,0.00401244,0.06527710,0.41578310,0,2,14,0,1,10,0.00276808,0.04737737,0.31226426,0.32473359,0.45505050,0.63106884
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-22 00:00:00.000000,0.00436525,0.07269974,0.45033004,0,2,15,0,1,11,0.00304527,0.05220975,0.33806047,0.30826565,0.42438061,0.62656545
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-23 00:00:00.000000,0.00472772,0.07905285,0.48770599,0,2,16,0,1,12,0.00330862,0.05724770,0.36616735,0.29327438,0.41449190,0.58746103
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-24 00:00:00.000000,0.00511085,0.08450128,0.52792804,0,2,18,0,2,13,0.00357878,0.06322720,0.39652144,0.26970893,0.40796662,0.58321706
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-25 00:00:00.000000,0.00552168,0.09145466,0.57118549,0,3,19,0,2,14,0.00386787,0.06900986,0.42916232,0.25525130,0.40309191,0.57723151
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-26 00:00:00.000000,0.00596428,0.10199050,0.61771280,0,3,21,0,2,16,0.00417913,0.07481899,0.46427344,0.24503142,0.38636237,0.56398587
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-27 00:00:00.000000,0.00644003,0.11085732,0.65012611,0,3,22,0,2,17,0.00451439,0.08211792,0.50205047,0.22430530,0.36863938,0.52917821
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-28 00:00:00.000000,0.00694598,0.11528990,0.66136371,0,3,22,0,3,18,0.00487447,0.08966088,0.53072872,0.21643501,0.35959647,0.51400995
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-29 00:00:00.000000,0.00746804,0.12359778,0.66754499,0,4,23,0,3,18,0.00525681,0.09480723,0.53962468,0.19474825,0.33879453,0.49472662
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-30 00:00:00.000000,0.00798368,0.13268530,0.66674584,0,4,23,0,3,18,0.00564977,0.09747440,0.54400462,0.19411691,0.32564185,0.48599257
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-03-31 00:00:00.000000,0.00848790,0.13900158,0.66496626,0,4,23,0,3,18,0.00603501,0.10041992,0.54262103,0.19332193,0.32148082,0.47620315
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-01 00:00:00.000000,0.00898179,0.14191577,0.67132632,0,4,23,0,3,18,0.00640958,0.10498867,0.53774641,0.19061246,0.31190984,0.46902987
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-02 00:00:00.000000,0.00945445,0.14661370,0.67598794,0,5,23,0,3,18,0.00677663,0.11104724,0.53116731,0.18762591,0.30024384,0.46731811
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-03 00:00:00.000000,0.00988765,0.15328991,0.67967924,0,5,23,0,4,18,0.00712759,0.11675009,0.52714075,0.18430365,0.29154847,0.45390201
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-04 00:00:00.000000,0.01026648,0.15654244,0.68164246,0,5,23,0,4,18,0.00744690,0.11875324,0.53006795,0.18209379,0.28290040,0.45076674
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-05 00:00:00.000000,0.01058928,0.15591824,0.67894116,0,5,23,0,4,18,0.00772307,0.11865708,0.53141750,0.18062672,0.28184312,0.44905802
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-06 00:00:00.000000,0.01086648,0.16070868,0.66918829,0,5,23,0,4,18,0.00795646,0.12283610,0.53184818,0.17076279,0.27485962,0.42930019
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-07 00:00:00.000000,0.01111272,0.16503950,0.65479094,0,5,22,0,4,18,0.00815704,0.12930712,0.52859941,0.15782358,0.27235869,0.42304355
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-08 00:00:00.000000,0.01134103,0.16571087,0.63853462,0,5,22,0,4,18,0.00833689,0.13483381,0.52036608,0.14744985,0.27047382,0.41582493
48105,0,USTexasCrockett,Texas,Crockett,2020-09-16 23:28:23.864588,2020-04-09 00:00:00.000000,0.01156066,0.16626789,0.62198525,0,5,21,0,4,17,0.00850556,0.13632107,0.50986436,0.14724934,0.26495395,0.40451728
