FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-09 00:00:00.000000,0.00234933,0.00434210,0.00804218,61,114,211,25,55,113,0.00096239,0.00211529,0.00428944,0.67620373,0.88470759,1.25782585
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-10 00:00:00.000000,0.00248123,0.00500441,0.00865407,65,131,228,42,71,135,0.00159877,0.00272408,0.00515951,0.67620346,0.88470759,1.25782582
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-11 00:00:00.000000,0.00307726,0.00595393,0.01074750,81,156,283,48,83,163,0.00185032,0.00315781,0.00621689,0.67620296,0.88470760,1.25782577
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-12 00:00:00.000000,0.00398533,0.00708851,0.01333058,105,186,351,60,97,190,0.00228603,0.00368918,0.00723229,0.67620209,0.88470769,1.25782562
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-13 00:00:00.000000,0.00508378,0.00836796,0.01505512,133,220,396,73,115,228,0.00279362,0.00439339,0.00866010,0.67620054,0.88470811,1.25782525
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-14 00:00:00.000000,0.00581743,0.00989317,0.01809879,153,260,476,87,138,272,0.00333116,0.00525975,0.01032181,0.67619782,0.88470991,1.25782423
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-15 00:00:00.000000,0.00667942,0.01148010,0.02247374,176,302,592,104,167,325,0.00396871,0.00633897,0.01233565,0.67619316,0.88471751,1.25782121
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-16 00:00:00.000000,0.00765900,0.01328802,0.02777062,201,350,731,120,201,403,0.00456669,0.00764391,0.01532049,0.67735077,0.88474960,1.25781143
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-17 00:00:00.000000,0.00876807,0.01543168,0.03412231,231,406,899,137,228,498,0.00520985,0.00868665,0.01893194,0.69613349,0.88488673,1.25777687
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-18 00:00:00.000000,0.01034326,0.01856046,0.04166462,272,489,1098,154,268,612,0.00585984,0.01017154,0.02325460,0.69612111,0.87878722,1.25764564
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-19 00:00:00.000000,0.01213926,0.02211304,0.05053594,319,582,1331,179,314,747,0.00680154,0.01191502,0.02837744,0.69225364,0.87662506,1.25712169
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-20 00:00:00.000000,0.01439879,0.02613549,0.06087692,379,688,1604,202,374,906,0.00767892,0.01421566,0.03440145,0.68265524,0.88233273,1.26108208
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-21 00:00:00.000000,0.01662216,0.03081923,0.07283105,438,812,1919,229,444,1091,0.00869135,0.01684953,0.04141568,0.66959687,0.90569355,1.28104782
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-22 00:00:00.000000,0.01923101,0.03599101,0.08602835,506,948,2267,267,520,1304,0.01015709,0.01974487,0.04951036,0.65708058,0.89682801,1.28936838
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-23 00:00:00.000000,0.02203521,0.04245799,0.09840848,580,1118,2593,311,607,1488,0.01180937,0.02304413,0.05647777,0.62736246,0.89596895,1.27797915
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-24 00:00:00.000000,0.02511647,0.04983393,0.10912733,661,1313,2876,360,703,1772,0.01366643,0.02667797,0.06727273,0.61463500,0.87315760,1.25217560
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-25 00:00:00.000000,0.02852600,0.05697242,0.12052004,751,1501,3176,418,799,2127,0.01588824,0.03034559,0.08070580,0.60310455,0.83684716,1.21903169
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-26 00:00:00.000000,0.03236482,0.06405269,0.14270711,852,1688,3761,480,925,2489,0.01822984,0.03512492,0.09446399,0.58303542,0.81079266,1.19274217
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-27 00:00:00.000000,0.03665002,0.07155227,0.16403264,965,1885,4323,539,1052,2871,0.02048361,0.03992110,0.10896850,0.56112967,0.76870169,1.13731976
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-28 00:00:00.000000,0.04185078,0.07822561,0.18126731,1102,2061,4777,595,1163,3271,0.02257912,0.04412973,0.12414610,0.48270124,0.69988636,1.10242748
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-29 00:00:00.000000,0.04763082,0.08463247,0.19813024,1255,2230,5221,645,1285,3682,0.02450344,0.04877971,0.13971028,0.43620100,0.67512597,1.06997713
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-30 00:00:00.000000,0.05296042,0.09268714,0.21288847,1395,2442,5610,705,1411,4091,0.02676392,0.05356111,0.15523570,0.40195366,0.65836198,1.02855306
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-03-31 00:00:00.000000,0.05754993,0.09961771,0.22789536,1516,2625,6006,778,1571,4424,0.02954407,0.05961531,0.16787694,0.38113363,0.61278553,1.01576541
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-01 00:00:00.000000,0.06205862,0.10619789,0.25030187,1635,2798,6596,858,1723,4829,0.03255887,0.06538906,0.18324864,0.36943273,0.60252425,0.98638093
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-02 00:00:00.000000,0.06574481,0.11116415,0.27441389,1732,2929,7232,938,1865,5206,0.03562853,0.07078391,0.19754474,0.36155333,0.58430220,0.90901969
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-03 00:00:00.000000,0.06951157,0.11736356,0.30037594,1831,3093,7916,1002,1960,5490,0.03805535,0.07437648,0.20832993,0.34902930,0.56704844,0.85414755
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-04 00:00:00.000000,0.07333682,0.12029439,0.32773055,1932,3170,8637,1048,2072,5719,0.03976929,0.07862484,0.21700769,0.33779357,0.53635035,0.82827559
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-05 00:00:00.000000,0.07724921,0.12240753,0.33608442,2035,3226,8857,1099,2130,5897,0.04169985,0.08083883,0.22376227,0.31928861,0.49215390,0.79852543
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-06 00:00:00.000000,0.07923413,0.12482835,0.34045604,2088,3289,8972,1125,2178,6032,0.04270705,0.08266668,0.22888590,0.30799364,0.47882353,0.78680161
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-07 00:00:00.000000,0.07998012,0.12775208,0.33971572,2107,3366,8953,1148,2212,6141,0.04356789,0.08395864,0.23303562,0.28993688,0.46937051,0.77555073
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-08 00:00:00.000000,0.08007874,0.12812495,0.33842852,2110,3376,8919,1156,2236,6236,0.04388460,0.08484727,0.23661663,0.29619310,0.46427374,0.76064825
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-09 00:00:00.000000,0.07995169,0.12887044,0.33705330,2107,3396,8883,1163,2249,6297,0.04416458,0.08535741,0.23895609,0.29481602,0.45564949,0.74179341
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-10 00:00:00.000000,0.07966258,0.12961890,0.34338892,2099,3416,9050,1168,2265,6412,0.04435160,0.08594674,0.24329635,0.29398279,0.44641193,0.73437631
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-11 00:00:00.000000,0.07994329,0.13220484,0.36444298,2106,3484,9604,1172,2274,6499,0.04447562,0.08628428,0.24661255,0.28934631,0.40543749,0.74587112
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-12 00:00:00.000000,0.08142464,0.13400919,0.36548676,2145,3531,9632,1174,2300,6596,0.04456274,0.08727884,0.25030551,0.27909596,0.40118215,0.74448993
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-13 00:00:00.000000,0.08294658,0.13459993,0.36416672,2186,3547,9597,1176,2313,6767,0.04463026,0.08778100,0.25679364,0.27467884,0.39815855,0.74018456
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-14 00:00:00.000000,0.08331123,0.13589824,0.36160478,2195,3581,9530,1177,2335,6942,0.04468656,0.08860921,0.26340454,0.27308536,0.40128427,0.73770672
48113,0,USTexasDallas,Texas,Dallas,2020-08-08 16:04:55.856006,2020-04-15 00:00:00.000000,0.08338840,0.13569861,0.35832062,2197,3576,9443,1178,2330,7118,0.04473476,0.08842304,0.27011333,0.27255323,0.40822959,0.73417953
