FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-09 00:00:00.000000,0.00633702,0.03277296,0.09188703,1,6,18,0,2,8,0.00222805,0.01423626,0.04070352,0.47053315,0.71375560,1.04976777
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-10 00:00:00.000000,0.00700298,0.03162583,0.10784373,1,6,21,0,2,7,0.00220061,0.01314476,0.03905546,0.47053329,0.71375743,1.04976484
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-11 00:00:00.000000,0.00777583,0.03621231,0.12372953,1,7,25,0,2,8,0.00225587,0.01331024,0.04130920,0.47053371,0.71375981,1.04975721
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-12 00:00:00.000000,0.00860847,0.03902863,0.13979327,1,7,28,0,2,8,0.00237001,0.01398432,0.04305422,0.47053500,0.71376228,1.04973732
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-13 00:00:00.000000,0.00947942,0.04328426,0.15626593,1,8,31,0,2,9,0.00252767,0.01466300,0.04558425,0.47053877,0.71376287,1.04968550
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-14 00:00:00.000000,0.01038252,0.04923652,0.17336514,2,9,35,0,3,9,0.00271907,0.01549845,0.04886786,0.47054960,0.71375483,1.04955059
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-15 00:00:00.000000,0.01131830,0.05478749,0.19129932,2,11,38,0,3,10,0.00293916,0.01604472,0.05300493,0.47058029,0.71371738,1.04919975
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-16 00:00:00.000000,0.01229027,0.06077408,0.21027112,2,12,42,0,3,11,0.00318646,0.01684087,0.05773263,0.47070863,0.71359670,1.04828937
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-17 00:00:00.000000,0.01330319,0.06778506,0.23048022,2,13,46,0,3,12,0.00353280,0.01796143,0.06139170,0.47121038,0.71293448,1.04593886
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-18 00:00:00.000000,0.01436913,0.07414417,0.25212121,2,15,51,0,3,13,0.00399182,0.01934094,0.06525489,0.48887817,0.70204296,1.03994539
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-19 00:00:00.000000,0.01549617,0.07983977,0.27534324,3,16,55,0,4,14,0.00450236,0.02079696,0.07051571,0.49550505,0.68578840,1.02513176
48163,0,USTexasFrio,Texas,Frio,2020-08-31 15:14:03.355638,2020-03-20 00:00:00.000000,0.01688144,0.08533934,0.30006654,3,17,60,1,4,15,0.00506862,0.02240323,0.07630461,0.49073476,0.68720156,1.03188063
