FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-09 00:00:00.000000,0.01233291,0.06899776,0.38287061,3,19,110,0,3,17,0.00016487,0.01220092,0.05949170,0.53028087,0.76944204,1.10623571
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-10 00:00:00.000000,0.01423499,0.07540457,0.38505869,4,21,111,0,4,16,0.00336480,0.01398883,0.05708917,0.53056523,0.76959855,1.10620107
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-11 00:00:00.000000,0.01557057,0.08167914,0.38769379,4,23,111,0,4,16,0.00264414,0.01558399,0.05839683,0.53103693,0.76997543,1.10615418
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-12 00:00:00.000000,0.01719493,0.09039412,0.40763319,4,26,117,1,5,19,0.00355007,0.01790340,0.06919837,0.53181406,0.77011376,1.10608944
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-13 00:00:00.000000,0.01821162,0.09757710,0.41696282,5,28,120,0,5,21,0.00340127,0.01924010,0.07534301,0.53308008,0.76981474,1.10599717
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-14 00:00:00.000000,0.02017981,0.10610113,0.45980061,5,30,132,1,6,25,0.00406598,0.02194572,0.08677029,0.53510529,0.76998615,1.10585951
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-15 00:00:00.000000,0.02155434,0.11521270,0.47633755,6,33,137,1,6,27,0.00394411,0.02349247,0.09411713,0.53825245,0.76985435,1.10564152
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-16 00:00:00.000000,0.02331645,0.12566164,0.50841827,6,36,146,1,7,30,0.00491814,0.02602278,0.10568315,0.53510828,0.76988384,1.10527222
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-17 00:00:00.000000,0.02449497,0.13667758,0.54025796,7,39,156,1,8,33,0.00480407,0.02779844,0.11712881,0.52533970,0.76873133,1.10210891
48185,0,USTexasGrimes,Texas,Grimes,2020-07-13 04:44:30.949194,2020-03-18 00:00:00.000000,0.02654900,0.14876281,0.58397648,7,42,168,1,8,38,0.00556435,0.03036243,0.13183545,0.52292107,0.76601514,1.10284843
