FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-09 00:00:00.000000,0.00198757,0.00997005,0.03424726,0,3,11,0,1,7,0.00101682,0.00576397,0.02147978,0.39500454,0.49875129,0.70603371
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-10 00:00:00.000000,0.00232189,0.01028731,0.03720915,0,3,12,0,2,7,0.00123615,0.00617046,0.02115110,0.39501270,0.49875081,0.70603272
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-11 00:00:00.000000,0.00262557,0.01099452,0.03757198,0,3,12,0,2,7,0.00129578,0.00637711,0.02263210,0.39502614,0.49874961,0.70602508
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-12 00:00:00.000000,0.00245523,0.01167954,0.03922789,0,3,13,0,2,7,0.00131461,0.00654450,0.02393283,0.39504760,0.49874662,0.70596640
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-13 00:00:00.000000,0.00229049,0.01212844,0.04139550,0,4,13,0,2,8,0.00128620,0.00657895,0.02529096,0.39507997,0.49855790,0.70551646
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-14 00:00:00.000000,0.00220454,0.01267633,0.04362730,0,4,14,0,2,8,0.00127728,0.00710583,0.02664315,0.39512145,0.49813335,0.70209676
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-15 00:00:00.000000,0.00240377,0.01347645,0.04619409,0,4,15,0,2,9,0.00139284,0.00763366,0.02708090,0.39513742,0.49807553,0.67777073
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-16 00:00:00.000000,0.00591932,0.01915975,0.05275226,1,6,17,0,2,9,0.00151754,0.00836640,0.02759398,0.39502349,0.49791252,0.65589718
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-17 00:00:00.000000,0.00723979,0.02405924,0.06314811,2,8,21,0,3,11,0.00241064,0.01105219,0.03309552,0.39186573,0.49380812,0.64995490
48189,0,USTexasHale,Texas,Hale,2020-09-22 09:21:39.178182,2020-03-18 00:00:00.000000,0.00893543,0.02934238,0.07436025,2,9,24,1,4,12,0.00352653,0.01430142,0.03842668,0.37089620,0.48156475,0.64802532
