FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-09 00:00:00.000000,0.01045210,0.03301402,0.10534272,1,4,15,0,2,8,0.00300150,0.01765050,0.06072595,0.42372586,0.50797266,0.64354397
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-10 00:00:00.000000,0.00749192,0.02996563,0.09713249,1,4,14,0,2,8,0.00507648,0.01899523,0.06032301,0.42372586,0.50797259,0.64354091
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-11 00:00:00.000000,0.00811772,0.03052254,0.09803430,1,4,14,0,2,9,0.00441300,0.01911161,0.06166345,0.42372586,0.50797239,0.64353241
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-12 00:00:00.000000,0.00777756,0.03149703,0.09444979,1,4,13,0,2,9,0.00419340,0.01927083,0.06106718,0.42372584,0.50797174,0.64350879
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-13 00:00:00.000000,0.00790371,0.03240942,0.09492066,1,4,14,0,2,8,0.00415528,0.01960911,0.05925000,0.42372575,0.50796971,0.64344315
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-14 00:00:00.000000,0.00737044,0.03136526,0.09331664,1,4,13,0,2,8,0.00410394,0.02021273,0.05778022,0.42372537,0.50721757,0.64326086
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-15 00:00:00.000000,0.00739309,0.03181556,0.09007645,1,4,13,0,3,8,0.00409788,0.02044945,0.05782281,0.42372361,0.50528634,0.64275599
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-16 00:00:00.000000,0.01564140,0.04063229,0.10363619,2,5,15,0,3,8,0.00411981,0.02066737,0.05785896,0.42371527,0.50186012,0.64136776
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-17 00:00:00.000000,0.02064800,0.05009652,0.12054119,3,7,17,1,4,10,0.00876791,0.02762499,0.07391101,0.42224060,0.49782144,0.63762561
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-18 00:00:00.000000,0.02584676,0.05956425,0.14168240,3,8,20,1,4,12,0.01275599,0.03322640,0.08626038,0.41325518,0.48981928,0.62805416
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-19 00:00:00.000000,0.02931181,0.07127965,0.16134132,4,10,23,2,5,14,0.01540158,0.03991409,0.09956218,0.38983758,0.46863343,0.60169572
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-20 00:00:00.000000,0.03183763,0.07956592,0.18095957,4,11,26,2,6,16,0.01671963,0.04406770,0.11261589,0.36045825,0.44012037,0.58393215
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-21 00:00:00.000000,0.03341993,0.08641285,0.19986980,4,12,29,2,7,18,0.01765491,0.04844799,0.12554352,0.33250989,0.41385145,0.57756096
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-22 00:00:00.000000,0.03448449,0.09463305,0.21799362,5,13,32,2,7,20,0.01870694,0.05410890,0.13795886,0.30563441,0.38561277,0.56209736
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-23 00:00:00.000000,0.04772436,0.10166346,0.22580815,7,15,33,2,8,22,0.01926076,0.06075884,0.14979804,0.29923455,0.37780735,0.53319389
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-24 00:00:00.000000,0.05491722,0.11072112,0.23307166,8,16,34,4,9,22,0.02907758,0.06627246,0.15409803,0.29445481,0.37106785,0.52035262
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-25 00:00:00.000000,0.06705489,0.12046046,0.23785724,9,17,35,4,10,23,0.03225348,0.07138696,0.16214090,0.29251549,0.36857946,0.47430353
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-26 00:00:00.000000,0.06867044,0.13220831,0.24559962,10,19,36,5,11,24,0.03518961,0.07750165,0.16889657,0.25300810,0.36054312,0.46904557
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-27 00:00:00.000000,0.06625219,0.13409103,0.25042271,9,19,36,5,11,24,0.03697221,0.08018261,0.16811337,0.21866089,0.34590074,0.46205183
48239,0,USTexasJackson,Texas,Jackson,2020-10-07 22:47:11.842249,2020-03-28 00:00:00.000000,0.06630484,0.14158484,0.25366629,9,20,37,5,12,24,0.03715802,0.08198103,0.16846809,0.20300666,0.33554915,0.44231732
