FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-09 00:00:00.000000,0.00074365,0.00846531,0.03415154,0,3,13,0,1,6,0.00027659,0.00346721,0.01492443,0.38252087,0.57650020,0.90709888
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-10 00:00:00.000000,0.00081329,0.00801489,0.02618978,0,3,10,0,1,5,0.00031519,0.00315838,0.01278948,0.38251331,0.57649996,0.90675735
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-11 00:00:00.000000,0.00094632,0.00849974,0.02712468,0,3,10,0,1,4,0.00030560,0.00311632,0.01233285,0.38249881,0.57649920,0.90625417
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-12 00:00:00.000000,0.00101903,0.00869971,0.03021846,0,3,12,0,1,4,0.00031173,0.00319007,0.01165899,0.38247104,0.57644177,0.90551379
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-13 00:00:00.000000,0.00114872,0.00956443,0.03347011,0,3,13,0,1,4,0.00034148,0.00323580,0.01180153,0.38241784,0.57615012,0.90442551
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-14 00:00:00.000000,0.00128395,0.00997351,0.03692024,0,4,14,0,1,4,0.00037427,0.00345508,0.01213001,0.38231605,0.57566240,0.90282453
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-15 00:00:00.000000,0.00143174,0.01033363,0.03864918,0,4,15,0,1,5,0.00041033,0.00374636,0.01273547,0.38212181,0.57471256,0.90045203
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-16 00:00:00.000000,0.00395146,0.01369603,0.04287164,1,5,17,0,1,5,0.00044995,0.00412236,0.01361812,0.38175303,0.56621531,0.89684373
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-17 00:00:00.000000,0.00602441,0.01785295,0.05064376,2,7,20,0,2,6,0.00097003,0.00508279,0.01567423,0.38106001,0.56225374,0.89095896
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-18 00:00:00.000000,0.00845435,0.02170668,0.05659864,3,8,22,0,2,7,0.00154148,0.00580254,0.01789119,0.37498273,0.54570450,0.87994974
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-19 00:00:00.000000,0.00975894,0.02695248,0.06219275,3,10,25,0,2,8,0.00217214,0.00658837,0.02122152,0.36629555,0.53771341,0.85633415
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-20 00:00:00.000000,0.01088007,0.03100480,0.06783752,4,12,27,1,3,10,0.00269662,0.00779386,0.02517628,0.35721016,0.52312127,0.81069947
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-21 00:00:00.000000,0.01202393,0.03585510,0.07560778,4,14,30,1,3,11,0.00315649,0.00908707,0.02887450,0.34699177,0.49622970,0.75670524
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-22 00:00:00.000000,0.01322771,0.04078812,0.08509821,5,16,34,1,4,13,0.00355603,0.01038236,0.03241651,0.33548961,0.48805989,0.71851384
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-23 00:00:00.000000,0.01467016,0.04478270,0.09310594,5,18,37,1,4,14,0.00397278,0.01180318,0.03563079,0.32069772,0.48256443,0.70457197
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-24 00:00:00.000000,0.01621310,0.04868686,0.10183843,6,19,41,2,5,15,0.00500703,0.01285111,0.03913894,0.31743851,0.46472735,0.69080101
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-25 00:00:00.000000,0.01788508,0.05241158,0.10944421,7,21,44,2,5,17,0.00579278,0.01465791,0.04275431,0.30497735,0.44384571,0.68110783
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-26 00:00:00.000000,0.01966166,0.05714345,0.11622532,7,23,47,2,6,18,0.00659978,0.01677572,0.04649379,0.28449331,0.43606032,0.67393588
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-27 00:00:00.000000,0.02156426,0.06216798,0.13151674,8,25,53,2,7,20,0.00740524,0.01813665,0.05036401,0.26966675,0.42868125,0.66769954
48249,0,USTexasJimWells,Texas,Jim Wells,2020-08-21 14:40:03.113743,2020-03-28 00:00:00.000000,0.02361209,0.06837113,0.14881887,9,27,60,3,8,21,0.00822097,0.02043731,0.05431834,0.26110754,0.41710789,0.66213854
