FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-09 00:00:00.000000,0.00214529,0.00268439,0.00599486,2,3,8,1,1,4,0.00096487,0.00130081,0.00312168,0.49447920,0.62640086,0.72421432
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-10 00:00:00.000000,0.00223904,0.00285470,0.00682735,3,3,9,1,1,3,0.00078682,0.00110932,0.00283737,0.49447924,0.62640112,0.72421370
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-11 00:00:00.000000,0.00241040,0.00304934,0.00771156,3,4,10,0,1,3,0.00070381,0.00101614,0.00269896,0.49447937,0.62640228,0.72421345
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-12 00:00:00.000000,0.00251446,0.00325345,0.00852567,3,4,11,0,1,3,0.00067485,0.00096509,0.00267155,0.49447988,0.62640748,0.72422195
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-13 00:00:00.000000,0.00262705,0.00345677,0.00928924,3,4,12,0,1,3,0.00067654,0.00095117,0.00273070,0.49448179,0.62643060,0.72424860
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-14 00:00:00.000000,0.00275076,0.00365779,0.01022210,3,4,13,0,1,3,0.00069571,0.00096111,0.00284018,0.49448891,0.62653289,0.72433182
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-15 00:00:00.000000,0.00288276,0.00386021,0.01104966,3,5,15,0,1,4,0.00072501,0.00098642,0.00301210,0.49451547,0.62697459,0.72458816
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-16 00:00:00.000000,0.00346317,0.00479547,0.01295829,4,6,17,1,1,4,0.00076043,0.00102175,0.00318588,0.49461312,0.62870456,0.72534578
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-17 00:00:00.000000,0.00387492,0.00602829,0.01470315,5,8,20,1,1,4,0.00083669,0.00113063,0.00346128,0.49495506,0.63024943,0.72733548
48257,0,USTexasKaufman,Texas,Kaufman,2020-09-09 05:58:40.267516,2020-03-18 00:00:00.000000,0.00435754,0.00726348,0.01655729,5,9,22,1,1,5,0.00094293,0.00133396,0.00381326,0.49597433,0.62399357,0.73126476
