FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-09 00:00:00.000000,0.00551038,0.02853293,0.10186512,0,4,17,0,1,4,0.00161545,0.00780048,0.02631096,0.50672723,0.65901894,0.95798507
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-10 00:00:00.000000,0.00612922,0.02404080,0.09889175,1,4,17,0,1,4,0.00141703,0.00653424,0.02429482,0.50672723,0.65902037,0.95798510
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-11 00:00:00.000000,0.00625931,0.02422141,0.09473688,1,4,16,0,1,4,0.00132517,0.00587129,0.02380575,0.50672723,0.65902340,0.95798521
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-12 00:00:00.000000,0.00633014,0.02459987,0.09552171,1,4,16,0,0,3,0.00127402,0.00567340,0.02293562,0.50672723,0.65902965,0.95798562
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-13 00:00:00.000000,0.00577929,0.02467355,0.09923967,0,4,17,0,0,3,0.00124856,0.00556152,0.02187080,0.50672723,0.65904217,0.95798708
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-14 00:00:00.000000,0.00529026,0.02404047,0.10069312,0,4,17,0,0,3,0.00124016,0.00551757,0.02138245,0.50672725,0.65869498,0.95799189
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-15 00:00:00.000000,0.00484708,0.02374565,0.10249676,0,4,17,0,0,3,0.00124319,0.00545605,0.02111677,0.50672732,0.65334490,0.95800736
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-16 00:00:00.000000,0.00906384,0.03247315,0.11281271,1,5,19,0,0,3,0.00125395,0.00543432,0.02223389,0.50672768,0.64936374,0.95805579
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-17 00:00:00.000000,0.01372678,0.04067276,0.13552665,2,7,23,0,1,4,0.00179835,0.00784877,0.02404241,0.50672953,0.64245039,0.95792323
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-18 00:00:00.000000,0.01863078,0.04952396,0.15144689,3,8,26,0,1,4,0.00265909,0.00909379,0.02618557,0.48886557,0.64081781,0.95173280
48287,0,USTexasLee,Texas,Lee,2020-10-07 22:01:17.480203,2020-03-19 00:00:00.000000,0.02143950,0.05746776,0.16534573,3,9,28,0,1,5,0.00340208,0.01034722,0.03161818,0.43937795,0.63583420,0.94783053
