FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-09 00:00:00.000000,0.10719407,0.41058494,0.94050493,2,8,20,0,1,9,0.01078042,0.07747660,0.44127006,0.53381324,0.78034626,1.11654911
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-10 00:00:00.000000,0.06759833,0.28885640,0.84462261,1,6,18,0,1,5,0.01724824,0.09205537,0.27394663,0.53381307,0.78034626,1.11654908
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-11 00:00:00.000000,0.06034607,0.24960243,0.61181164,1,5,13,0,1,5,0.01066666,0.07334031,0.25030910,0.53381290,0.78034621,1.11654898
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-12 00:00:00.000000,0.04607707,0.20971036,0.54434462,0,4,11,0,1,4,0.01166965,0.06044123,0.19037136,0.53381290,0.78034599,1.11654861
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-13 00:00:00.000000,0.04141197,0.16662815,0.42145256,0,3,9,0,1,3,0.00808789,0.04803060,0.16595057,0.53381383,0.78034519,1.11654703
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-14 00:00:00.000000,0.02758257,0.13992481,0.37140928,0,2,7,0,0,3,0.00818034,0.03764109,0.14475637,0.53381854,0.78034244,1.11654016
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-15 00:00:00.000000,0.02186118,0.11413718,0.34700888,0,2,7,0,0,2,0.00543726,0.02962229,0.12623708,0.53383722,0.78033325,1.11650956
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-16 00:00:00.000000,0.01287446,0.09258745,0.32413399,0,1,6,0,0,2,0.00486289,0.02485074,0.11097249,0.53390529,0.77445918,1.11637160
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-17 00:00:00.000000,0.00968451,0.07337236,0.29734130,0,1,6,0,0,2,0.00268815,0.02087437,0.10380292,0.53413868,0.78020644,1.11574939
48327,0,USTexasMenard,Texas,Menard,2020-08-31 14:48:49.742261,2020-03-18 00:00:00.000000,0.00641658,0.05773896,0.25930946,0,1,5,0,0,2,0.00236566,0.01690023,0.09708433,0.54543855,0.77989956,1.11301211
