FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-09 00:00:00.000000,0.01050074,0.04175462,0.07045539,2,10,17,0,3,6,0.00187300,0.01449802,0.02590681,0.51249879,0.65250495,0.72542381
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-10 00:00:00.000000,0.01786960,0.04232525,0.07079199,4,10,17,1,4,9,0.00469146,0.01726730,0.03857955,0.51248245,0.65248267,0.72532738
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-11 00:00:00.000000,0.02632352,0.04772330,0.09341054,6,11,23,1,4,11,0.00658905,0.01991481,0.04498670,0.51245665,0.65243895,0.72517143
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-12 00:00:00.000000,0.03169056,0.05273138,0.11288196,7,13,28,2,5,12,0.01041477,0.02178858,0.04965957,0.51241491,0.65235332,0.72491958
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-13 00:00:00.000000,0.03726150,0.05842447,0.13303172,9,14,33,3,6,14,0.01360327,0.02473258,0.05714461,0.51234534,0.65232395,0.72451385
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-14 00:00:00.000000,0.04061972,0.06439694,0.15266189,10,15,37,4,6,16,0.01664624,0.02810098,0.06704668,0.51222527,0.65232341,0.72386282
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-15 00:00:00.000000,0.04369695,0.07103914,0.17178576,10,17,42,4,7,19,0.01908817,0.03095059,0.07727744,0.49151531,0.65232158,0.72283687
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-16 00:00:00.000000,0.04682213,0.07646806,0.17926090,11,18,44,5,8,21,0.02096813,0.03433950,0.08510508,0.47577225,0.65206916,0.72158173
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-17 00:00:00.000000,0.05185079,0.08137246,0.18556144,12,20,46,6,9,23,0.02450369,0.03637487,0.09289160,0.46593109,0.65089235,0.71954254
48331,0,USTexasMilam,Texas,Milam,2020-10-07 21:50:24.790228,2020-03-18 00:00:00.000000,0.05863818,0.08796934,0.21107334,14,21,52,6,9,24,0.02815836,0.03923117,0.09778624,0.46562745,0.64987987,0.71629360
