FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-09 00:00:00.000000,0.00059030,0.00143823,0.00481123,2,5,17,0,2,8,0.00010441,0.00069270,0.00228556,0.37075778,0.45810364,0.62197191
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-10 00:00:00.000000,0.00080511,0.00195022,0.00466467,2,7,16,1,3,11,0.00043223,0.00108814,0.00307698,0.37075778,0.45810364,0.62195264
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-11 00:00:00.000000,0.00102947,0.00243951,0.00524413,3,8,18,2,5,12,0.00059500,0.00147008,0.00355764,0.37075778,0.45810364,0.62191600
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-12 00:00:00.000000,0.00130187,0.00299451,0.00593840,4,10,21,2,6,14,0.00076964,0.00182042,0.00412798,0.37075773,0.45810364,0.62184321
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-13 00:00:00.000000,0.00158996,0.00356829,0.00695888,5,12,25,3,8,17,0.00095446,0.00223383,0.00472024,0.37075741,0.45741502,0.62169233
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-14 00:00:00.000000,0.00189027,0.00417979,0.00798386,6,15,28,4,9,19,0.00115000,0.00262168,0.00535951,0.37075542,0.45595505,0.62136771
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-15 00:00:00.000000,0.00220432,0.00481564,0.00905899,7,17,32,4,11,22,0.00135682,0.00305352,0.00607986,0.37074373,0.45424198,0.62064840
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-16 00:00:00.000000,0.00259414,0.00574349,0.00985130,9,20,35,5,13,25,0.00153249,0.00359960,0.00704321,0.37067596,0.44922435,0.61902306
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-17 00:00:00.000000,0.00299683,0.00665086,0.01064705,10,24,38,6,15,27,0.00177995,0.00420532,0.00765656,0.37028618,0.44535884,0.61532781
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-18 00:00:00.000000,0.00342873,0.00764208,0.01160895,12,27,42,7,17,30,0.00206783,0.00490228,0.00846140,0.36624142,0.44486482,0.60705643
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-19 00:00:00.000000,0.00387384,0.00846471,0.01257557,14,30,45,8,20,33,0.00238440,0.00564728,0.00933609,0.32711371,0.42884923,0.58955107
48355,0,USTexasNueces,Texas,Nueces,2020-09-29 00:31:05.889080,2020-03-20 00:00:00.000000,0.00424680,0.00919840,0.01356239,15,33,49,9,23,35,0.00265049,0.00638673,0.00986836,0.27562957,0.41048813,0.55701803
