FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-09 00:00:00.000000,0.00265135,0.00493839,0.01473954,2,4,12,1,2,5,0.00135576,0.00247129,0.00691849,0.45703781,0.55606284,0.74613032
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-10 00:00:00.000000,0.00307799,0.00535269,0.01606990,2,4,13,1,1,5,0.00130737,0.00229435,0.00611743,0.45703774,0.55606263,0.74612143
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-11 00:00:00.000000,0.00339594,0.00578792,0.01743587,2,4,14,1,1,4,0.00133126,0.00227107,0.00598925,0.45703755,0.55606183,0.74609835
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-12 00:00:00.000000,0.00380046,0.00627956,0.01881600,3,5,15,1,1,5,0.00136977,0.00232963,0.00617656,0.45703702,0.55605888,0.74603843
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-13 00:00:00.000000,0.00414363,0.00670225,0.02023872,3,5,16,1,2,5,0.00147416,0.00243299,0.00650561,0.45703549,0.55604799,0.74588295
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-14 00:00:00.000000,0.00439659,0.00701109,0.02175004,3,5,18,1,2,5,0.00154680,0.00254309,0.00693047,0.45703114,0.55600779,0.74547997
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-15 00:00:00.000000,0.00459081,0.00754611,0.02335786,3,6,19,1,2,6,0.00161107,0.00261095,0.00742679,0.45701878,0.55585959,0.74443846
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-16 00:00:00.000000,0.00834955,0.01291688,0.02609695,6,10,21,1,2,6,0.00167809,0.00273042,0.00798239,0.45698387,0.55531658,0.74176645
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-17 00:00:00.000000,0.01208880,0.01774362,0.02892433,10,14,24,1,3,7,0.00225046,0.00361159,0.00870396,0.45688669,0.55180291,0.73784672
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-18 00:00:00.000000,0.01545774,0.02244666,0.03185512,12,18,26,2,4,7,0.00316176,0.00502820,0.00954988,0.45631835,0.53894345,0.73681657
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-19 00:00:00.000000,0.01940706,0.02679508,0.03761155,16,22,31,3,5,8,0.00427616,0.00676365,0.01072299,0.44382243,0.52809068,0.73219725
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-20 00:00:00.000000,0.02236229,0.03149872,0.04621218,18,26,38,4,6,9,0.00556379,0.00830106,0.01186164,0.42076467,0.50945568,0.69135852
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-21 00:00:00.000000,0.02481585,0.03583374,0.05270888,20,29,43,5,8,11,0.00676258,0.01018881,0.01368170,0.39004723,0.48062369,0.65300301
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-22 00:00:00.000000,0.02722660,0.04023326,0.06039514,22,33,50,6,9,14,0.00814293,0.01166075,0.01681775,0.37746936,0.45713768,0.58982781
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-23 00:00:00.000000,0.03068055,0.04252520,0.06362352,25,35,53,7,11,16,0.00915568,0.01325968,0.01932199,0.37557812,0.44594972,0.53651773
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-24 00:00:00.000000,0.03346266,0.04499522,0.06710072,27,37,55,8,12,18,0.01023530,0.01460051,0.02166005,0.37169865,0.43954158,0.53177854
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-25 00:00:00.000000,0.03566844,0.04700033,0.07065534,29,39,58,9,13,19,0.01130149,0.01571322,0.02326643,0.36246003,0.43520894,0.52980690
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-26 00:00:00.000000,0.03817616,0.04920543,0.07395792,31,41,61,10,13,20,0.01214610,0.01677297,0.02495541,0.34883758,0.43219798,0.52606127
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-27 00:00:00.000000,0.04006495,0.05156503,0.07637957,33,43,63,11,14,21,0.01333259,0.01773781,0.02629581,0.34866401,0.42158162,0.51639579
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-28 00:00:00.000000,0.04186972,0.05374190,0.07899160,34,44,65,11,15,22,0.01419445,0.01853715,0.02746670,0.33837420,0.40298089,0.47567534
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-29 00:00:00.000000,0.04359552,0.05648291,0.08095308,36,47,67,12,16,23,0.01496198,0.01944001,0.02875824,0.32796658,0.38462610,0.44987547
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-30 00:00:00.000000,0.04465981,0.05855318,0.08278753,37,48,69,13,17,25,0.01569555,0.02050578,0.02998267,0.31570654,0.36788647,0.44786297
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-03-31 00:00:00.000000,0.04565598,0.06100473,0.08458435,38,50,70,13,17,25,0.01598600,0.02131180,0.03103866,0.30937576,0.36063407,0.43657398
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-01 00:00:00.000000,0.04679399,0.06362633,0.08642542,39,53,72,13,18,26,0.01649039,0.02219108,0.03199074,0.30979107,0.36304026,0.42567805
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-02 00:00:00.000000,0.04800840,0.06507365,0.08786899,40,54,73,14,19,27,0.01700575,0.02316026,0.03300651,0.30452321,0.36172809,0.41481239
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-03 00:00:00.000000,0.04896892,0.06602563,0.09017328,40,55,75,14,20,28,0.01721289,0.02404183,0.03379163,0.29421418,0.36270461,0.42244810
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-04 00:00:00.000000,0.04903126,0.06782454,0.09250925,40,56,77,14,20,28,0.01747929,0.02477819,0.03466911,0.28380165,0.36899523,0.42607195
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-05 00:00:00.000000,0.04904636,0.06974448,0.09471312,40,58,78,14,21,29,0.01786385,0.02567313,0.03555551,0.27702052,0.36650383,0.42711519
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-06 00:00:00.000000,0.05039772,0.07340673,0.09786567,42,61,81,15,22,30,0.01824710,0.02657767,0.03645957,0.27373116,0.36807491,0.42693259
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-07 00:00:00.000000,0.05033666,0.07575205,0.10210544,41,63,85,15,22,31,0.01901604,0.02741289,0.03746743,0.27348894,0.36798537,0.42661922
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-08 00:00:00.000000,0.05027887,0.07801418,0.10549881,41,65,87,15,23,32,0.01879441,0.02786431,0.03855230,0.27357257,0.36658282,0.42585901
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-09 00:00:00.000000,0.05016751,0.07997655,0.10838115,41,66,90,15,24,33,0.01844511,0.02893709,0.03969590,0.27405755,0.36332771,0.42298174
48361,0,USTexasOrange,Texas,Orange,2020-10-01 23:12:11.809370,2020-04-10 00:00:00.000000,0.05002438,0.08131710,0.11175157,41,67,93,15,24,34,0.01864699,0.02961263,0.04088535,0.27518898,0.36225518,0.41896650
