FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-09 00:00:00.000000,0.00185095,0.00605262,0.01667114,2,8,23,1,4,14,0.00074317,0.00313637,0.01012619,0.50753696,0.59471264,0.71812299
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-10 00:00:00.000000,0.00177271,0.00669704,0.01800278,2,9,25,0,4,12,0.00060166,0.00289540,0.00893502,0.50753625,0.59438877,0.71797953
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-11 00:00:00.000000,0.00176165,0.00738370,0.01955134,2,10,27,0,4,12,0.00056185,0.00281314,0.00846861,0.50753480,0.59365471,0.71760945
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-12 00:00:00.000000,0.00180188,0.00784698,0.02153205,2,11,30,0,4,11,0.00055425,0.00280301,0.00839621,0.50753187,0.59288230,0.71665822
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-13 00:00:00.000000,0.00186300,0.00832230,0.02358748,2,11,33,0,4,11,0.00056373,0.00286234,0.00825738,0.50752608,0.59254666,0.71423697
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-14 00:00:00.000000,0.00193223,0.00881431,0.02560895,2,12,36,0,4,11,0.00058079,0.00290031,0.00828149,0.50751512,0.58776650,0.70822761
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-15 00:00:00.000000,0.00200290,0.00932421,0.02726485,2,13,38,0,4,12,0.00060141,0.00298826,0.00866073,0.50749605,0.57494805,0.69421470
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-16 00:00:00.000000,0.00257962,0.01091038,0.02999925,3,15,42,0,4,13,0.00062370,0.00311056,0.00919669,0.50746903,0.55355488,0.66327635
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-17 00:00:00.000000,0.00306536,0.01250951,0.03360552,4,17,48,0,4,14,0.00069777,0.00335827,0.00995467,0.49116900,0.55225314,0.62424873
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-18 00:00:00.000000,0.00353838,0.01415692,0.03737507,5,20,53,1,5,15,0.00078301,0.00369905,0.01088982,0.47768724,0.53974960,0.60414126
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-19 00:00:00.000000,0.00392528,0.01588238,0.04131000,5,22,59,1,5,17,0.00089979,0.00411130,0.01197325,0.46716278,0.53327736,0.60044534
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-20 00:00:00.000000,0.00435680,0.01774415,0.04541707,6,25,64,1,6,18,0.00102987,0.00458135,0.01316476,0.46184608,0.52740932,0.59612465
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-21 00:00:00.000000,0.00476238,0.01983726,0.04971321,6,28,71,1,7,20,0.00113853,0.00510119,0.01445180,0.45230900,0.52611511,0.59824573
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-22 00:00:00.000000,0.00521820,0.02202387,0.05422352,7,31,77,1,8,22,0.00125437,0.00566620,0.01584418,0.44789978,0.52316842,0.60011738
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-23 00:00:00.000000,0.00672658,0.02417378,0.05874834,9,34,83,1,8,24,0.00137654,0.00627348,0.01734082,0.44751449,0.52240886,0.60022773
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-24 00:00:00.000000,0.00808308,0.02642287,0.06427115,11,37,91,2,9,27,0.00161127,0.00693592,0.01890490,0.44780950,0.52041562,0.60017154
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-25 00:00:00.000000,0.00947203,0.02876799,0.07132024,13,41,101,2,10,29,0.00191988,0.00766460,0.02054865,0.44916466,0.51538606,0.59992750
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-26 00:00:00.000000,0.01089689,0.03120069,0.07871069,15,44,112,3,12,31,0.00224590,0.00842875,0.02228283,0.45216017,0.51176016,0.59912874
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-27 00:00:00.000000,0.01239195,0.03462575,0.08646287,17,49,123,3,13,34,0.00261226,0.00922796,0.02411706,0.45487136,0.51679413,0.59483037
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-28 00:00:00.000000,0.01389904,0.03852567,0.09455450,19,55,135,4,14,37,0.00301200,0.01006233,0.02605965,0.44254890,0.51966639,0.58861104
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-29 00:00:00.000000,0.01545192,0.04253175,0.10216999,22,60,145,4,15,40,0.00344036,0.01101430,0.02811631,0.43726060,0.51486656,0.57285572
48367,0,USTexasParker,Texas,Parker,2020-08-31 15:12:51.613442,2020-03-30 00:00:00.000000,0.01655749,0.04533032,0.10896983,23,64,155,5,17,43,0.00389367,0.01205160,0.03028647,0.43559566,0.48914350,0.54472424
