FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-09 00:00:00.000000,0.00932474,0.04425037,0.10760513,1,7,17,0,2,9,0.00338017,0.01611458,0.05983706,0.44797315,0.60839344,0.81854246
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-10 00:00:00.000000,0.00820799,0.03307412,0.09927846,1,5,15,0,2,7,0.00413995,0.01725320,0.04664216,0.44796558,0.60839343,0.81854234
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-11 00:00:00.000000,0.00746466,0.03032401,0.08007360,1,4,12,0,2,6,0.00347196,0.01330487,0.04059929,0.44794473,0.60839326,0.81854209
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-12 00:00:00.000000,0.00615272,0.02471864,0.07502155,0,3,11,0,1,5,0.00347937,0.01213034,0.03418040,0.44788527,0.60839245,0.81854151
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-13 00:00:00.000000,0.00569961,0.02215843,0.06413082,0,3,10,0,1,4,0.00296032,0.01055263,0.03068441,0.44771278,0.60838914,0.81853980
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-14 00:00:00.000000,0.00501079,0.01849541,0.05460972,0,2,8,0,1,4,0.00270927,0.00879933,0.02688490,0.44721019,0.60837647,0.81853336
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-15 00:00:00.000000,0.00451401,0.01562164,0.05035691,0,2,7,0,1,3,0.00196155,0.00784811,0.02497693,0.44576038,0.60832941,0.81850441
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-16 00:00:00.000000,0.00376626,0.01442713,0.04726856,0,2,7,0,1,3,0.00134813,0.00730264,0.02367707,0.44174392,0.60804081,0.81836120
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-17 00:00:00.000000,0.00254420,0.01313384,0.04452489,0,2,7,0,1,3,0.00088539,0.00656470,0.02219305,0.43181283,0.60018419,0.84083251
48371,0,USTexasPecos,Texas,Pecos,2020-10-07 21:34:58.618169,2020-03-18 00:00:00.000000,0.00168899,0.01173313,0.04171667,0,1,6,0,0,3,0.00059994,0.00577077,0.02088261,0.41288590,0.59446918,0.85975486
