FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-09 00:00:00.000000,0.00166609,0.00571679,0.01709332,1,6,20,0,2,9,0.00021239,0.00225020,0.00834397,0.46889611,0.63391821,0.85587270
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-10 00:00:00.000000,0.00224497,0.00674586,0.01834411,2,7,21,1,4,12,0.00111890,0.00348649,0.01089863,0.46895295,0.63391824,0.85587253
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-11 00:00:00.000000,0.00301441,0.00820246,0.02136213,3,9,25,2,5,14,0.00172709,0.00431140,0.01256929,0.46905181,0.63391830,0.85587212
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-12 00:00:00.000000,0.00364914,0.00970367,0.02440476,4,11,28,2,6,16,0.00205462,0.00536777,0.01445037,0.46922331,0.63391841,0.85587111
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-13 00:00:00.000000,0.00441457,0.01170048,0.02770792,5,13,32,2,7,19,0.00236673,0.00647914,0.01648042,0.46951965,0.63391873,0.85586866
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-14 00:00:00.000000,0.00524174,0.01368605,0.03127173,6,16,36,3,9,21,0.00268027,0.00774635,0.01867340,0.47002817,0.62704275,0.85586293
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-15 00:00:00.000000,0.00614299,0.01580750,0.03591039,7,18,42,3,10,24,0.00299449,0.00878830,0.02104088,0.47089051,0.62704978,0.85585049
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-16 00:00:00.000000,0.00765924,0.01783436,0.04035829,8,20,47,4,11,27,0.00340948,0.00985296,0.02359715,0.44449002,0.62633639,0.85582723
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-17 00:00:00.000000,0.00926367,0.01988568,0.04543744,10,23,53,5,13,30,0.00505541,0.01132841,0.02605589,0.42531044,0.62633465,0.85579257
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-18 00:00:00.000000,0.01112724,0.02293517,0.05072755,13,26,59,7,15,34,0.00655276,0.01320763,0.02915709,0.42364628,0.62409835,0.85567298
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-19 00:00:00.000000,0.01272594,0.02593496,0.05650540,14,30,66,8,17,38,0.00742799,0.01500438,0.03271274,0.42337240,0.62308109,0.83380149
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-20 00:00:00.000000,0.01425732,0.02948714,0.06282913,16,34,73,9,19,45,0.00844492,0.01690626,0.03897383,0.42333678,0.61673472,0.82347832
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-21 00:00:00.000000,0.01586136,0.03202070,0.06968642,18,37,81,10,22,51,0.00935209,0.01874201,0.04370319,0.42338671,0.60604864,0.81212548
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-22 00:00:00.000000,0.01784356,0.03437115,0.07693996,20,40,90,11,23,55,0.01000234,0.02042683,0.04700887,0.41978857,0.60034099,0.80199281
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-23 00:00:00.000000,0.02017450,0.03703825,0.08317432,23,43,97,12,25,59,0.01085554,0.02188021,0.05044249,0.41368524,0.59526764,0.80795451
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-24 00:00:00.000000,0.02241145,0.04167739,0.08771830,26,48,102,14,28,63,0.01253033,0.02387285,0.05401940,0.40706810,0.58737214,0.83265343
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-25 00:00:00.000000,0.02411567,0.04619933,0.09360812,28,54,109,16,30,69,0.01379168,0.02596621,0.05886614,0.40815263,0.58470891,0.80176882
48375,0,USTexasPotter,Texas,Potter,2020-09-22 07:58:27.746458,2020-03-26 00:00:00.000000,0.02587050,0.04915592,0.10364835,30,57,121,17,34,75,0.01511222,0.02937910,0.06397987,0.41177919,0.57824712,0.81939756
