FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-09 00:00:00.000000,0.00334654,0.02581940,0.06287452,0,7,18,0,3,10,0.00140659,0.01132429,0.03771050,0.44003845,0.57296698,0.81495174
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-10 00:00:00.000000,0.00288124,0.02160532,0.06253691,0,6,18,0,3,10,0.00173088,0.01311903,0.03506368,0.44003847,0.57295136,0.81490955
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-11 00:00:00.000000,0.00288459,0.02129373,0.05929212,0,6,17,0,3,10,0.00170522,0.01262373,0.03472525,0.44003852,0.57292017,0.81483628
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-12 00:00:00.000000,0.00286404,0.02033845,0.05658346,0,5,16,0,3,9,0.00171329,0.01199861,0.03357829,0.44003864,0.57285794,0.81470599
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-13 00:00:00.000000,0.00286338,0.01942602,0.05437056,0,5,15,0,3,9,0.00170737,0.01125207,0.03204127,0.44003889,0.57273399,0.81446615
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-14 00:00:00.000000,0.00285776,0.01862791,0.05212908,0,5,15,0,3,9,0.00170606,0.01082246,0.03247311,0.44003943,0.57250984,0.81400548
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-15 00:00:00.000000,0.00285455,0.01789086,0.05066411,0,5,14,0,2,8,0.00170326,0.01026556,0.03116193,0.44004049,0.57188081,0.81308998
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-16 00:00:00.000000,0.00668828,0.02127143,0.05837998,1,6,16,0,2,9,0.00170130,0.00995415,0.03145606,0.44004206,0.57157974,0.80539249
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-17 00:00:00.000000,0.00952283,0.02557328,0.06467541,2,7,18,1,3,10,0.00497484,0.01300165,0.03776707,0.44004113,0.57130525,0.78909794
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-18 00:00:00.000000,0.01309595,0.03159906,0.07316857,3,9,21,1,4,12,0.00651418,0.01574950,0.04352530,0.44001562,0.56679541,0.77086622
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-19 00:00:00.000000,0.01537417,0.03508289,0.08131568,4,10,23,2,5,13,0.00786357,0.01816445,0.04820159,0.43075848,0.55972100,0.74058019
48407,0,USTexasSanJacinto,Texas,San Jacinto,2020-09-22 07:37:18.227671,2020-03-20 00:00:00.000000,0.01756856,0.03826080,0.08822971,5,11,25,2,5,15,0.00867298,0.02008164,0.05264176,0.40591859,0.54849459,0.70540299
