FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-09 00:00:00.000000,0.00115024,0.01093365,0.02543128,0,7,16,0,2,5,0.00045489,0.00367063,0.00809353,0.40303418,0.66643600,1.00359726
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-10 00:00:00.000000,0.00148949,0.00983387,0.02336205,0,6,15,0,2,5,0.00037666,0.00307608,0.00793364,0.40304455,0.66643575,1.00359641
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-11 00:00:00.000000,0.00180815,0.01074586,0.02428320,1,7,16,0,1,5,0.00038494,0.00285820,0.00802360,0.40306133,0.66643507,1.00359469
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-12 00:00:00.000000,0.00191431,0.01138905,0.02517101,1,7,16,0,1,5,0.00041211,0.00290952,0.00828836,0.40308845,0.66643325,1.00359075
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-13 00:00:00.000000,0.00204885,0.01219030,0.02624398,1,8,17,0,1,5,0.00044531,0.00294649,0.00865497,0.40313220,0.66642838,1.00358000
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-14 00:00:00.000000,0.00221454,0.01319052,0.02747190,1,8,18,0,1,6,0.00048226,0.00299207,0.00911885,0.40320478,0.66641536,1.00354427
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-15 00:00:00.000000,0.00243369,0.01433756,0.02895992,1,9,19,0,2,6,0.00052273,0.00318208,0.00967758,0.40580129,0.66638059,1.00340592
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-16 00:00:00.000000,0.00266971,0.01568658,0.03065874,1,10,20,0,2,6,0.00056689,0.00342865,0.01033052,0.40651019,0.66628767,1.00282132
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-17 00:00:00.000000,0.00276324,0.01688391,0.03256480,1,11,21,0,2,7,0.00061501,0.00366095,0.01107869,0.40672139,0.66603972,1.00026242
48409,0,USTexasSanPatricio,Texas,San Patricio,2020-08-08 12:32:57.757916,2020-03-18 00:00:00.000000,0.00298554,0.01800567,0.03467557,1,12,23,0,2,7,0.00066741,0.00392242,0.01192452,0.40704317,0.66538186,0.98921860
