FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-09 00:00:00.000000,0.05598121,0.26641517,0.66748360,1,8,21,0,2,6,0.01025044,0.06811196,0.21133057,0.53681052,0.74889609,1.07403276
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-10 00:00:00.000000,0.03716399,0.16555023,0.46845129,1,5,15,0,2,5,0.01270605,0.07418161,0.15707420,0.53681051,0.74890317,1.07407831
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-11 00:00:00.000000,0.03096640,0.15183555,0.37457428,1,4,12,0,1,4,0.00931647,0.04914139,0.14646973,0.53681051,0.74891689,1.07416780
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-12 00:00:00.000000,0.02069832,0.11167204,0.31218739,0,3,10,0,1,3,0.00726935,0.04535169,0.10182885,0.53681051,0.74894339,1.07434352
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-13 00:00:00.000000,0.01540884,0.08805935,0.22799022,0,2,7,0,0,2,0.00514500,0.03048763,0.08985398,0.53681051,0.74899421,1.07468814
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-14 00:00:00.000000,0.01110175,0.07376345,0.19819638,0,2,6,0,0,2,0.00378232,0.02735289,0.07526881,0.53681051,0.74909044,1.07536223
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-15 00:00:00.000000,0.00800003,0.05981879,0.16730206,0,1,5,0,0,2,0.00230729,0.02069102,0.06692051,0.53681052,0.74926845,1.07667421
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-16 00:00:00.000000,0.00471327,0.04772042,0.14799043,0,1,4,0,0,2,0.00164348,0.01757700,0.06139816,0.53681044,0.74957535,1.07920299
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-17 00:00:00.000000,0.00351187,0.04024604,0.13329943,0,1,4,0,0,1,0.00125482,0.01338823,0.05172990,0.53304875,0.75346939,1.08398708
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-18 00:00:00.000000,0.00282431,0.03238132,0.11615475,0,1,3,0,0,1,0.00092718,0.01106832,0.04361188,0.51349648,0.76098202,1.08472822
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-19 00:00:00.000000,0.00171672,0.02600736,0.09796289,0,0,3,0,0,1,0.00053872,0.00902951,0.03678164,0.50289450,0.76136496,1.08419955
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-20 00:00:00.000000,0.00131619,0.01908483,0.08350365,0,0,2,0,0,1,0.00040584,0.00723283,0.03124500,0.49605088,0.76273983,1.08320761
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-21 00:00:00.000000,0.00102251,0.01544510,0.07193338,0,0,2,0,0,0,0.00031402,0.00584250,0.02739492,0.47598139,0.76383327,1.13468633
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-22 00:00:00.000000,0.00075900,0.01262883,0.06153537,0,0,2,0,0,0,0.00024644,0.00486466,0.02339273,0.44695555,0.76397668,1.17513732
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-23 00:00:00.000000,0.00053367,0.01019378,0.05088961,0,0,1,0,0,0,0.00016725,0.00369241,0.01974403,0.42073913,0.74159087,1.18459808
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-24 00:00:00.000000,0.00036049,0.00828248,0.04230961,0,0,1,0,0,0,0.00012252,0.00303576,0.01738452,0.40658303,0.73418080,1.18769202
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-25 00:00:00.000000,0.00025507,0.00666307,0.03610863,0,0,1,0,0,0,0.00008125,0.00233085,0.01530450,0.40559534,0.71947543,1.18917766
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-26 00:00:00.000000,0.00016118,0.00518669,0.03125869,0,0,1,0,0,0,0.00004978,0.00188996,0.01345501,0.40923746,0.70882161,1.19079238
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-27 00:00:00.000000,0.00009186,0.00408040,0.02702176,0,0,0,0,0,0,0.00002821,0.00144270,0.01175939,0.42170119,0.71040042,1.19352085
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-28 00:00:00.000000,0.00005176,0.00313245,0.02332626,0,0,0,0,0,0,0.00001583,0.00112616,0.01010065,0.40478815,0.69835911,1.19819565
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-29 00:00:00.000000,0.00002897,0.00230418,0.02011510,0,0,0,0,0,0,0.00000884,0.00082867,0.00848304,0.40760116,0.67966124,1.20502312
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-30 00:00:00.000000,0.00001617,0.00167771,0.01732839,0,0,0,0,0,0,0.00000493,0.00064062,0.00707207,0.39953588,0.65180184,1.21522122
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-03-31 00:00:00.000000,0.00000902,0.00121398,0.01489784,0,0,0,0,0,0,0.00000275,0.00047591,0.00589468,0.39321734,0.63354665,1.23032958
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-04-01 00:00:00.000000,0.00000503,0.00089783,0.01278258,0,0,0,0,0,0,0.00000153,0.00035354,0.00490265,0.38226872,0.62721223,1.24944407
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-04-02 00:00:00.000000,0.00000280,0.00068744,0.01087848,0,0,0,0,0,0,0.00000085,0.00025814,0.00408338,0.37708997,0.62969843,1.26972039
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-04-03 00:00:00.000000,0.00000157,0.00052889,0.00900110,0,0,0,0,0,0,0.00000048,0.00018744,0.00339349,0.37271064,0.62609314,1.27861823
48417,0,USTexasShackelford,Texas,Shackelford,2020-10-01 22:50:07.732977,2020-04-04 00:00:00.000000,0.00000088,0.00038117,0.00723992,0,0,0,0,0,0,0.00000027,0.00013361,0.00287636,0.36753731,0.60993956,1.25740447
