FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-09 00:00:00.000000,0.00052933,0.00304367,0.00992559,0,4,13,0,1,7,0.00021862,0.00125840,0.00579389,0.53286872,0.65869111,0.93480054
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-10 00:00:00.000000,0.00052625,0.00271539,0.01022089,0,3,14,0,2,9,0.00032798,0.00177918,0.00659894,0.53287006,0.65869112,0.93479933
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-11 00:00:00.000000,0.00061699,0.00300903,0.01105935,0,4,15,0,2,9,0.00035386,0.00182188,0.00702092,0.53287279,0.65869112,0.93479727
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-12 00:00:00.000000,0.00069285,0.00313729,0.01185320,0,4,16,0,2,10,0.00041671,0.00207447,0.00760224,0.53287835,0.65869113,0.93479372
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-13 00:00:00.000000,0.00079701,0.00352260,0.01276666,1,4,17,0,3,11,0.00047223,0.00229597,0.00818067,0.53288968,0.65869115,0.93478758
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-14 00:00:00.000000,0.00090976,0.00386650,0.01374204,1,5,18,0,3,12,0.00054286,0.00243890,0.00881591,0.53291277,0.65869115,0.93477694
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-15 00:00:00.000000,0.00104221,0.00424864,0.01480011,1,5,20,0,3,13,0.00062033,0.00268403,0.00949484,0.53295980,0.66254958,0.93475844
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-16 00:00:00.000000,0.00173508,0.00557162,0.01632863,2,7,22,0,4,14,0.00071050,0.00301796,0.01022734,0.53305564,0.66336292,0.93472584
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-17 00:00:00.000000,0.00232604,0.00641302,0.01794718,3,8,24,1,5,15,0.00126251,0.00406943,0.01138534,0.53325088,0.66049349,0.93465621
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-18 00:00:00.000000,0.00308934,0.00805767,0.02132833,4,11,29,2,6,17,0.00169398,0.00470601,0.01297232,0.53364836,0.66096122,0.93408482
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-19 00:00:00.000000,0.00383997,0.00961516,0.02495107,5,13,34,3,7,21,0.00219318,0.00573642,0.01571191,0.53445648,0.66132492,0.86535002
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-20 00:00:00.000000,0.00467131,0.01171234,0.02863449,6,16,39,3,9,25,0.00279032,0.00705671,0.01820972,0.53153738,0.65250054,0.84202002
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-21 00:00:00.000000,0.00566709,0.01349459,0.03248035,7,18,44,4,11,28,0.00346227,0.00812612,0.02073548,0.52985165,0.64601487,0.83015323
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-22 00:00:00.000000,0.00673614,0.01484558,0.03663500,9,20,50,5,12,32,0.00417277,0.00917856,0.02348294,0.52466584,0.64472482,0.82823456
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-23 00:00:00.000000,0.00789619,0.01738352,0.04127051,10,23,56,6,14,36,0.00463594,0.01041195,0.02680389,0.48929565,0.64515961,0.82821959
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-24 00:00:00.000000,0.00981243,0.01938795,0.04630552,13,26,63,7,16,41,0.00565214,0.01214408,0.02979882,0.48177235,0.64517665,0.83479504
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-25 00:00:00.000000,0.01131531,0.02198982,0.05261219,15,30,72,9,19,46,0.00674707,0.01377562,0.03340077,0.46319638,0.64466454,0.83890521
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-26 00:00:00.000000,0.01325334,0.02472101,0.06123255,18,34,84,10,21,54,0.00785266,0.01534558,0.03926359,0.45589164,0.64532061,0.84114614
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-27 00:00:00.000000,0.01457532,0.02857986,0.07044706,20,39,97,12,24,62,0.00893863,0.01768784,0.04556561,0.45934584,0.65611656,0.84187436
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-28 00:00:00.000000,0.01628049,0.03181920,0.07990807,22,43,110,13,27,72,0.00990319,0.01978663,0.05223247,0.47603242,0.65831384,0.83654863
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-29 00:00:00.000000,0.01938688,0.03459820,0.08954986,26,47,123,15,30,81,0.01139694,0.02184429,0.05902812,0.48396962,0.67360451,0.82421276
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-30 00:00:00.000000,0.02271355,0.03995758,0.09810189,31,55,135,18,33,90,0.01371859,0.02448706,0.06592271,0.50199989,0.68399972,0.85467409
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-03-31 00:00:00.000000,0.02666917,0.04552026,0.11242983,36,62,155,21,38,101,0.01581113,0.02817275,0.07322864,0.48614248,0.68589575,0.88427619
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-01 00:00:00.000000,0.03199796,0.05154314,0.12605994,44,71,174,25,44,116,0.01879423,0.03223617,0.08413504,0.48539457,0.69050701,0.89671838
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-02 00:00:00.000000,0.03766519,0.05883959,0.14164436,51,81,195,30,51,125,0.02235729,0.03727740,0.09076446,0.48667435,0.69676484,0.90056993
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-03 00:00:00.000000,0.04400445,0.06675538,0.15839286,60,92,218,36,58,140,0.02622475,0.04218689,0.10181316,0.48956340,0.69902350,0.92165031
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-04 00:00:00.000000,0.04920809,0.07690268,0.17618669,67,106,243,41,66,156,0.02982080,0.04812505,0.11358425,0.51591811,0.69703015,0.93852779
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-05 00:00:00.000000,0.05506473,0.08727965,0.19617672,76,120,270,46,75,176,0.03381894,0.05483818,0.12786779,0.52633648,0.71060386,0.92432311
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-06 00:00:00.000000,0.06113495,0.09823289,0.21834239,84,135,301,51,85,197,0.03700068,0.06162957,0.14296896,0.54513156,0.70581641,0.94820615
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-07 00:00:00.000000,0.06631592,0.10821371,0.23801064,91,149,328,56,95,214,0.04120132,0.06911654,0.15530651,0.54977584,0.70224862,0.95059068
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-08 00:00:00.000000,0.07202141,0.12178087,0.25933245,99,168,357,60,107,233,0.04382515,0.07804051,0.16909750,0.54727620,0.70017954,0.93091223
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-09 00:00:00.000000,0.07781439,0.13728464,0.28269848,107,189,390,65,118,254,0.04744612,0.08620787,0.18433943,0.54597382,0.69955806,0.90327260
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-10 00:00:00.000000,0.08405485,0.15251701,0.30805735,116,210,425,70,131,277,0.05121838,0.09526748,0.20097056,0.54596824,0.70735056,0.92791312
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-11 00:00:00.000000,0.09087946,0.16744696,0.33639449,125,231,464,77,144,302,0.05620810,0.10442716,0.21895721,0.54682951,0.70282322,0.89939870
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-12 00:00:00.000000,0.10029221,0.18653589,0.37553678,138,257,518,87,161,330,0.06327415,0.11671728,0.23914809,0.54805129,0.70066759,0.89699580
48441,0,USTexasTaylor,Texas,Taylor,2020-10-07 21:04:11.884185,2020-04-13 00:00:00.000000,0.11416681,0.20705898,0.41437210,157,285,571,99,179,367,0.07176096,0.13032855,0.26621457,0.54865736,0.69985363,0.92017165
