FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-09 00:00:00.000000,0.00583493,0.02828877,0.13888473,1,9,45,0,1,4,0.00030787,0.00350435,0.01396989,0.45093534,0.65593943,0.97568727
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-10 00:00:00.000000,0.00867584,0.02054180,0.04369544,2,6,14,0,1,4,0.00124233,0.00553170,0.01237811,0.45097444,0.65574988,0.97582865
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-11 00:00:00.000000,0.01192492,0.02595538,0.04774018,3,8,15,0,1,3,0.00098891,0.00547621,0.01220761,0.45104623,0.65543386,0.97603623
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-12 00:00:00.000000,0.01482963,0.02721752,0.05232725,4,8,17,0,2,4,0.00190168,0.00766820,0.01426411,0.45117770,0.65490616,0.97634038
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-13 00:00:00.000000,0.01881779,0.03437144,0.06426420,6,11,21,0,2,5,0.00210135,0.00755478,0.01683175,0.45141717,0.65402461,0.97678470
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-14 00:00:00.000000,0.01983707,0.03647175,0.06821066,6,11,22,0,3,6,0.00293227,0.00968675,0.01945024,0.45184919,0.65285381,0.97708379
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-15 00:00:00.000000,0.02652695,0.04425054,0.08107821,8,14,26,1,3,7,0.00322298,0.00994253,0.02164181,0.45261527,0.65115929,0.97710581
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-16 00:00:00.000000,0.02615425,0.04609167,0.08668518,8,15,28,1,4,7,0.00438873,0.01265379,0.02412855,0.45393305,0.65273426,0.97712944
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-17 00:00:00.000000,0.03256927,0.05587406,0.10051792,10,18,32,1,4,8,0.00427561,0.01259188,0.02693135,0.45608545,0.64878899,0.97711892
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-18 00:00:00.000000,0.03323663,0.05610556,0.10869571,10,18,35,2,5,10,0.00621807,0.01602877,0.03192812,0.44448330,0.64563086,0.97686062
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-19 00:00:00.000000,0.03913067,0.06871957,0.12907688,12,22,42,1,5,12,0.00566482,0.01561625,0.03739105,0.43890814,0.63173847,0.97517568
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-20 00:00:00.000000,0.03957724,0.06783882,0.13620637,12,22,44,2,6,14,0.00842744,0.01958251,0.04293512,0.41915384,0.62298692,0.96618411
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-21 00:00:00.000000,0.04618275,0.08333638,0.16377749,15,27,53,2,6,16,0.00746996,0.01912652,0.04938536,0.41280604,0.60306175,0.93106371
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-22 00:00:00.000000,0.04608936,0.08019760,0.17893174,15,26,58,3,7,18,0.01104855,0.02420403,0.05637045,0.40860743,0.58777330,0.90978492
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-23 00:00:00.000000,0.05516326,0.09848160,0.21310233,18,32,69,3,7,20,0.00958844,0.02416722,0.06354470,0.40056304,0.57491784,1.01348245
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-24 00:00:00.000000,0.05344256,0.09450271,0.23463387,17,30,76,4,9,23,0.01428551,0.02932808,0.07279503,0.39578831,0.57481982,1.02125266
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-25 00:00:00.000000,0.06583522,0.11553743,0.27513336,21,37,90,3,9,26,0.01206201,0.03012895,0.08184584,0.39108247,0.57237853,1.02696727
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-26 00:00:00.000000,0.06219631,0.11265721,0.30874457,20,36,101,6,11,29,0.01843887,0.03488009,0.09086874,0.38427926,0.57213575,1.02876944
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-27 00:00:00.000000,0.07819544,0.13527632,0.35511333,25,44,116,4,11,32,0.01495042,0.03638385,0.10014585,0.37438541,0.56772519,1.02160813
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-28 00:00:00.000000,0.07286378,0.13308753,0.39342254,23,43,128,7,13,35,0.02363753,0.04204543,0.10962925,0.37524840,0.55037033,1.02287811
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-29 00:00:00.000000,0.08909820,0.16124035,0.46320716,29,52,151,5,14,39,0.01812176,0.04281306,0.11928638,0.35250722,0.54541417,1.05396981
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-30 00:00:00.000000,0.08376462,0.15570774,0.48837541,27,50,159,9,16,43,0.02750204,0.05007701,0.13272347,0.33547883,0.55381841,0.95639387
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-03-31 00:00:00.000000,0.10602493,0.18962417,0.57777979,34,62,189,7,16,49,0.02156238,0.05053071,0.15102080,0.32581339,0.55254098,0.97517776
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-01 00:00:00.000000,0.09583484,0.18307842,0.60297142,31,59,197,10,19,56,0.03092089,0.05862029,0.17104898,0.32204183,0.55653922,1.05215100
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-02 00:00:00.000000,0.12185853,0.21926397,0.70220439,39,71,229,8,19,61,0.02553169,0.05921317,0.18730966,0.32223141,0.57105693,1.07595805
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-03 00:00:00.000000,0.11291716,0.21527125,0.75024917,36,70,245,11,22,67,0.03486998,0.06961010,0.20492339,0.32946200,0.57289692,1.06954516
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-04 00:00:00.000000,0.13773028,0.25630177,0.85012181,45,83,278,9,22,73,0.03009655,0.06865188,0.22570577,0.33455933,0.57375473,1.04543257
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-05 00:00:00.000000,0.13132617,0.25371719,0.93198873,43,83,305,13,26,82,0.04089264,0.08169475,0.25297231,0.33209475,0.58093483,1.03981503
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-06 00:00:00.000000,0.16431928,0.30448183,1.05215034,53,99,344,11,27,92,0.03579169,0.08287927,0.28342033,0.33593390,0.60556558,1.07924690
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-07 00:00:00.000000,0.17139008,0.30671781,1.12939083,56,100,369,16,31,104,0.04936401,0.09631445,0.31769916,0.34043469,0.63081439,1.12171830
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-08 00:00:00.000000,0.20390012,0.36883920,1.31366479,66,120,430,13,32,116,0.04148938,0.09937527,0.35670780,0.34631179,0.64300196,1.15320461
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-09 00:00:00.000000,0.19746180,0.36454816,1.36847348,64,119,448,19,38,131,0.05975000,0.11716854,0.40050464,0.35418339,0.66732779,1.17580711
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-10 00:00:00.000000,0.24316051,0.44053314,1.63882759,79,144,536,15,37,147,0.04773149,0.11532499,0.44961999,0.36407787,0.68969316,1.20679327
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-11 00:00:00.000000,0.22374187,0.43397833,1.65242767,73,142,541,22,46,165,0.06941233,0.14083477,0.50469623,0.35547663,0.70897625,1.24306335
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-12 00:00:00.000000,0.27773206,0.53522870,1.97908331,90,175,648,18,45,185,0.05518733,0.13935375,0.56661204,0.38389118,0.71879049,1.25287012
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-13 00:00:00.000000,0.25224457,0.52572118,1.99554348,82,172,653,26,55,208,0.08037927,0.17080366,0.63647977,0.39112945,0.72547482,1.25977473
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-14 00:00:00.000000,0.31445314,0.66438138,2.27469428,102,217,744,21,53,234,0.06708983,0.16433777,0.71529960,0.39675624,0.73701043,1.26776058
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-15 00:00:00.000000,0.28966731,0.67554670,2.41030413,94,221,789,30,67,263,0.09178532,0.20722510,0.80393919,0.40235620,0.75176513,1.27996986
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-16 00:00:00.000000,0.36538438,0.81643490,2.74617196,119,267,899,26,66,295,0.08192097,0.20196175,0.90322683,0.40875143,0.77017105,1.29989641
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-17 00:00:00.000000,0.34555389,0.85016131,2.94823571,113,278,965,35,82,332,0.10718395,0.25083628,1.01395937,0.41713948,0.78427674,1.34231511
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-18 00:00:00.000000,0.44504346,1.01123917,3.61457722,145,331,1183,33,79,372,0.10103748,0.24336066,1.13768414,0.43193930,0.79776824,1.45323952
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-19 00:00:00.000000,0.43222126,1.09124851,3.66730156,141,357,1201,41,101,417,0.12704782,0.30906789,1.27329000,0.44781736,0.80182505,1.56601371
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-20 00:00:00.000000,0.55157374,1.26975029,4.73968412,180,415,1552,41,100,466,0.12717993,0.30596096,1.42345499,0.44798105,0.83020759,1.63422982
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-21 00:00:00.000000,0.54617743,1.37410859,4.54674164,178,450,1489,50,126,520,0.15366042,0.38528976,1.58853661,0.45422064,0.85154809,1.65012213
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-22 00:00:00.000000,0.69506913,1.60936427,6.01322569,227,527,1969,49,127,587,0.15193621,0.38840904,1.79397483,0.47409794,0.87375371,1.68907514
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-23 00:00:00.000000,0.68178976,1.72232425,5.65136194,223,564,1850,62,159,677,0.18984161,0.48791356,2.06867767,0.48871975,0.91304230,1.69787688
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-24 00:00:00.000000,0.89050107,2.13943058,7.50678473,291,700,2458,59,160,758,0.18283355,0.49008652,2.31589899,0.50649693,0.92329352,1.71851059
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-25 00:00:00.000000,0.85844297,2.16290337,7.01455965,281,708,2297,77,205,844,0.23591948,0.62734036,2.57771104,0.50696645,0.93699765,1.76054533
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-26 00:00:00.000000,1.04075796,2.76900290,9.49807943,340,906,3110,71,207,943,0.21866466,0.63394048,2.87960193,0.50386832,1.02911640,1.81071124
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-27 00:00:00.000000,1.11872354,2.86273872,8.66732428,366,937,2838,97,263,1056,0.29801760,0.80446594,3.22446416,0.50140057,1.06569687,1.86219059
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-28 00:00:00.000000,1.24573880,3.59799756,13.36611995,407,1178,4377,87,273,1183,0.26844272,0.83404899,3.61388136,0.49984891,1.10928809,1.97024588
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-29 00:00:00.000000,1.35711491,3.71563932,11.41281791,444,1216,3737,127,348,1326,0.38894691,1.06329715,4.05006010,0.49980675,1.14624593,2.20566077
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-04-30 00:00:00.000000,1.74806972,4.81332187,17.53635471,572,1576,5743,113,374,1485,0.34510006,1.14373539,4.53588088,0.50495078,1.19659721,2.29611102
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-01 00:00:00.000000,1.84665131,5.08538561,15.30808555,604,1665,5013,161,457,1662,0.49200644,1.39728572,5.07482529,0.50854331,1.28031276,2.32712352
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-02 00:00:00.000000,2.30172718,6.50586110,23.43394352,753,2130,7674,150,501,1857,0.45956010,1.53074166,5.67119750,0.49404387,1.34904549,2.39762564
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-03 00:00:00.000000,2.64712362,7.09466211,20.51990198,866,2323,6720,206,616,2073,0.63012254,1.88367904,6.33245686,0.51052623,1.42344762,2.53400999
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-04 00:00:00.000000,3.33533410,9.03700035,30.54623058,1092,2959,10003,205,667,2364,0.62703129,2.03888827,7.22095055,0.58624739,1.47268195,2.64317555
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-05 00:00:00.000000,3.68592838,9.67493995,27.12242744,1207,3168,8882,278,837,2698,0.85136884,2.55713273,8.23923578,0.66141881,1.48791270,2.87480187
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-06 00:00:00.000000,5.17493929,12.38015970,38.54814599,1694,4054,12624,289,914,3071,0.88294368,2.79154673,9.37867984,0.69642782,1.52176371,2.97884682
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-07 00:00:00.000000,5.44770034,13.08486327,34.87994320,1784,4285,11423,432,1113,3482,1.32197601,3.39927198,10.63493773,0.71931691,1.51148118,3.04081646
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-08 00:00:00.000000,7.08523337,16.51838362,46.67670903,2320,5409,15286,389,1221,3928,1.18980660,3.72928490,11.99693807,0.74554529,1.50215139,3.16712520
48449,0,USTexasTitus,Texas,Titus,2020-07-30 20:30:19.730989,2020-05-09 00:00:00.000000,8.38099834,17.37529081,43.68207231,2744,5690,14305,646,1501,4518,1.97258276,4.58556500,13.79743608,0.75550626,1.52189477,3.29122767
