FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-09 00:00:00.000000,0.00241088,0.05002521,0.06403774,0,13,17,0,8,10,0.00130177,0.03027176,0.04009043,0.44792261,0.48056772,0.75520012
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-10 00:00:00.000000,0.00242729,0.04889542,0.06310306,0,13,16,0,7,9,0.00133092,0.02786038,0.03675083,0.44792007,0.48056656,0.75520004
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-11 00:00:00.000000,0.00246960,0.04640107,0.06198516,0,12,16,0,7,9,0.00135191,0.02619662,0.03694124,0.44791373,0.48056354,0.75519945
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-12 00:00:00.000000,0.00250576,0.04443959,0.05928807,0,11,15,0,6,9,0.00137115,0.02563740,0.03537092,0.44789780,0.48055566,0.75519539
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-13 00:00:00.000000,0.00253909,0.04243393,0.05704544,0,11,15,0,6,9,0.00138892,0.02441153,0.03412446,0.44785748,0.48053499,0.75516749
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-14 00:00:00.000000,0.00257061,0.04103000,0.05524906,0,10,14,0,6,8,0.00140556,0.02363299,0.03311266,0.44775506,0.48048067,0.75497571
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-15 00:00:00.000000,0.00260059,0.03925843,0.05453487,0,10,14,0,6,8,0.00142187,0.02323074,0.03232012,0.44749466,0.48033715,0.75366244
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-16 00:00:00.000000,0.00632284,0.04074770,0.05996456,1,10,16,0,6,8,0.00143734,0.02270278,0.03298652,0.44683600,0.47858974,0.74491889
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-17 00:00:00.000000,0.00961149,0.04289083,0.06601467,2,11,17,1,6,10,0.00511618,0.02442723,0.03806833,0.44520083,0.47638157,0.72496555
48463,0,USTexasUvalde,Texas,Uvalde,2020-09-09 04:41:11.034169,2020-03-18 00:00:00.000000,0.01288624,0.04546453,0.07934875,3,12,21,1,6,11,0.00664034,0.02615307,0.04303630,0.44134089,0.47500962,0.71900874
