FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-09 00:00:00.000000,0.00599936,0.02395179,0.08024002,1,5,17,0,2,8,0.00201444,0.01119628,0.03921162,0.39185703,0.55266368,0.73029523
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-10 00:00:00.000000,0.00500728,0.02126027,0.07511794,1,4,16,0,2,8,0.00314077,0.01184975,0.03939043,0.39182893,0.55266309,0.73000277
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-11 00:00:00.000000,0.00480859,0.02135424,0.07596063,1,4,16,0,2,8,0.00314812,0.01189013,0.04119637,0.39174954,0.55266156,0.72959270
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-12 00:00:00.000000,0.00459947,0.02167605,0.07555335,0,4,16,0,2,9,0.00304306,0.01211976,0.04263286,0.39152570,0.55265753,0.72901820
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-13 00:00:00.000000,0.00444480,0.02213244,0.07781713,0,4,16,0,2,9,0.00287820,0.01254248,0.04384305,0.39089799,0.55264698,0.72821402
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-14 00:00:00.000000,0.00460123,0.02169544,0.07904197,0,4,16,0,2,9,0.00284737,0.01260298,0.04491896,0.38916358,0.55147323,0.72708524
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-15 00:00:00.000000,0.00444464,0.02137494,0.07978283,0,4,17,0,2,9,0.00274465,0.01272973,0.04587802,0.38456141,0.55134231,0.72544058
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-16 00:00:00.000000,0.00820705,0.02843348,0.09103956,1,6,19,0,2,9,0.00264673,0.01258478,0.04669538,0.37355738,0.54653882,0.72225427
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-17 00:00:00.000000,0.01226728,0.03502507,0.09923054,2,7,21,1,3,11,0.00540311,0.01717068,0.05326966,0.35915444,0.54177595,0.70713092
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-18 00:00:00.000000,0.01669138,0.04131193,0.10963764,3,8,23,1,4,12,0.00714103,0.02044772,0.05951529,0.35086520,0.53130464,0.69667061
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-19 00:00:00.000000,0.01855940,0.04644122,0.12441227,3,9,26,1,5,14,0.00860122,0.02487157,0.06953274,0.33320311,0.51024533,0.68249169
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-20 00:00:00.000000,0.02028982,0.05185746,0.13540038,4,11,28,2,5,16,0.01029095,0.02714803,0.07943754,0.31657725,0.48546063,0.62734375
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-21 00:00:00.000000,0.02190896,0.05707882,0.14332742,4,12,30,2,6,18,0.01179069,0.03062202,0.08434125,0.30913456,0.45248258,0.59994058
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-22 00:00:00.000000,0.02328906,0.06143790,0.14940805,4,13,31,2,7,18,0.01240935,0.03458070,0.08868967,0.29448787,0.44654748,0.58235447
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-23 00:00:00.000000,0.02803610,0.06985975,0.15509212,5,14,33,2,8,19,0.01264125,0.03846978,0.09227229,0.29289182,0.43125715,0.57098911
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-24 00:00:00.000000,0.03214554,0.07921089,0.16466931,6,16,35,3,8,21,0.01488602,0.04159597,0.09834961,0.29274511,0.41962623,0.55058182
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-25 00:00:00.000000,0.04112704,0.08802466,0.17418338,8,18,37,3,10,22,0.01840199,0.04778411,0.10604559,0.29272555,0.41713083,0.52155145
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-26 00:00:00.000000,0.04355978,0.09320021,0.18365944,9,19,39,4,11,24,0.02181107,0.05377258,0.11347968,0.28671228,0.40502480,0.52444770
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-27 00:00:00.000000,0.04508341,0.09518025,0.19286841,9,20,41,4,11,25,0.02285392,0.05518565,0.12070216,0.27486641,0.39193102,0.51728819
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-28 00:00:00.000000,0.04652870,0.09819074,0.20177837,9,20,43,5,12,27,0.02383217,0.05879269,0.12707975,0.26591184,0.38096538,0.52730334
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-29 00:00:00.000000,0.04786619,0.09974174,0.21106510,10,21,45,5,12,28,0.02470395,0.06032893,0.13226026,0.25414525,0.36291784,0.53303725
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-30 00:00:00.000000,0.05314638,0.10365887,0.21166166,11,22,45,5,13,29,0.02541656,0.06293228,0.13627168,0.24007542,0.33943363,0.53627804
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-03-31 00:00:00.000000,0.05932446,0.11033172,0.21283201,12,23,45,6,14,28,0.02883408,0.06661330,0.13220812,0.23812267,0.33588274,0.53473778
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-01 00:00:00.000000,0.06351265,0.11180449,0.21272919,13,23,45,6,14,27,0.03198236,0.06758576,0.12724552,0.23969908,0.33464166,0.52766414
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-02 00:00:00.000000,0.06353972,0.11604500,0.21268643,13,24,45,7,14,27,0.03478566,0.06912290,0.12720577,0.24303014,0.32997668,0.51521783
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-03 00:00:00.000000,0.06690855,0.11536534,0.21178160,14,24,45,7,14,27,0.03734190,0.06906244,0.12953110,0.23780448,0.31964887,0.56022247
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-04 00:00:00.000000,0.06591936,0.11759475,0.20955079,14,25,44,8,14,27,0.03763483,0.06881124,0.13061127,0.22751010,0.31209655,0.55934071
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-05 00:00:00.000000,0.06847256,0.12082558,0.21157768,14,25,45,7,14,28,0.03598029,0.06866122,0.13576069,0.21532937,0.30628056,0.55394343
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-06 00:00:00.000000,0.06814320,0.11713318,0.20806043,14,25,44,7,14,30,0.03682580,0.06823582,0.14327487,0.21170805,0.30137195,0.52325472
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-07 00:00:00.000000,0.07200110,0.11562566,0.20371993,15,24,43,8,14,28,0.03842451,0.06829575,0.13343891,0.21066177,0.29508775,0.47465961
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-08 00:00:00.000000,0.07529930,0.11536086,0.19857670,16,24,42,8,14,27,0.03987756,0.06927806,0.12663247,0.21131124,0.29304206,0.46714249
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-09 00:00:00.000000,0.07228880,0.11423613,0.19498332,15,24,41,8,14,26,0.04126768,0.06720852,0.12421127,0.21045943,0.29309736,0.46212485
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-10 00:00:00.000000,0.06843013,0.11490444,0.19290207,14,24,41,8,14,26,0.04168454,0.06748933,0.12185995,0.21072133,0.29062980,0.45280876
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-11 00:00:00.000000,0.06504831,0.11017472,0.20231911,13,23,43,8,14,25,0.03952829,0.06624648,0.11968329,0.20124518,0.28451756,0.45580477
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-12 00:00:00.000000,0.06212367,0.10945296,0.21604412,13,23,46,8,14,26,0.03764142,0.06582080,0.12400953,0.19787041,0.28584841,0.45911704
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-13 00:00:00.000000,0.06684906,0.11073830,0.21416477,14,23,45,7,13,27,0.03602282,0.06548649,0.12786676,0.19372183,0.27916968,0.45903758
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-14 00:00:00.000000,0.06682124,0.10881581,0.21216215,14,23,45,7,14,26,0.03663259,0.06597683,0.12320886,0.19362468,0.27809025,0.45719306
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-15 00:00:00.000000,0.06777490,0.11116347,0.20966381,14,23,44,8,14,26,0.03789703,0.06558321,0.12275685,0.19381930,0.27896632,0.44821115
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-16 00:00:00.000000,0.06677644,0.11207420,0.21045086,14,23,44,7,13,26,0.03740951,0.06508616,0.12224475,0.19409142,0.27845949,0.41816281
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-17 00:00:00.000000,0.06219933,0.11365174,0.21465146,13,24,45,7,14,25,0.03690399,0.06607626,0.12169350,0.19719616,0.27898070,0.42908891
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-18 00:00:00.000000,0.05788045,0.11454015,0.21601470,12,24,46,7,14,25,0.03528256,0.06760948,0.12105733,0.19945242,0.28178450,0.44577823
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-19 00:00:00.000000,0.05429301,0.11329865,0.21006414,11,24,44,7,14,25,0.03380820,0.06814188,0.12149473,0.20203032,0.27976220,0.44498953
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-20 00:00:00.000000,0.06070774,0.10965063,0.20751655,12,23,44,6,14,26,0.03244274,0.06744306,0.12227706,0.20180757,0.28261735,0.44999784
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-21 00:00:00.000000,0.05979147,0.10457828,0.20513062,12,22,43,7,13,26,0.03421054,0.06415544,0.12334127,0.20114857,0.28348964,0.45328090
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-22 00:00:00.000000,0.06344116,0.10422304,0.20670789,13,22,44,7,13,26,0.03566963,0.06273656,0.12628316,0.20136759,0.28779564,0.44754130
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-23 00:00:00.000000,0.06391876,0.10682279,0.21320640,13,22,45,7,13,27,0.03596657,0.06370511,0.12894090,0.20158100,0.29098407,0.42954322
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-24 00:00:00.000000,0.06289195,0.10446257,0.21438185,13,22,45,7,13,26,0.03479576,0.06396702,0.12321670,0.19261366,0.29020577,0.41979034
48489,0,USTexasWillacy,Texas,Willacy,2020-08-21 13:01:18.964316,2020-04-25 00:00:00.000000,0.06108436,0.10295616,0.20452024,13,21,43,7,13,25,0.03338088,0.06365160,0.11734417,0.18403336,0.29626237,0.43053520
