FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-09 00:00:00.000000,0.00395655,0.00863524,0.01738166,2,6,12,0,1,3,0.00056298,0.00177116,0.00519981,0.52983569,0.82037802,1.15829236
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-10 00:00:00.000000,0.00542858,0.01043657,0.02657760,3,7,19,0,1,4,0.00106046,0.00253431,0.00673613,0.52983569,0.82037779,1.15817574
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-11 00:00:00.000000,0.00767399,0.01376604,0.03484363,5,9,25,1,2,6,0.00147968,0.00365112,0.00949128,0.52983573,0.82037767,1.15795303
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-12 00:00:00.000000,0.00965964,0.01703833,0.04225069,6,12,30,1,3,9,0.00179479,0.00461628,0.01283963,0.52983601,0.82037904,1.15752833
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-13 00:00:00.000000,0.01132831,0.01981803,0.04894658,8,14,35,1,3,11,0.00222472,0.00547383,0.01630136,0.52983793,0.82038921,1.15672095
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-14 00:00:00.000000,0.01293242,0.02305140,0.05508580,9,16,39,2,4,13,0.00299129,0.00640013,0.01861053,0.52985035,0.82044323,1.15519552
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-15 00:00:00.000000,0.01453067,0.02614591,0.06079348,10,18,43,2,5,15,0.00321509,0.00761781,0.02092759,0.52992900,0.82070155,1.15234753
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-16 00:00:00.000000,0.01690048,0.02997896,0.06803531,12,21,49,2,6,16,0.00343971,0.00878321,0.02328467,0.53042128,0.81629710,1.14714776
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-17 00:00:00.000000,0.01931552,0.03295138,0.07620820,13,23,55,3,7,17,0.00415415,0.00976706,0.02476026,0.53345019,0.80536534,1.13803235
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-18 00:00:00.000000,0.02148704,0.03621475,0.08493291,15,26,61,3,7,19,0.00492384,0.01078106,0.02653342,0.54374817,0.80129088,1.12313943
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-19 00:00:00.000000,0.02349094,0.03906760,0.09422499,16,28,68,4,8,21,0.00579631,0.01173097,0.02933612,0.54260548,0.78834882,1.11325852
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-20 00:00:00.000000,0.02590642,0.04280745,0.10409659,18,30,75,4,9,23,0.00672217,0.01278815,0.03289582,0.54172358,0.78417418,1.13811324
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-21 00:00:00.000000,0.02805131,0.04611992,0.11665842,20,33,84,5,10,26,0.00769396,0.01412173,0.03663975,0.53891963,0.77028180,1.15020876
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-22 00:00:00.000000,0.03036535,0.04876880,0.13377640,21,35,96,6,11,29,0.00869511,0.01535991,0.04059883,0.53432283,0.76663482,1.14256874
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-23 00:00:00.000000,0.03503381,0.05496495,0.14461179,25,39,104,6,11,32,0.00945141,0.01659056,0.04479878,0.51548429,0.77318669,1.11624765
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-24 00:00:00.000000,0.03860415,0.06148373,0.14806060,27,44,106,6,13,34,0.00935225,0.01844101,0.04711161,0.49559451,0.76136275,1.08784573
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-25 00:00:00.000000,0.04371540,0.06714960,0.15496865,31,48,111,6,14,35,0.00926504,0.02052088,0.04845849,0.45576362,0.74587680,1.09418093
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-26 00:00:00.000000,0.04808131,0.07565185,0.16597617,34,54,119,7,16,37,0.01024296,0.02254000,0.05240857,0.41320226,0.72504326,1.10661828
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-27 00:00:00.000000,0.04952996,0.08047701,0.17751714,35,58,128,8,17,41,0.01140386,0.02469785,0.05797796,0.37898033,0.72168608,1.09104690
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-28 00:00:00.000000,0.05097680,0.08462128,0.18953975,36,61,136,9,18,45,0.01262378,0.02621989,0.06314964,0.38103578,0.72179630,1.04865684
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-29 00:00:00.000000,0.05246575,0.08882504,0.20198613,37,64,145,10,20,49,0.01389687,0.02840029,0.06790319,0.35702001,0.72046668,1.06792492
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-30 00:00:00.000000,0.05811770,0.09464272,0.22229545,41,68,160,10,22,52,0.01458791,0.03067642,0.07229887,0.35036221,0.72163469,1.12889425
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-03-31 00:00:00.000000,0.06066412,0.09801628,0.24300156,43,70,175,11,23,53,0.01568374,0.03201904,0.07431652,0.34952147,0.72167499,1.11404800
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-01 00:00:00.000000,0.06096209,0.10175147,0.25057927,44,73,181,12,24,55,0.01688525,0.03334130,0.07740089,0.35246859,0.72106523,1.05369660
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-02 00:00:00.000000,0.06571725,0.10664106,0.24735804,47,77,178,13,25,58,0.01915435,0.03471517,0.08121942,0.35817820,0.71704191,0.99131654
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-03 00:00:00.000000,0.07125719,0.11045310,0.24441105,51,79,176,15,26,61,0.02181848,0.03609616,0.08492610,0.34611721,0.68086473,0.99126977
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-04 00:00:00.000000,0.07241627,0.11484173,0.24178334,52,82,174,16,27,64,0.02347954,0.03750206,0.08867907,0.33803319,0.65010197,0.99073609
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-05 00:00:00.000000,0.07199982,0.11812886,0.23950327,52,85,173,17,28,66,0.02396138,0.03896412,0.09252057,0.33773348,0.64822398,0.98893846
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-06 00:00:00.000000,0.07369890,0.12229317,0.23903322,53,88,172,17,29,69,0.02450818,0.04054641,0.09631468,0.33645496,0.64566084,0.98735210
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-07 00:00:00.000000,0.07644320,0.12485556,0.23891253,55,90,172,18,30,72,0.02547797,0.04208989,0.10008027,0.33488789,0.64591484,0.98531031
49045,0,USUtahTooele,Utah,Tooele,2020-08-21 13:20:05.471562,2020-04-08 00:00:00.000000,0.07985828,0.12828980,0.23913275,57,92,172,18,31,75,0.02494252,0.04370305,0.10386641,0.33023348,0.64066798,0.96926064
