FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-09 00:00:00.000000,0.01472112,0.02299351,0.06092911,8,12,33,1,4,16,0.00353749,0.00815774,0.02936647,0.65143228,0.82955624,0.95094237
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-10 00:00:00.000000,0.01387425,0.02394589,0.06546479,7,13,36,3,5,17,0.00690154,0.01082744,0.03183460,0.65118858,0.82927376,0.95093869
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-11 00:00:00.000000,0.01736782,0.02698409,0.06878313,9,14,37,4,6,18,0.00818551,0.01237759,0.03431284,0.65072370,0.82885297,0.95093303
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-12 00:00:00.000000,0.01988854,0.02993034,0.07357521,10,16,40,5,8,20,0.01000987,0.01462979,0.03718174,0.64984464,0.82822813,0.95092427
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-13 00:00:00.000000,0.02282124,0.03404694,0.07845884,12,18,43,6,8,22,0.01133416,0.01624606,0.04101336,0.64820958,0.82730469,0.95091057
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-14 00:00:00.000000,0.02622909,0.03773685,0.08364582,14,20,46,7,10,24,0.01277248,0.01817561,0.04504229,0.64525975,0.82726876,0.95088873
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-15 00:00:00.000000,0.02972622,0.04199089,0.08935463,16,23,49,7,11,27,0.01338441,0.02033804,0.04942773,0.64021951,0.82724571,0.95085275
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-16 00:00:00.000000,0.03230289,0.04638600,0.09524439,17,25,52,7,12,29,0.01451386,0.02224938,0.05415316,0.63227586,0.82713187,0.95079028
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-17 00:00:00.000000,0.03484460,0.05064578,0.10126303,19,27,55,8,13,32,0.01510564,0.02466936,0.05925337,0.61654058,0.81806795,0.95067330
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-18 00:00:00.000000,0.03789033,0.05509367,0.10733101,20,30,59,8,14,35,0.01566805,0.02650789,0.06373094,0.60289123,0.81481374,0.95043274
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-19 00:00:00.000000,0.03910348,0.05907608,0.11332552,21,32,62,8,15,36,0.01620230,0.02834113,0.06712464,0.58846523,0.80303295,0.94772290
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-20 00:00:00.000000,0.04019356,0.06231173,0.12141618,22,34,66,9,16,38,0.01664553,0.03003555,0.07016421,0.56532513,0.77879214,0.94591765
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-21 00:00:00.000000,0.04097168,0.06617052,0.12868175,22,36,70,9,17,38,0.01651320,0.03118146,0.06984128,0.51716272,0.73146243,0.94281774
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-22 00:00:00.000000,0.04113674,0.06924312,0.12911607,22,38,71,9,18,40,0.01687816,0.03286370,0.07438079,0.42342644,0.70059558,0.93350089
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-23 00:00:00.000000,0.04078583,0.07082228,0.13297839,22,38,73,9,18,43,0.01713155,0.03412182,0.07883147,0.37743744,0.67599289,0.89577893
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-24 00:00:00.000000,0.04017227,0.07208717,0.13292346,22,39,73,9,19,44,0.01688023,0.03486348,0.08069305,0.37544405,0.66517928,0.80897927
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-25 00:00:00.000000,0.03960366,0.07104045,0.12913131,21,39,71,9,19,41,0.01666954,0.03466203,0.07545058,0.36814610,0.63278043,0.72933991
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-26 00:00:00.000000,0.03910323,0.06779067,0.12832596,21,37,70,9,18,38,0.01647952,0.03363235,0.07065900,0.36660804,0.59687524,0.71055859
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-27 00:00:00.000000,0.03856708,0.06602004,0.12658265,21,36,69,8,18,36,0.01628353,0.03333356,0.06635104,0.36602432,0.58056555,0.70795400
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-28 00:00:00.000000,0.03785524,0.06350861,0.12446469,20,34,68,8,17,35,0.01603139,0.03157789,0.06511831,0.36283005,0.56320145,0.70046062
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-29 00:00:00.000000,0.03681824,0.06184266,0.12230388,20,34,67,8,16,35,0.01565267,0.03053965,0.06439990,0.35867662,0.53853436,0.68203630
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-30 00:00:00.000000,0.03542724,0.05952234,0.12022516,19,32,66,8,16,35,0.01509421,0.03028531,0.06359859,0.34260483,0.53496416,0.67733090
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-03-31 00:00:00.000000,0.03383479,0.05718865,0.11825463,18,31,65,8,16,33,0.01453470,0.02942215,0.06159127,0.32928750,0.53387260,0.66211592
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-01 00:00:00.000000,0.03228046,0.05575744,0.11638871,17,30,64,7,15,33,0.01409367,0.02826091,0.05997500,0.32337741,0.53185857,0.65569332
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-02 00:00:00.000000,0.03095966,0.05348247,0.11405677,17,29,62,7,14,32,0.01368596,0.02679125,0.05865694,0.31792124,0.52820444,0.65525622
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-03 00:00:00.000000,0.02997190,0.05238856,0.11143864,16,28,61,7,14,31,0.01333676,0.02594789,0.05735663,0.30836401,0.51984460,0.65502246
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-04 00:00:00.000000,0.02936072,0.05024023,0.10864494,16,27,59,7,13,30,0.01305370,0.02467881,0.05605185,0.30608510,0.51952000,0.65602081
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-05 00:00:00.000000,0.02846363,0.04744449,0.10555115,15,26,58,7,13,30,0.01283440,0.02372486,0.05467970,0.30120009,0.52331327,0.66261697
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-06 00:00:00.000000,0.02710292,0.04469418,0.10228287,14,24,56,6,12,29,0.01266111,0.02291187,0.05318105,0.29064535,0.52631107,0.65410850
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-07 00:00:00.000000,0.02578211,0.04326644,0.09901265,14,23,54,6,12,28,0.01204103,0.02192975,0.05233744,0.28560199,0.53504496,0.66440835
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-08 00:00:00.000000,0.02474938,0.04214792,0.09580596,13,23,52,6,11,28,0.01144209,0.02118603,0.05189999,0.28289612,0.54160964,0.67558266
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-09 00:00:00.000000,0.02442890,0.04177896,0.09238922,13,23,50,6,11,28,0.01094297,0.02055349,0.05187262,0.28175683,0.53706076,0.67524328
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-10 00:00:00.000000,0.02352046,0.04210489,0.09243760,12,23,50,5,11,28,0.01051219,0.02000606,0.05146988,0.28094976,0.53645989,0.70989447
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-11 00:00:00.000000,0.02273142,0.04252013,0.09317912,12,23,51,5,10,28,0.01038198,0.01984551,0.05202388,0.28225901,0.52495647,0.72970173
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-12 00:00:00.000000,0.02203394,0.04300599,0.09324072,12,23,51,5,11,28,0.01047363,0.02043515,0.05228220,0.28279434,0.52730475,0.73690462
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-13 00:00:00.000000,0.02142159,0.04391731,0.09255112,11,24,50,5,11,28,0.01050757,0.02079296,0.05210666,0.26736425,0.52022407,0.73710836
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-14 00:00:00.000000,0.02089428,0.04423530,0.09158611,11,24,50,5,11,28,0.01031442,0.02132794,0.05149653,0.25443933,0.51263370,0.74621775
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-15 00:00:00.000000,0.02101620,0.04492622,0.09293847,11,24,51,5,12,27,0.01015621,0.02182001,0.05039703,0.24722772,0.50785761,0.74205127
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-16 00:00:00.000000,0.02111088,0.04581910,0.09412890,11,25,51,5,12,27,0.01002616,0.02212573,0.04915661,0.24347285,0.48830810,0.73231758
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-17 00:00:00.000000,0.02117257,0.04610676,0.09505432,11,25,52,5,12,26,0.00991850,0.02230405,0.04884956,0.24146024,0.47188514,0.70997866
50027,0,USVermontWindsor,Vermont,Windsor,2020-08-08 08:41:04.274150,2020-04-18 00:00:00.000000,0.02118972,0.04563471,0.09432746,11,25,51,5,12,26,0.00982765,0.02219265,0.04844093,0.23986904,0.46752204,0.68459721
