FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-09 00:00:00.000000,0.00926199,0.02572851,0.06173597,3,8,20,0,3,9,0.00177023,0.00958940,0.02780880,0.42128594,0.57500101,0.77688577
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-10 00:00:00.000000,0.00885501,0.02617265,0.05971051,2,8,19,1,5,11,0.00508193,0.01503285,0.03376842,0.42128505,0.57491480,0.77688455
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-11 00:00:00.000000,0.01217761,0.03245854,0.06734279,4,10,22,2,5,12,0.00696331,0.01793529,0.03839417,0.42128313,0.57477917,0.77688145
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-12 00:00:00.000000,0.01419438,0.03967054,0.07894732,4,13,26,2,7,15,0.00851628,0.02159602,0.04512112,0.42127865,0.57456694,0.77687355
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-13 00:00:00.000000,0.01616244,0.04482215,0.08587818,5,14,28,3,8,17,0.00983060,0.02485062,0.05212643,0.42126730,0.57423768,0.77685340
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-14 00:00:00.000000,0.01821233,0.04817743,0.10065132,6,16,33,3,9,19,0.01118140,0.02811693,0.05943566,0.42123602,0.57373382,0.77680212
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-15 00:00:00.000000,0.02044669,0.05402894,0.11729580,6,18,39,4,10,22,0.01257032,0.03092418,0.06803340,0.42114367,0.57237198,0.77513788
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-16 00:00:00.000000,0.02403804,0.05813866,0.12556123,8,19,41,4,11,25,0.01395668,0.03432736,0.07653490,0.42085706,0.57096514,0.77512521
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-17 00:00:00.000000,0.03010458,0.06273887,0.13768777,10,20,46,5,12,28,0.01673556,0.03754282,0.08494411,0.41994230,0.56642946,0.77508622
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-18 00:00:00.000000,0.03352192,0.07003756,0.14601497,11,23,48,6,13,30,0.01904001,0.04086545,0.09120062,0.41701829,0.56268832,0.77350495
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-19 00:00:00.000000,0.03511618,0.07509275,0.15472978,11,25,51,7,14,32,0.02156247,0.04346643,0.09660606,0.40776174,0.54904993,0.76947112
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-20 00:00:00.000000,0.03874521,0.08210751,0.16264633,12,27,54,8,15,34,0.02414974,0.04681592,0.10208529,0.38450002,0.53254784,0.76258251
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-21 00:00:00.000000,0.04143482,0.08901201,0.16980996,13,29,56,8,17,35,0.02491030,0.05267951,0.10706527,0.35491662,0.51885989,0.76430900
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-22 00:00:00.000000,0.04137842,0.09286227,0.17580430,13,31,58,8,18,37,0.02497655,0.05574635,0.11140940,0.33128323,0.51164613,0.74701733
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-23 00:00:00.000000,0.04963178,0.09439175,0.18626334,16,31,62,8,19,38,0.02480486,0.05743388,0.11493416,0.30433145,0.50332550,0.73976720
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-24 00:00:00.000000,0.05371571,0.10000360,0.19288163,17,33,64,11,19,43,0.03324700,0.05885060,0.12904736,0.29900159,0.49787605,0.74129027
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-25 00:00:00.000000,0.05079267,0.11017031,0.22023730,16,36,73,10,20,45,0.03104637,0.06282858,0.13480767,0.29800707,0.49142106,0.72163835
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-26 00:00:00.000000,0.04486788,0.11149834,0.25644114,14,37,85,9,21,50,0.02736339,0.06507627,0.15025633,0.29772432,0.48110681,0.67383435
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-27 00:00:00.000000,0.04306065,0.11611542,0.27899862,14,38,93,8,22,58,0.02421562,0.06839566,0.17493961,0.29759221,0.47081161,0.63392137
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-28 00:00:00.000000,0.04300572,0.11871402,0.30128268,14,39,100,7,24,62,0.02392666,0.07222309,0.18591861,0.29749804,0.46568923,0.62308965
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-29 00:00:00.000000,0.04449715,0.12149417,0.32270660,14,40,107,8,25,68,0.02428392,0.07490761,0.20422801,0.28633630,0.45652392,0.61632131
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-30 00:00:00.000000,0.05639936,0.12776152,0.33111767,18,42,110,8,25,72,0.02461396,0.07691815,0.21840448,0.27450308,0.45029005,0.60946574
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-03-31 00:00:00.000000,0.06687229,0.13276405,0.33833746,22,44,113,12,26,71,0.03648567,0.07923188,0.21415750,0.27119345,0.43730379,0.59693249
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-01 00:00:00.000000,0.07040745,0.14040268,0.34184078,23,46,114,13,28,71,0.04103883,0.08464768,0.21271684,0.27037570,0.42308050,0.58601392
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-02 00:00:00.000000,0.07030009,0.14402347,0.33837046,23,48,113,13,29,70,0.04080536,0.08838591,0.20978523,0.27013898,0.40628675,0.57773771
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-03 00:00:00.000000,0.06967964,0.15202919,0.33360421,23,50,111,13,30,69,0.04042066,0.09192149,0.20793562,0.26997589,0.38915553,0.55060659
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-04 00:00:00.000000,0.06916622,0.15743616,0.33919026,23,52,113,13,32,71,0.04009755,0.09712058,0.21350318,0.26570601,0.37434762,0.54947209
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-05 00:00:00.000000,0.06878654,0.16039819,0.35095210,22,53,117,13,33,75,0.03982609,0.09908893,0.22466581,0.26172486,0.36236012,0.55155439
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-06 00:00:00.000000,0.06648615,0.15676477,0.36530838,22,52,122,13,33,75,0.03959846,0.09925553,0.22468373,0.25897693,0.35496853,0.53397438
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-07 00:00:00.000000,0.07034006,0.15336133,0.37320772,23,51,124,11,31,76,0.03568605,0.09566140,0.23011856,0.25743507,0.34670852,0.53400261
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-08 00:00:00.000000,0.06937931,0.14340330,0.35227553,23,47,117,12,30,74,0.03819364,0.09174466,0.22274323,0.25666175,0.34152535,0.50017168
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-09 00:00:00.000000,0.06788040,0.13675475,0.32015636,22,45,106,13,29,70,0.04037063,0.08727749,0.21023139,0.25432448,0.33554458,0.49240721
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-10 00:00:00.000000,0.06583006,0.13014276,0.28942619,21,43,96,12,28,68,0.03799285,0.08495003,0.20594433,0.24171863,0.33129347,0.48935570
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-11 00:00:00.000000,0.05940978,0.12786346,0.28533863,19,42,95,11,28,67,0.03487769,0.08445530,0.20088098,0.21512528,0.32168548,0.47638090
51023,0,USVirginiaBotetourt,Virginia,Botetourt,2020-08-31 14:23:30.469992,2020-04-12 00:00:00.000000,0.05412504,0.12841796,0.29478469,18,42,98,11,27,65,0.03304761,0.08187918,0.19499816,0.20739943,0.31260065,0.47001112
