FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-09 00:00:00.000000,0.00450892,0.01761099,0.06910034,0,3,11,0,1,4,0.00177276,0.00840460,0.02876155,0.46084978,0.65210650,0.87655781
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-10 00:00:00.000000,0.00406619,0.01959611,0.07292920,0,3,12,0,1,5,0.00229346,0.00976785,0.03146581,0.46084897,0.65210892,0.87655779
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-11 00:00:00.000000,0.00471598,0.02290044,0.07759086,0,3,13,0,1,6,0.00279011,0.01113747,0.03568959,0.46084673,0.65211217,0.87655774
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-12 00:00:00.000000,0.00548660,0.02591855,0.08344197,0,4,14,0,2,7,0.00330198,0.01256284,0.04119234,0.46084068,0.65211650,0.87655764
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-13 00:00:00.000000,0.00637243,0.02882983,0.09070561,1,4,15,0,2,8,0.00387306,0.01416555,0.04788889,0.46082434,0.65212203,0.87655743
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-14 00:00:00.000000,0.00739510,0.03252373,0.10055937,1,5,17,0,2,9,0.00452985,0.01674203,0.05579449,0.46078047,0.65212837,0.87655694
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-15 00:00:00.000000,0.00857967,0.03625655,0.11637377,1,6,19,0,3,11,0.00529301,0.01943536,0.06499279,0.46066326,0.65213284,0.87655562
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-16 00:00:00.000000,0.01952651,0.05219332,0.14659782,3,8,25,1,3,12,0.00618280,0.02213794,0.07518263,0.46035353,0.65212375,0.87655162
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-17 00:00:00.000000,0.02505468,0.06715909,0.18509856,4,11,31,1,4,14,0.01073393,0.02863257,0.08670735,0.45955631,0.65204874,0.87653182
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-18 00:00:00.000000,0.03069906,0.08433156,0.22651786,5,14,38,2,6,17,0.01370590,0.03703422,0.09968950,0.45763318,0.64687861,0.87612431
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-19 00:00:00.000000,0.03722052,0.10213550,0.27158368,6,17,46,2,7,19,0.01740988,0.04643412,0.11511116,0.45353027,0.64193421,0.85185572
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-20 00:00:00.000000,0.04475830,0.12170371,0.32095316,7,20,55,3,9,22,0.02157552,0.05712564,0.13308884,0.42766569,0.62267877,0.84436713
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-21 00:00:00.000000,0.05349362,0.13966182,0.37525207,9,23,64,4,12,26,0.02679654,0.07024934,0.15427794,0.42399948,0.61084600,0.84099484
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-22 00:00:00.000000,0.06347336,0.16535825,0.44267621,10,28,75,5,14,30,0.03235766,0.08327337,0.17952612,0.40244271,0.59590627,0.84994848
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-23 00:00:00.000000,0.08091637,0.19328102,0.49736664,13,33,85,6,16,35,0.03829246,0.09613690,0.20645320,0.39423026,0.58644041,0.85157907
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-24 00:00:00.000000,0.09048388,0.22928791,0.56060559,15,39,96,8,19,40,0.04729612,0.11359562,0.23755910,0.36692309,0.57214965,0.85287923
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-25 00:00:00.000000,0.10067949,0.27233984,0.63378017,17,46,108,9,23,47,0.05765530,0.13502205,0.27691063,0.34171000,0.57494059,0.85322587
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-26 00:00:00.000000,0.11185085,0.32303043,0.71706871,19,55,122,11,26,54,0.06975692,0.15314638,0.31935824,0.32911779,0.57492882,0.85233597
51029,0,USVirginiaBuckingham,Virginia,Buckingham,2020-08-31 16:11:21.480230,2020-03-27 00:00:00.000000,0.12967051,0.37409501,0.83377077,22,64,142,14,29,62,0.08356205,0.17442016,0.36681365,0.32346203,0.59250113,0.84945900
