FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-09 00:00:00.000000,0.00462438,0.02116450,0.07552171,1,6,23,0,2,13,0.00230753,0.00719142,0.04345220,0.44676353,0.69467529,0.98698308
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-10 00:00:00.000000,0.00529281,0.01978658,0.09311511,1,6,28,0,2,16,0.00243265,0.00793183,0.05325414,0.44676343,0.69467346,0.98698416
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-11 00:00:00.000000,0.00598332,0.02067195,0.11490308,1,6,35,0,2,20,0.00262354,0.00863859,0.06549116,0.44676324,0.69466852,0.98698696
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-12 00:00:00.000000,0.00667945,0.02185346,0.14149737,2,6,43,0,2,25,0.00285706,0.00933007,0.08290691,0.44676287,0.69465514,0.98699429
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-13 00:00:00.000000,0.00706590,0.02330573,0.17282520,2,7,53,0,3,31,0.00316000,0.01022849,0.10242314,0.44676211,0.69461892,0.98701369
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-14 00:00:00.000000,0.00678596,0.02484719,0.20640347,2,7,63,1,3,38,0.00353695,0.01128152,0.12614095,0.44676037,0.69452099,0.98706553
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-15 00:00:00.000000,0.00718237,0.02652017,0.25741372,2,8,79,1,3,47,0.00342876,0.01213839,0.15474835,0.44675497,0.69425687,0.98720511
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-16 00:00:00.000000,0.00811880,0.02847328,0.31960512,2,8,98,1,3,58,0.00346716,0.01290492,0.18942832,0.44673057,0.69354994,0.98758236
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-17 00:00:00.000000,0.00922533,0.03024513,0.39017508,2,9,119,1,4,71,0.00388804,0.01386058,0.23150761,0.44658794,0.68360623,0.98859837
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-18 00:00:00.000000,0.01052088,0.03234503,0.47357384,3,9,145,1,4,86,0.00435688,0.01500285,0.28240878,0.44567911,0.68208420,0.99127612
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-19 00:00:00.000000,0.01203723,0.03415843,0.56894289,3,10,174,1,4,105,0.00487676,0.01623793,0.34219956,0.44221490,0.67041014,0.99787998
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-20 00:00:00.000000,0.01379789,0.03664614,0.67363015,4,11,206,1,5,125,0.00545649,0.01756801,0.40856529,0.43807131,0.66261656,1.01171465
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-21 00:00:00.000000,0.01581772,0.03968514,0.79017823,4,12,242,1,5,149,0.00578202,0.01882731,0.48753589,0.42858505,0.66295974,1.03301794
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-22 00:00:00.000000,0.01655746,0.04299346,0.92423219,5,13,283,1,6,178,0.00601122,0.01964858,0.58155143,0.40687188,0.66365660,1.07515982
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-23 00:00:00.000000,0.01726808,0.04719635,1.08035699,5,14,331,1,6,210,0.00626193,0.02095163,0.68531709,0.40054751,0.66184530,1.17979812
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-24 00:00:00.000000,0.01802034,0.05085522,1.26261818,5,15,387,2,6,246,0.00653054,0.02265650,0.80240860,0.37923583,0.65602204,1.23547819
51033,0,USVirginiaCaroline,Virginia,Caroline,2020-08-08 09:10:31.777971,2020-03-25 00:00:00.000000,0.01881191,0.05416997,1.50940684,5,16,463,2,7,288,0.00681491,0.02451823,0.93841434,0.37769546,0.64596926,1.23492814
