FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-09 00:00:00.000000,0.00524964,0.02087866,0.06000352,1,6,17,0,2,7,0.00189753,0.00759134,0.02707637,0.42621636,0.64169209,0.92685909
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-10 00:00:00.000000,0.00439448,0.01784152,0.06185276,1,5,17,0,1,7,0.00165400,0.00681538,0.02698436,0.42621386,0.64164714,0.92721902
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-11 00:00:00.000000,0.00460675,0.01855631,0.06654629,1,5,19,0,2,7,0.00172783,0.00701745,0.02694045,0.42620809,0.64154863,0.92779553
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-12 00:00:00.000000,0.00495805,0.01898834,0.07161482,1,5,20,0,2,7,0.00179149,0.00708698,0.02680198,0.42619480,0.64133313,0.92871578
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-13 00:00:00.000000,0.00535623,0.02021763,0.07695376,1,5,22,0,2,7,0.00173407,0.00698384,0.02667503,0.42616424,0.64086332,0.93017667
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-14 00:00:00.000000,0.00549747,0.02150303,0.08251825,1,6,23,0,2,7,0.00169721,0.00729867,0.02654169,0.42609402,0.63984699,0.93247568
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-15 00:00:00.000000,0.00556231,0.02037639,0.08829472,1,5,25,0,2,7,0.00190847,0.00713609,0.02669988,0.42593319,0.63768458,0.93604439
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-16 00:00:00.000000,0.01076255,0.02914335,0.09854413,3,8,28,0,2,8,0.00213944,0.00700621,0.02925746,0.42556749,0.63698049,0.94146694
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-17 00:00:00.000000,0.01135497,0.03623768,0.11304239,3,10,32,0,2,9,0.00296152,0.00957154,0.03433282,0.42474948,0.63720421,0.94944012
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-18 00:00:00.000000,0.01379170,0.04262352,0.13141658,4,12,38,1,3,11,0.00401299,0.01159445,0.03992757,0.42298494,0.63910267,0.96059216
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-19 00:00:00.000000,0.01532763,0.04969626,0.15120297,4,14,43,1,3,14,0.00436825,0.01365929,0.04906452,0.42021274,0.64194372,0.97504337
51630,0,USVirginiaFredericksburg,Virginia,Fredericksburg,2020-09-22 06:52:04.391516,2020-03-20 00:00:00.000000,0.01679683,0.05674184,0.17204944,4,16,49,1,4,17,0.00471002,0.01669044,0.05952375,0.41271073,0.64142779,0.95956978
