FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-09 00:00:00.000000,0.00089407,0.00661155,0.01721639,1,8,23,0,3,11,0.00030436,0.00277944,0.00847987,0.51319243,0.73129496,1.02185183
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-10 00:00:00.000000,0.00071897,0.00626288,0.01600179,0,8,21,0,4,11,0.00039779,0.00299564,0.00872180,0.51323867,0.73129424,1.02184896
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-11 00:00:00.000000,0.00080873,0.00658410,0.01705611,1,8,22,0,4,12,0.00045716,0.00329840,0.00932585,0.51332260,0.73129227,1.02184205
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-12 00:00:00.000000,0.00090656,0.00715084,0.01944196,1,9,26,0,4,15,0.00052531,0.00356214,0.01136588,0.51347442,0.73128688,1.02182540
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-13 00:00:00.000000,0.00102368,0.00772010,0.02211872,1,10,29,0,5,17,0.00059833,0.00374871,0.01303900,0.51374777,0.73127217,1.02178530
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-14 00:00:00.000000,0.00115808,0.00824938,0.02508428,1,11,33,0,5,19,0.00067985,0.00396890,0.01434502,0.51423677,0.73123198,1.02168875
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-15 00:00:00.000000,0.00131151,0.00898224,0.02817681,1,12,37,1,5,21,0.00077143,0.00423962,0.01578303,0.51511561,0.73112238,1.02117997
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-16 00:00:00.000000,0.00271476,0.01232187,0.03299692,3,16,44,1,6,23,0.00086964,0.00451049,0.01735900,0.51684409,0.72646667,1.01943111
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-17 00:00:00.000000,0.00326642,0.01539560,0.03844674,4,20,51,2,8,29,0.00153612,0.00659738,0.02171898,0.51980454,0.72197096,1.01682053
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-18 00:00:00.000000,0.00436976,0.01960891,0.04649752,5,26,62,2,10,34,0.00173508,0.00796092,0.02599709,0.52462457,0.72165538,1.01249599
51650,0,USVirginiaHampton,Virginia,Hampton,2020-09-16 21:59:16.648253,2020-03-19 00:00:00.000000,0.00569479,0.02317071,0.05589546,7,31,75,3,12,40,0.00244436,0.00958773,0.03023669,0.53185871,0.71614034,0.98650310
