FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-09 00:00:00.000000,0.00618422,0.03460881,0.09887826,1,9,26,0,2,10,0.00096721,0.00759736,0.04042636,0.53766106,0.71536866,0.98170601
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-10 00:00:00.000000,0.00332241,0.02188945,0.07820769,0,5,20,0,2,7,0.00155135,0.00796007,0.02819410,0.53800479,0.71529172,0.98170604
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-11 00:00:00.000000,0.00288079,0.01792329,0.05842472,0,4,15,0,1,5,0.00070554,0.00513956,0.02129316,0.53846427,0.71516756,0.98170622
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-12 00:00:00.000000,0.00191141,0.01220867,0.04593177,0,3,12,0,1,4,0.00072170,0.00447643,0.01664617,0.53907516,0.71496762,0.98170702
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-13 00:00:00.000000,0.00154096,0.00916805,0.03513463,0,2,9,0,0,3,0.00041118,0.00305163,0.01370439,0.53988180,0.71464670,0.98171008
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-14 00:00:00.000000,0.00099920,0.00717212,0.02791477,0,1,7,0,0,2,0.00036166,0.00282851,0.01042125,0.54093822,0.71428070,0.98172110
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-15 00:00:00.000000,0.00073201,0.00595648,0.02293265,0,1,6,0,0,2,0.00021198,0.00211593,0.00822590,0.54231050,0.71425579,0.98175951
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-16 00:00:00.000000,0.00320801,0.00842571,0.03052191,0,2,8,0,0,1,0.00018404,0.00168980,0.00664824,0.54408739,0.71414248,0.98189036
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-17 00:00:00.000000,0.00477514,0.01204781,0.02787656,1,3,7,0,1,2,0.00156332,0.00436793,0.01067289,0.54642359,0.71324955,0.98232897
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-18 00:00:00.000000,0.00656898,0.01624981,0.03549662,1,4,9,0,1,2,0.00189005,0.00501060,0.01109857,0.56515412,0.70483033,0.98377383
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-19 00:00:00.000000,0.00721257,0.01811670,0.04153156,1,4,11,0,1,3,0.00245283,0.00588383,0.01341484,0.58564204,0.70490969,0.98874561
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-20 00:00:00.000000,0.00796600,0.02032086,0.04678343,2,5,12,0,1,3,0.00257186,0.00636617,0.01408046,0.55568373,0.70786547,1.00393432
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-21 00:00:00.000000,0.00837537,0.02113625,0.05058640,2,5,13,0,1,4,0.00276055,0.00693444,0.01552256,0.55883211,0.70573908,1.03468397
51099,0,USVirginiaKingGeorge,Virginia,King George,2020-09-09 04:51:35.732743,2020-03-22 00:00:00.000000,0.00879868,0.02201149,0.05329960,2,5,14,0,1,4,0.00285923,0.00727654,0.01623849,0.52301473,0.70688524,1.07118111
