FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-09 00:00:00.000000,0.00117334,0.00291202,0.00834415,4,12,34,0,4,13,0.00015073,0.00098665,0.00327812,0.53553817,0.80011285,1.00450628
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-10 00:00:00.000000,0.00118435,0.00354951,0.01019029,4,14,42,1,6,15,0.00035787,0.00145457,0.00375250,0.53552970,0.80009527,1.00445426
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-11 00:00:00.000000,0.00166801,0.00444858,0.01181230,6,18,48,2,8,18,0.00058623,0.00194416,0.00444678,0.53551564,0.80005925,1.00433889
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-12 00:00:00.000000,0.00204473,0.00547280,0.01350067,8,22,55,3,10,22,0.00082676,0.00256305,0.00543305,0.53549304,0.79998590,1.00408325
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-13 00:00:00.000000,0.00245452,0.00667074,0.01536870,10,27,63,4,13,25,0.00108429,0.00326105,0.00626560,0.53545918,0.79983748,1.00351795
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-14 00:00:00.000000,0.00284519,0.00807569,0.01743754,11,33,72,5,16,31,0.00135343,0.00407015,0.00762327,0.53541727,0.79953924,1.00227340
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-15 00:00:00.000000,0.00334157,0.00960106,0.01972928,13,39,81,6,20,37,0.00159072,0.00499050,0.00917959,0.53539867,0.79894581,0.99955961
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-16 00:00:00.000000,0.00524971,0.01123985,0.02218070,21,46,91,7,24,45,0.00181035,0.00588630,0.01095373,0.53554177,0.79778401,0.99376409
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-17 00:00:00.000000,0.00697294,0.01328405,0.02491084,28,54,103,10,28,54,0.00257033,0.00699074,0.01308064,0.53635039,0.79557347,0.99090696
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-18 00:00:00.000000,0.00837510,0.01579563,0.02795886,34,65,115,13,34,64,0.00320015,0.00834761,0.01547788,0.53942607,0.78938602,0.98981396
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-19 00:00:00.000000,0.00985250,0.01856838,0.03141600,40,76,129,16,40,75,0.00391084,0.00969022,0.01820777,0.54574548,0.79746045,0.98619841
51107,0,USVirginiaLoudoun,Virginia,Loudoun,2020-09-16 22:10:24.965232,2020-03-20 00:00:00.000000,0.01198637,0.02156821,0.03624067,49,89,149,19,47,87,0.00470130,0.01137910,0.02127310,0.54431080,0.81443537,0.97730641
