FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-09 00:00:00.000000,0.01597022,0.04936844,0.11334601,2,7,16,0,3,10,0.00583488,0.02090530,0.06945080,0.42917924,0.57736045,0.74336985
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-10 00:00:00.000000,0.01360650,0.04051824,0.10085404,2,6,15,1,3,8,0.00768593,0.02273222,0.05459992,0.42916732,0.57725323,0.74335989
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-11 00:00:00.000000,0.01198597,0.04085364,0.09085466,1,6,13,0,3,7,0.00646357,0.02027814,0.05092683,0.42914339,0.57707564,0.74334062
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-12 00:00:00.000000,0.01095502,0.03598334,0.08496493,1,5,12,0,2,7,0.00603686,0.01881169,0.04875376,0.42909540,0.57678232,0.74330334
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-13 00:00:00.000000,0.01034642,0.03375923,0.08073586,1,5,12,0,2,6,0.00508682,0.01779891,0.04620559,0.42899914,0.57630132,0.74323111
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-14 00:00:00.000000,0.00954609,0.03237029,0.07665038,1,4,11,0,2,6,0.00428810,0.01680860,0.04388471,0.42880625,0.57552251,0.74309086
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-15 00:00:00.000000,0.00804134,0.03116682,0.07794452,1,4,11,0,2,6,0.00361187,0.01643567,0.04239964,0.42842056,0.57419395,0.74281749
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-16 00:00:00.000000,0.01506663,0.03743094,0.08404262,2,5,12,0,2,5,0.00303783,0.01577918,0.03961997,0.42765336,0.57292955,0.74228072
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-17 00:00:00.000000,0.01811401,0.04382677,0.08380362,2,6,12,1,3,6,0.00884811,0.02096891,0.04539772,0.42614401,0.56806981,0.74121216
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-18 00:00:00.000000,0.02190080,0.05191496,0.10178733,3,7,15,1,3,7,0.01040836,0.02436118,0.05205925,0.42324132,0.56028933,0.73903149
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-19 00:00:00.000000,0.02476391,0.06044588,0.11869437,3,9,17,1,4,8,0.01199481,0.02843392,0.05815879,0.41790398,0.54740083,0.73533644
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-20 00:00:00.000000,0.02594738,0.06779679,0.13545736,3,10,20,1,4,10,0.01334108,0.03256033,0.06930918,0.38592705,0.54425931,0.72818187
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-21 00:00:00.000000,0.02591332,0.07416140,0.15663268,3,11,23,1,5,12,0.01309864,0.03665077,0.08095006,0.36122751,0.52046828,0.70053904
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-22 00:00:00.000000,0.02728764,0.07986908,0.17576535,4,11,26,1,5,13,0.01233119,0.04007678,0.09233446,0.35397357,0.50401254,0.67624185
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-23 00:00:00.000000,0.03198194,0.08373070,0.17885628,4,12,26,1,6,14,0.01196012,0.04177652,0.09937144,0.35196823,0.48403668,0.64515230
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-24 00:00:00.000000,0.03640278,0.08933555,0.18996360,5,13,28,2,6,14,0.01612591,0.04434323,0.09820661,0.31310650,0.46954728,0.65489262
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-25 00:00:00.000000,0.04138320,0.09316258,0.19977873,6,13,29,2,7,16,0.01865050,0.04737462,0.10777134,0.29784662,0.45748744,0.63412093
51125,0,USVirginiaNelson,Virginia,Nelson,2020-09-28 22:30:10.812522,2020-03-26 00:00:00.000000,0.04494314,0.09504250,0.20948476,6,14,31,3,7,16,0.02068049,0.04830663,0.11169558,0.29208265,0.45031833,0.60891852
