FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-09 00:00:00.000000,0.01577184,0.07711809,0.26567844,1,9,32,0,2,13,0.00257929,0.02373665,0.11536710,0.46383319,0.59946188,0.81869923
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-10 00:00:00.000000,0.01022979,0.05243304,0.20912183,1,6,25,0,3,8,0.00441246,0.02533573,0.06886469,0.46383267,0.59946024,0.81869807
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-11 00:00:00.000000,0.01060323,0.04925170,0.14541107,1,5,17,0,2,7,0.00260106,0.01805915,0.05959959,0.46383132,0.59945660,0.81869492
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-12 00:00:00.000000,0.00646147,0.03961170,0.11922316,0,4,14,0,1,5,0.00276908,0.01524757,0.04609215,0.46382781,0.59944856,0.81867366
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-13 00:00:00.000000,0.00513765,0.03363479,0.09789494,0,4,11,0,1,4,0.00128351,0.01337806,0.03964233,0.46381868,0.59943077,0.81831250
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-14 00:00:00.000000,0.00300280,0.02892997,0.08213174,0,3,9,0,1,4,0.00120670,0.01180784,0.03720513,0.46379498,0.59939159,0.79441428
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-15 00:00:00.000000,0.00227873,0.02365280,0.08270914,0,2,10,0,1,4,0.00074004,0.00959203,0.03515495,0.46373364,0.59930603,0.78896418
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-16 00:00:00.000000,0.01154264,0.03105077,0.08234555,1,3,9,0,1,4,0.00058037,0.00834861,0.03344405,0.46357631,0.59179376,0.78727279
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-17 00:00:00.000000,0.01652221,0.03612676,0.08959026,1,4,10,0,1,4,0.00604892,0.01432356,0.04026897,0.45893130,0.57999420,0.78136596
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-18 00:00:00.000000,0.01913920,0.04554305,0.10111288,2,5,12,0,2,5,0.00757990,0.01728783,0.04477969,0.43111031,0.57410875,0.77332054
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-19 00:00:00.000000,0.02227075,0.05283066,0.11862521,2,6,14,1,2,5,0.00889377,0.02035440,0.04798629,0.39263569,0.57561734,0.77030290
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-20 00:00:00.000000,0.02473091,0.05688668,0.13531572,2,6,16,1,2,6,0.00968608,0.02170650,0.05582661,0.37377384,0.57203705,0.76208880
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-21 00:00:00.000000,0.02675858,0.05872811,0.15032329,3,7,18,1,2,7,0.01053273,0.02279329,0.06240726,0.37052037,0.54333631,0.74884255
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-22 00:00:00.000000,0.02839026,0.06109631,0.16300374,3,7,19,1,2,8,0.01099646,0.02420365,0.06871064,0.36682379,0.51651500,0.73684641
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-23 00:00:00.000000,0.03537946,0.06780363,0.16078726,4,8,19,1,3,8,0.01125612,0.02540897,0.07379486,0.35521847,0.49455067,0.72603436
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-24 00:00:00.000000,0.03910092,0.07196239,0.16811462,4,8,20,1,3,8,0.01310567,0.02772846,0.07155543,0.32685087,0.48578031,0.71091958
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-25 00:00:00.000000,0.03624260,0.07445472,0.18017823,4,9,21,1,3,9,0.01305263,0.02989244,0.07505687,0.31452953,0.48105423,0.70210858
51133,0,USVirginiaNorthumberland,Virginia,Northumberland,2020-10-01 21:49:24.715564,2020-03-26 00:00:00.000000,0.03585831,0.07760398,0.19407869,4,9,23,1,3,9,0.01299162,0.03250386,0.07750876,0.28973015,0.47227363,0.67994064
