FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-09 00:00:00.000000,0.01198896,0.06439233,0.21333209,1,7,26,0,2,7,0.00337853,0.01748887,0.06263659,0.46555357,0.70721508,0.98036255
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-10 00:00:00.000000,0.01133971,0.05590134,0.17609633,1,6,21,0,1,6,0.00265159,0.01558923,0.05558939,0.46554337,0.70721503,0.98030013
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-11 00:00:00.000000,0.01249917,0.05831543,0.19924428,1,7,24,0,1,6,0.00271323,0.01323473,0.05352807,0.46552622,0.70721476,0.98014462
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-12 00:00:00.000000,0.01278736,0.05834978,0.22299151,1,7,27,0,1,6,0.00265339,0.01122952,0.05181452,0.46549743,0.70721353,0.97975726
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-13 00:00:00.000000,0.01360947,0.06224960,0.24614216,1,7,30,0,1,6,0.00245333,0.01116229,0.05096721,0.46544916,0.70720787,0.97879388
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-14 00:00:00.000000,0.01333372,0.06542322,0.26876811,1,8,32,0,1,6,0.00240517,0.01010143,0.05117667,0.46536849,0.70718215,0.97641026
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-15 00:00:00.000000,0.01252812,0.06572022,0.29091007,1,8,35,0,1,6,0.00226777,0.00924401,0.05049076,0.46523428,0.70706588,0.97059171
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-16 00:00:00.000000,0.01854501,0.08056912,0.34949213,2,9,42,0,1,6,0.00213421,0.00910506,0.04978826,0.46501263,0.70584298,0.96994466
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-17 00:00:00.000000,0.02366358,0.10003310,0.40725909,2,12,49,0,1,6,0.00217761,0.01215419,0.05252621,0.46465088,0.70093104,0.96985373
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-18 00:00:00.000000,0.02836232,0.11766831,0.46459336,3,14,57,0,1,6,0.00233265,0.01515812,0.05574764,0.46407146,0.69023320,0.96926669
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-19 00:00:00.000000,0.03279348,0.13328114,0.52165351,4,16,64,0,1,7,0.00255970,0.01625781,0.05858835,0.44965929,0.67785536,0.96486438
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-20 00:00:00.000000,0.03788743,0.14753629,0.57866489,4,18,71,0,2,7,0.00283497,0.01770015,0.06148604,0.42950726,0.66763676,0.97328631
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-21 00:00:00.000000,0.04333578,0.15915499,0.62495487,5,19,76,0,2,7,0.00314379,0.01977817,0.06483547,0.42625785,0.65150775,0.98676147
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-22 00:00:00.000000,0.04875687,0.17405147,0.66906935,5,21,82,0,2,8,0.00347631,0.02080503,0.06863490,0.42580275,0.63822654,1.00102618
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-23 00:00:00.000000,0.05090933,0.18260431,0.71122168,6,22,87,0,2,8,0.00382609,0.02217610,0.07288576,0.42569231,0.62865371,0.99018942
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-24 00:00:00.000000,0.06013864,0.20853183,0.75244609,7,25,92,0,2,9,0.00411470,0.02328401,0.07810165,0.42554297,0.62445362,0.97730662
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-25 00:00:00.000000,0.06040991,0.22509002,0.79375566,7,27,97,0,3,10,0.00436817,0.02584693,0.08426197,0.40936203,0.61218996,0.97096091
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-26 00:00:00.000000,0.06053612,0.24140174,0.83548656,7,29,102,0,3,11,0.00460153,0.02665874,0.09127541,0.40334263,0.60769702,0.96227484
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-27 00:00:00.000000,0.06053854,0.25651669,0.87863579,7,31,107,0,3,12,0.00482353,0.02804135,0.09916708,0.38212113,0.60450516,0.95617232
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-28 00:00:00.000000,0.06144423,0.26508810,0.95060613,7,32,116,0,3,13,0.00503936,0.02940795,0.10782705,0.36056678,0.60231166,0.95623147
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-29 00:00:00.000000,0.06361363,0.28611459,1.03978575,7,35,127,0,3,13,0.00525212,0.02992928,0.11352141,0.35298520,0.58932732,0.96511587
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-30 00:00:00.000000,0.08095007,0.30121878,1.08406091,9,36,133,0,3,14,0.00546366,0.03184169,0.11925497,0.35056945,0.58470683,0.98139759
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-03-31 00:00:00.000000,0.08168042,0.31761770,1.14865809,10,38,140,0,4,15,0.00615144,0.03315546,0.12501004,0.34991856,0.57776302,0.97281475
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-01 00:00:00.000000,0.08566842,0.32578839,1.20583535,10,39,147,0,4,16,0.00713915,0.03485933,0.13079821,0.33544558,0.56688842,0.96142688
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-02 00:00:00.000000,0.08775999,0.33357461,1.24638947,10,40,152,1,4,16,0.00870960,0.03650974,0.13663362,0.33426346,0.56690934,0.94186410
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-03 00:00:00.000000,0.08880894,0.34060568,1.28790018,10,41,158,1,4,17,0.01031516,0.03760827,0.14252994,0.33206164,0.56302216,0.91010027
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-04 00:00:00.000000,0.08766578,0.34675658,1.33006255,10,42,163,1,4,18,0.01136258,0.03846414,0.14849991,0.32475506,0.55316327,0.88087363
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-05 00:00:00.000000,0.08429194,0.36371755,1.37870479,10,44,169,1,4,18,0.01231622,0.03905507,0.15455531,0.31047361,0.52959119,0.88190107
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-06 00:00:00.000000,0.07540484,0.36220145,1.44256042,9,44,177,1,4,20,0.01364964,0.03875079,0.16417551,0.30670252,0.53268600,0.88513564
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-07 00:00:00.000000,0.06827129,0.35997671,1.51000225,8,44,185,1,4,21,0.01452633,0.03842638,0.17301541,0.30349272,0.52008452,0.89235172
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-08 00:00:00.000000,0.05316097,0.35760645,1.58170692,6,43,194,1,4,22,0.01362239,0.03889270,0.18131875,0.28292270,0.52499903,0.88916500
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-09 00:00:00.000000,0.04329151,0.35517546,1.65752415,5,43,203,1,4,23,0.01225390,0.03794461,0.18931397,0.27188120,0.52806662,0.87903932
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-10 00:00:00.000000,0.03681126,0.35271864,1.73837506,4,43,213,1,4,24,0.01105030,0.03668622,0.19716542,0.26656342,0.52762302,0.86673393
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-11 00:00:00.000000,0.03163333,0.35321277,1.82430220,3,43,223,1,4,25,0.00948312,0.03533661,0.20499397,0.26029146,0.53457849,0.90681351
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-12 00:00:00.000000,0.02736833,0.35495768,1.89686954,3,43,232,0,4,26,0.00784936,0.03445293,0.21288155,0.25834525,0.53860354,0.93641589
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-13 00:00:00.000000,0.02378779,0.35313173,1.93880182,2,43,237,0,4,27,0.00651290,0.03464907,0.22469731,0.25530140,0.53452771,0.94680001
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-14 00:00:00.000000,0.02075053,0.35145416,1.98171360,2,43,243,0,4,29,0.00544773,0.03463815,0.23847776,0.25681155,0.52795147,0.89397728
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-15 00:00:00.000000,0.01818422,0.34987018,2.02568445,2,42,248,0,4,31,0.00462735,0.03455875,0.25267619,0.25634238,0.52158745,0.88272977
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-16 00:00:00.000000,0.01606480,0.34835921,2.07091508,1,42,254,0,4,32,0.00392991,0.03445108,0.26732559,0.25569300,0.52820654,0.88307284
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-17 00:00:00.000000,0.01433979,0.34691569,2.13304696,1,42,261,0,4,34,0.00333775,0.03431133,0.28246216,0.25397645,0.52782381,0.88396315
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-18 00:00:00.000000,0.01289820,0.34552824,2.24586387,1,42,275,0,4,36,0.00283541,0.03353043,0.29812303,0.24974426,0.52658740,0.87730408
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-19 00:00:00.000000,0.01163936,0.34635571,2.35721557,1,42,289,0,3,38,0.00240924,0.03210700,0.31434448,0.24559631,0.52135105,0.85283547
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-20 00:00:00.000000,0.01735387,0.36268483,2.47362012,2,44,303,0,3,40,0.00204736,0.03119250,0.33116204,0.24761899,0.52240582,0.86434212
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-21 00:00:00.000000,0.02051882,0.38164834,2.58726889,2,46,317,0,3,42,0.00555825,0.03169670,0.34880803,0.24914670,0.51174306,0.87012310
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-22 00:00:00.000000,0.02885702,0.39676961,2.69475077,3,48,330,0,4,45,0.00738360,0.03279663,0.36731537,0.24009709,0.50051456,0.86738840
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-23 00:00:00.000000,0.03010508,0.41033506,2.80403239,3,50,344,0,4,47,0.00754899,0.03407162,0.38671783,0.23833459,0.49530910,0.87474993
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-24 00:00:00.000000,0.03329069,0.43224063,2.91607060,4,53,357,0,4,49,0.00773452,0.03540428,0.40704346,0.24096027,0.49325040,0.87657479
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-25 00:00:00.000000,0.03623170,0.45556610,3.03184826,4,55,372,1,4,52,0.00841512,0.03709078,0.42828427,0.24603799,0.49673888,0.90272921
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-26 00:00:00.000000,0.03856206,0.47777998,3.15192932,4,58,386,1,4,55,0.00903852,0.03937795,0.45043282,0.25277954,0.51003805,0.90110692
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-27 00:00:00.000000,0.04847563,0.48814897,3.28576855,5,59,403,1,5,58,0.00953164,0.04099804,0.47351811,0.26032630,0.50767004,0.90578465
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-28 00:00:00.000000,0.05249084,0.49584208,3.42459367,6,60,420,1,5,61,0.01323650,0.04293723,0.49742165,0.25271209,0.49830429,0.90827452
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-29 00:00:00.000000,0.06003229,0.50342893,3.56867292,7,61,437,1,5,64,0.01385717,0.04389015,0.52215425,0.23852391,0.49160310,0.90726056
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-04-30 00:00:00.000000,0.06440674,0.51084410,3.71780656,7,62,456,1,5,67,0.01434385,0.04390569,0.54761067,0.23913341,0.49840625,0.90139017
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-01 00:00:00.000000,0.06425438,0.51817726,3.87066544,7,63,474,1,5,71,0.01480783,0.04410450,0.58620048,0.23959227,0.49510161,0.88855277
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-02 00:00:00.000000,0.06422213,0.52547766,4.02371389,7,64,493,1,5,76,0.01523495,0.04577189,0.62687594,0.23995354,0.50650793,0.86907726
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-03 00:00:00.000000,0.06431939,0.53277222,4.17552564,7,65,512,1,5,82,0.01543371,0.04796797,0.66933164,0.24044299,0.50889781,0.84874648
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-04 00:00:00.000000,0.05895786,0.53150353,4.31340763,7,65,529,1,6,87,0.01556944,0.04988794,0.71322557,0.24169272,0.50626325,0.83397804
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-05 00:00:00.000000,0.05380379,0.53024398,4.45582463,6,65,546,1,6,92,0.01413106,0.05009930,0.75417545,0.24262127,0.51255264,0.82787622
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-06 00:00:00.000000,0.04699564,0.52883854,4.60337606,5,64,564,1,5,97,0.01206703,0.04886836,0.79397066,0.25458920,0.51279577,0.83739357
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-07 00:00:00.000000,0.03651266,0.52839358,4.75623475,4,64,583,1,5,102,0.01067036,0.04788656,0.83373154,0.26745029,0.51140486,0.84372998
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-08 00:00:00.000000,0.03130506,0.52869932,4.91443321,3,64,603,1,5,107,0.00942337,0.04719526,0.87418792,0.27416305,0.50357772,0.84711977
51735,0,USVirginiaPoquoson,Virginia,Poquoson,2020-08-31 13:57:03.503089,2020-05-09 00:00:00.000000,0.02648623,0.52968140,5.07796920,3,64,623,1,5,112,0.00829153,0.04652272,0.91580328,0.27429238,0.50814437,0.86031209
