FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-09 00:00:00.000000,0.00182555,0.02330792,0.15046620,1,21,141,0,4,35,0.00000000,0.00457887,0.03785710,0.49203571,0.72158857,1.02860555
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-10 00:00:00.000000,0.00202896,0.02863899,0.14469477,1,26,136,0,5,24,0.00067305,0.00582282,0.02551046,0.49185033,0.72158908,1.02860524
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-11 00:00:00.000000,0.00225931,0.02517517,0.14284942,2,23,134,0,4,24,0.00049281,0.00521620,0.02555787,0.49178265,0.72159043,1.02860468
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-12 00:00:00.000000,0.00251920,0.03203805,0.14542435,2,30,136,0,5,23,0.00084078,0.00596706,0.02444219,0.49175315,0.72159383,1.02860365
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-13 00:00:00.000000,0.00281171,0.02749452,0.14562426,2,25,137,0,5,24,0.00075904,0.00593623,0.02571619,0.49171202,0.72059169,1.02860175
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-14 00:00:00.000000,0.00314043,0.03389654,0.14886849,2,31,140,0,6,22,0.00105845,0.00665173,0.02429701,0.49165499,0.71983591,1.02859819
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-15 00:00:00.000000,0.00351020,0.03142985,0.15243244,3,29,143,0,6,23,0.00105719,0.00652954,0.02545340,0.49157645,0.71978741,1.02859130
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-16 00:00:00.000000,0.00393296,0.03528326,0.15623391,3,33,147,1,7,25,0.00133315,0.00745955,0.02715301,0.49146930,0.71958751,1.02857722
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-17 00:00:00.000000,0.00441556,0.03569529,0.16049139,4,33,151,1,6,27,0.00118296,0.00738180,0.02893836,0.49132491,0.71697358,1.02854564
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-18 00:00:00.000000,0.00495687,0.03968266,0.16949294,4,37,159,1,7,28,0.00168029,0.00828613,0.03075799,0.49113315,0.71176261,1.02846459
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-19 00:00:00.000000,0.00556088,0.04040220,0.17518282,5,38,164,1,7,30,0.00126988,0.00825539,0.03258065,0.49095644,0.70237954,1.02822279
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-20 00:00:00.000000,0.00622688,0.04309212,0.17891677,5,40,168,1,8,32,0.00211745,0.00933082,0.03405563,0.48490254,0.69028337,1.03061944
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-21 00:00:00.000000,0.00695167,0.04300420,0.18631726,6,40,175,1,8,33,0.00141674,0.00951336,0.03546167,0.47041782,0.67488083,1.04594587
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-22 00:00:00.000000,0.00774257,0.04662164,0.19495195,7,43,183,2,9,35,0.00265693,0.01037799,0.03776957,0.46494541,0.66329813,1.03381223
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-23 00:00:00.000000,0.00861572,0.04682913,0.20382105,8,44,191,1,9,37,0.00150140,0.01052252,0.04027905,0.45553406,0.65344316,1.01324311
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-24 00:00:00.000000,0.00958539,0.04966599,0.21330128,9,46,200,3,10,40,0.00329843,0.01162880,0.04302293,0.45073049,0.64218461,1.00438257
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-25 00:00:00.000000,0.01066194,0.05088366,0.22358132,10,47,210,1,11,42,0.00162052,0.01180540,0.04540939,0.44933933,0.63169239,1.01562195
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-26 00:00:00.000000,0.01184852,0.05449471,0.23441716,11,51,220,3,12,45,0.00408899,0.01298028,0.04779220,0.44342328,0.61635987,0.99376324
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-27 00:00:00.000000,0.01312812,0.05609026,0.24191279,12,52,227,1,12,47,0.00181196,0.01321047,0.05027729,0.43990644,0.60908982,0.98387099
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-28 00:00:00.000000,0.01445889,0.05924716,0.24985305,13,55,235,4,13,49,0.00504937,0.01464023,0.05286922,0.43027222,0.60561861,1.00804461
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-29 00:00:00.000000,0.01583264,0.06185069,0.25830402,14,58,243,1,14,52,0.00208058,0.01497521,0.05580313,0.41271864,0.60191114,1.03159819
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-30 00:00:00.000000,0.01729326,0.06520085,0.26722551,16,61,251,5,15,55,0.00615100,0.01614952,0.05907390,0.40104483,0.60929630,1.03223177
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-03-31 00:00:00.000000,0.01882854,0.06756352,0.27657029,17,63,260,2,15,58,0.00235538,0.01687932,0.06232503,0.39250905,0.61145245,1.03082184
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-01 00:00:00.000000,0.02061967,0.07218170,0.28630578,19,67,269,6,16,61,0.00702417,0.01768992,0.06561124,0.38960140,0.59621024,1.04750937
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-02 00:00:00.000000,0.02152991,0.07418189,0.29641594,20,69,279,2,17,64,0.00262505,0.01846769,0.06897762,0.38852870,0.59219104,1.06393915
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-03 00:00:00.000000,0.02462908,0.08030070,0.30688410,23,75,289,7,18,68,0.00832698,0.01915081,0.07245807,0.37631957,0.57989165,1.08556598
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-04 00:00:00.000000,0.02570251,0.08118218,0.31768682,24,76,299,2,19,71,0.00284447,0.02020492,0.07599468,0.35458035,0.57517478,1.13254213
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-05 00:00:00.000000,0.02925233,0.08906826,0.32948833,27,83,310,8,20,74,0.00938796,0.02136669,0.07915702,0.35263253,0.57356421,1.08840571
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-06 00:00:00.000000,0.02922003,0.09050082,0.34502637,27,85,324,2,21,77,0.00317585,0.02287906,0.08210382,0.34226479,0.56285830,1.08367571
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-07 00:00:00.000000,0.03154951,0.09634107,0.35920337,29,90,338,9,21,80,0.01022710,0.02328887,0.08517585,0.33734373,0.54590462,1.08535483
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-08 00:00:00.000000,0.03139242,0.09575027,0.37172179,29,90,350,3,23,83,0.00343572,0.02479167,0.08835322,0.32839230,0.53763561,1.09355541
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-09 00:00:00.000000,0.03366863,0.10238992,0.38328989,31,96,361,10,24,86,0.01101739,0.02582578,0.09160796,0.31736335,0.53131753,1.10349303
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-10 00:00:00.000000,0.03324932,0.10629873,0.39269503,31,100,369,3,25,89,0.00365889,0.02731445,0.09490617,0.31073342,0.52187078,1.10209238
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-11 00:00:00.000000,0.03749752,0.11623987,0.40482047,35,109,381,10,26,92,0.01149517,0.02852917,0.09816836,0.30222719,0.50443634,1.09636930
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-12 00:00:00.000000,0.03529785,0.11717528,0.41647657,33,110,392,3,27,95,0.00404442,0.02968328,0.10153899,0.29638007,0.49850525,1.07732530
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-13 00:00:00.000000,0.04202022,0.12778276,0.42865084,39,120,403,11,28,99,0.01190841,0.03027059,0.10572512,0.28641957,0.49133787,1.07351400
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-14 00:00:00.000000,0.03680324,0.12947858,0.44135197,34,121,415,4,29,102,0.00446176,0.03168006,0.10873134,0.28366802,0.48106240,1.06623235
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-15 00:00:00.000000,0.04676323,0.13777978,0.45463321,44,129,428,11,29,104,0.01273805,0.03168117,0.11146331,0.28193659,0.47473404,1.06112362
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-16 00:00:00.000000,0.03893010,0.14026423,0.46851558,36,132,441,4,31,107,0.00475543,0.03327084,0.11409345,0.27306960,0.44988728,1.05146428
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-17 00:00:00.000000,0.04687731,0.14841099,0.48252031,44,139,454,12,32,109,0.01332450,0.03436942,0.11669741,0.27781855,0.43865754,1.04387746
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-18 00:00:00.000000,0.03980059,0.15293000,0.49645412,37,144,467,4,33,112,0.00478005,0.03514703,0.11989743,0.26491933,0.43369193,1.03314439
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-19 00:00:00.000000,0.04637318,0.15970412,0.51071623,43,150,481,13,34,116,0.01396488,0.03711891,0.12346628,0.24949966,0.42896259,1.01140806
51161,0,USVirginiaRoanoke,Virginia,Roanoke,2020-07-17 19:02:13.282460,2020-04-20 00:00:00.000000,0.04110152,0.15946087,0.52536980,38,150,494,4,35,119,0.00517551,0.03716921,0.12689684,0.24896459,0.41598035,0.96273663
