FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-09 00:00:00.000000,0.00504555,0.02661362,0.09691179,0,2,10,0,1,5,0.00137171,0.01316316,0.05063573,0.42664055,0.54049421,0.67649989
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-10 00:00:00.000000,0.00390005,0.02474572,0.08520082,0,2,9,0,1,6,0.00248437,0.01472437,0.05568045,0.42624961,0.54044475,0.67649962
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-11 00:00:00.000000,0.00433176,0.02549865,0.09277031,0,2,10,0,1,6,0.00259822,0.01418587,0.05968218,0.42551439,0.54030207,0.67649904
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-12 00:00:00.000000,0.00415315,0.02577754,0.09989894,0,2,11,0,1,7,0.00249535,0.01459295,0.06498497,0.42415426,0.53981502,0.67649780
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-13 00:00:00.000000,0.00398710,0.02617347,0.10684647,0,2,11,0,1,7,0.00239473,0.01552328,0.06761315,0.42171300,0.53889907,0.67649516
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-14 00:00:00.000000,0.00382678,0.02751652,0.10619519,0,3,11,0,1,7,0.00229901,0.01619975,0.06718372,0.41756012,0.53824070,0.67648954
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-15 00:00:00.000000,0.00367322,0.02832530,0.10551550,0,3,11,0,1,7,0.00220675,0.01710441,0.06678371,0.41110152,0.53737054,0.67647767
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-16 00:00:00.000000,0.00956064,0.03764618,0.11441119,1,4,12,0,1,7,0.00211823,0.01773242,0.06636968,0.40931339,0.53667964,0.67645282
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-17 00:00:00.000000,0.01805970,0.04654396,0.13331668,2,5,14,0,2,8,0.00875804,0.02489500,0.07274313,0.39193857,0.53266410,0.67640193
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-18 00:00:00.000000,0.02579871,0.05874301,0.15370761,2,6,17,1,3,9,0.01417926,0.03125713,0.08208205,0.38247751,0.52559176,0.67630198
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-19 00:00:00.000000,0.03300493,0.07106382,0.17436738,3,7,19,2,4,10,0.01849301,0.03889678,0.09471913,0.35553534,0.51996807,0.67598454
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-20 00:00:00.000000,0.04169020,0.08265429,0.19493687,4,9,21,2,5,11,0.02501899,0.04629807,0.10695680,0.33311911,0.50244646,0.66378130
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-21 00:00:00.000000,0.04821124,0.09305812,0.21433342,5,10,23,3,5,13,0.02891521,0.05293259,0.11692752,0.32781541,0.48137953,0.62759972
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-22 00:00:00.000000,0.05443719,0.10117128,0.23208488,6,11,25,3,6,14,0.03116183,0.05974872,0.12685900,0.32573275,0.47233838,0.62608092
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-23 00:00:00.000000,0.06218973,0.11180889,0.24799969,6,12,27,3,7,15,0.03459881,0.06478512,0.14294711,0.32105993,0.46219867,0.61764542
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-24 00:00:00.000000,0.06925887,0.11851527,0.26347329,7,13,29,4,8,17,0.04221905,0.07272526,0.15436266,0.32037512,0.45266164,0.60034404
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-25 00:00:00.000000,0.07869344,0.12944861,0.27979431,8,14,31,5,8,18,0.04523585,0.08046163,0.16639400,0.31105891,0.44446745,0.57985215
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-26 00:00:00.000000,0.08771042,0.14284679,0.29971613,9,15,33,5,9,19,0.04910902,0.08921678,0.17870991,0.30578683,0.42681824,0.54483598
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-27 00:00:00.000000,0.09027117,0.15256464,0.31029541,10,17,34,5,10,21,0.05176500,0.09400696,0.19129802,0.30371915,0.41348716,0.52612368
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-28 00:00:00.000000,0.09264549,0.16432949,0.32735192,10,18,36,5,11,23,0.05319569,0.10073239,0.21174536,0.28605239,0.40056365,0.55607769
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-29 00:00:00.000000,0.09480980,0.17277155,0.34636635,10,19,38,6,11,24,0.05477591,0.10661069,0.21520606,0.27358373,0.39284398,0.59506663
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-30 00:00:00.000000,0.10217156,0.18018084,0.34674309,11,20,38,6,12,24,0.05645635,0.11281909,0.21847645,0.27356859,0.38816260,0.59144980
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-03-31 00:00:00.000000,0.10574397,0.18983362,0.35445890,11,21,39,7,13,25,0.06571866,0.11912590,0.22475706,0.27390453,0.38704261,0.52948411
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-01 00:00:00.000000,0.11194730,0.20475464,0.37950825,12,22,42,7,14,25,0.07017687,0.12632978,0.23010333,0.27470858,0.38237422,0.51474432
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-02 00:00:00.000000,0.12040428,0.21219931,0.40461537,13,23,45,8,14,26,0.07389970,0.13302669,0.24108225,0.27643939,0.38301724,0.51191834
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-03 00:00:00.000000,0.11921003,0.22424065,0.42944196,13,25,47,8,15,27,0.07559305,0.13882488,0.24666867,0.27863366,0.38224146,0.50698136
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-04 00:00:00.000000,0.11752244,0.23158383,0.45325070,13,25,50,8,15,27,0.07684517,0.14329108,0.24883125,0.27482447,0.37985776,0.50102626
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-05 00:00:00.000000,0.11911839,0.23576306,0.47539120,13,26,53,8,16,30,0.07807533,0.14942486,0.27203357,0.26227446,0.37564685,0.49667113
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-06 00:00:00.000000,0.12973032,0.25183914,0.49245808,14,28,54,8,17,31,0.07983200,0.15363668,0.28634824,0.25004299,0.37427872,0.50430713
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-07 00:00:00.000000,0.13324738,0.26175049,0.50832048,14,29,56,9,18,34,0.08208780,0.16268709,0.30750976,0.25216717,0.37650461,0.50499435
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-08 00:00:00.000000,0.14456543,0.27474808,0.52225753,16,30,58,9,19,38,0.08591013,0.17090844,0.34701428,0.25831979,0.37458803,0.50569780
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-09 00:00:00.000000,0.13990919,0.28800841,0.55355224,15,32,61,9,19,40,0.08823021,0.17899931,0.36607677,0.26783851,0.37717971,0.50723498
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-10 00:00:00.000000,0.14269547,0.30140432,0.60456338,15,33,67,9,20,42,0.08812596,0.18583540,0.38238820,0.26097304,0.37878183,0.51724598
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-11 00:00:00.000000,0.13855576,0.30883292,0.65881270,15,34,73,10,21,45,0.08984397,0.19430228,0.40763772,0.24613653,0.37517571,0.50185122
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-12 00:00:00.000000,0.13098063,0.31203932,0.71699990,14,34,80,9,22,48,0.08771207,0.19816976,0.43662468,0.23555236,0.38340907,0.51367296
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-13 00:00:00.000000,0.17174124,0.33259646,0.77455952,19,37,86,9,22,52,0.08306861,0.20049559,0.46934453,0.24799631,0.38143286,0.52168497
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-14 00:00:00.000000,0.18054712,0.35924184,0.83646232,20,40,93,12,24,55,0.10845650,0.21801694,0.49595730,0.24549326,0.37884990,0.52364712
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-15 00:00:00.000000,0.19231763,0.37853031,0.90131863,21,42,100,12,26,58,0.11347497,0.23428798,0.52735999,0.24444013,0.37716484,0.52901086
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-16 00:00:00.000000,0.20043947,0.40831288,0.95136309,22,45,106,13,27,62,0.11823891,0.25084623,0.56027084,0.24455110,0.37495737,0.53463550
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-17 00:00:00.000000,0.20844000,0.41669608,0.97713681,23,46,109,13,29,66,0.12305384,0.26263533,0.59388901,0.26736580,0.38558940,0.53102080
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-18 00:00:00.000000,0.21622428,0.43445446,1.00158007,24,48,111,14,30,69,0.12712240,0.26895017,0.62698231,0.26465998,0.38680381,0.51270941
51183,0,USVirginiaSussex,Virginia,Sussex,2020-10-07 19:08:37.969032,2020-04-19 00:00:00.000000,0.22393385,0.45484971,1.04031191,24,50,116,14,30,73,0.12943926,0.27735982,0.65841821,0.26881956,0.39082764,0.50487120
