FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-09 00:00:00.000000,0.00062116,0.00148703,0.00312293,2,6,14,0,1,5,0.00007752,0.00042572,0.00132634,0.64522914,0.80643553,1.04730081
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-10 00:00:00.000000,0.00091225,0.00213327,0.00484710,4,9,21,1,4,10,0.00033984,0.00090895,0.00227208,0.64528339,0.80643546,1.04645714
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-11 00:00:00.000000,0.00132637,0.00288025,0.00704641,5,12,31,2,6,15,0.00053820,0.00134044,0.00354372,0.64538845,0.80643523,1.04507978
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-12 00:00:00.000000,0.00174498,0.00374043,0.00926146,7,16,41,3,8,22,0.00080616,0.00188330,0.00501778,0.64559165,0.80643451,1.04285098
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-13 00:00:00.000000,0.00215282,0.00480690,0.01148892,9,21,51,4,11,29,0.00107942,0.00251165,0.00647204,0.64598361,0.80643221,1.03929524
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-14 00:00:00.000000,0.00253218,0.00583938,0.01422326,11,26,64,6,14,36,0.00135461,0.00313460,0.00814571,0.64668405,0.80642511,1.03374686
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-15 00:00:00.000000,0.00298099,0.00710652,0.01716684,13,31,77,7,17,46,0.00164183,0.00390063,0.01036585,0.64797811,0.80640488,1.02537036
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-16 00:00:00.000000,0.00415469,0.00868316,0.01927961,18,39,86,8,21,55,0.00193946,0.00481915,0.01232423,0.65040805,0.80315704,1.01328622
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-17 00:00:00.000000,0.00535497,0.01080584,0.02227293,24,48,100,11,27,61,0.00244652,0.00612030,0.01371202,0.65488116,0.80189744,1.00188689
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-18 00:00:00.000000,0.00661149,0.01297882,0.02642519,29,58,118,13,32,72,0.00299577,0.00715318,0.01606923,0.66267951,0.80148935,0.99898066
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-19 00:00:00.000000,0.00769002,0.01543230,0.03204350,34,69,144,16,38,88,0.00363104,0.00862125,0.01965915,0.65193421,0.80120690,1.00099800
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-20 00:00:00.000000,0.00891985,0.01804705,0.03844842,40,81,173,19,45,102,0.00437286,0.01011822,0.02267044,0.63131085,0.80114003,1.00704032
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-21 00:00:00.000000,0.01032934,0.02093858,0.04490622,46,94,202,23,52,113,0.00515285,0.01171378,0.02523165,0.57631387,0.80672891,1.03956167
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-22 00:00:00.000000,0.01193993,0.02415298,0.05006024,53,108,225,26,59,132,0.00587458,0.01322371,0.02954963,0.56436262,0.79828691,1.08644886
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-23 00:00:00.000000,0.01396322,0.02731355,0.05497829,62,122,247,29,68,154,0.00666384,0.01519185,0.03444450,0.56286358,0.78793088,1.09452164
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-24 00:00:00.000000,0.01625057,0.03160041,0.06071548,73,142,273,36,77,177,0.00822205,0.01729383,0.03949664,0.56125461,0.78601021,1.09512801
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-25 00:00:00.000000,0.01893278,0.03650972,0.06843673,85,164,307,42,88,201,0.00950857,0.01969212,0.04488459,0.55579908,0.77923554,1.09095185
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-26 00:00:00.000000,0.02195227,0.04055269,0.07628743,98,182,343,49,100,225,0.01111050,0.02223275,0.05019257,0.53749737,0.77262734,1.01081883
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-27 00:00:00.000000,0.02561537,0.04425852,0.08427149,115,199,379,58,113,251,0.01290531,0.02519144,0.05598095,0.50771089,0.76649358,1.01078884
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-28 00:00:00.000000,0.02934675,0.04921910,0.09262983,132,221,416,66,125,279,0.01482668,0.02788213,0.06203918,0.49596395,0.75861563,1.00985037
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-29 00:00:00.000000,0.03345111,0.05437862,0.10153424,150,244,456,76,139,306,0.01691061,0.03110460,0.06814548,0.49480193,0.73737860,0.96522713
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-30 00:00:00.000000,0.03734335,0.06198749,0.11389898,168,278,512,85,161,336,0.01892617,0.03598130,0.07469295,0.45676086,0.71975225,0.94405573
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-03-31 00:00:00.000000,0.04069913,0.06826244,0.12355289,183,307,555,91,178,368,0.02041046,0.03976872,0.08184554,0.43139887,0.67889204,0.90182644
51810,0,USVirginiaVirginiaBeach,Virginia,Virginia Beach,2020-09-16 22:00:43.323009,2020-04-01 00:00:00.000000,0.04096561,0.07447890,0.13923660,184,335,626,98,194,402,0.02186457,0.04322230,0.08943485,0.41722183,0.65127464,0.85363102
