FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-09 00:00:00.000000,0.02403082,0.06856944,0.63627986,5,15,143,0,2,19,0.00000000,0.00956800,0.08405522,0.53535134,0.82094876,1.04216286
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-10 00:00:00.000000,0.03399064,0.08611709,0.75746053,7,19,171,1,3,16,0.00547871,0.01579513,0.07480784,0.53529613,0.82094865,1.04215540
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-11 00:00:00.000000,0.02754967,0.07656370,0.65392873,6,17,147,0,2,13,0.00007979,0.01264823,0.06021518,0.53518885,0.82094826,1.04214229
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-12 00:00:00.000000,0.03924921,0.09372694,0.77152269,8,21,174,1,3,13,0.00670446,0.01655553,0.05955187,0.53498070,0.82094689,1.04211901
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-13 00:00:00.000000,0.03083839,0.08628804,0.62751072,6,19,142,0,3,13,0.00116360,0.01436807,0.05790902,0.53457799,0.82094213,1.04207717
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-14 00:00:00.000000,0.04434392,0.10327649,0.78885312,10,23,178,1,3,14,0.00777233,0.01755773,0.06307656,0.53380312,0.81800076,1.04200022
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-15 00:00:00.000000,0.03659102,0.09658869,0.64022398,8,21,144,0,3,15,0.00198435,0.01655954,0.06739865,0.53136494,0.81720419,1.04185298
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-16 00:00:00.000000,0.05214794,0.11548816,0.80742399,11,26,182,2,4,16,0.00896159,0.01921603,0.07434030,0.52542280,0.81553469,1.04155249
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-17 00:00:00.000000,0.04030485,0.10556740,0.65513470,9,23,148,0,4,17,0.00266545,0.01951671,0.07907571,0.52212812,0.81567295,1.04087955
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-18 00:00:00.000000,0.05987523,0.12751742,0.82286126,13,28,186,2,4,19,0.01038715,0.02194833,0.08681339,0.51624099,0.80673154,1.03940492
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-19 00:00:00.000000,0.04323219,0.11507693,0.66478265,9,26,150,0,5,20,0.00318264,0.02259721,0.09029624,0.50668031,0.79548261,1.02163567
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-20 00:00:00.000000,0.06538907,0.14200353,0.83783694,14,32,189,2,5,21,0.01147984,0.02605340,0.09649803,0.49331959,0.77620981,1.01685275
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-21 00:00:00.000000,0.04686643,0.12745133,0.67781654,10,28,153,0,5,22,0.00372199,0.02573937,0.10128686,0.48348503,0.75443855,1.00929551
51820,0,USVirginiaWaynesboro,Virginia,Waynesboro,2020-07-13 02:40:53.688422,2020-03-22 00:00:00.000000,0.06736146,0.15550417,0.85204836,15,35,192,2,6,24,0.01266162,0.03021145,0.10962818,0.47825897,0.74714105,1.00600480
