FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-09 00:00:00.000000,0.00426692,0.01184144,0.03676927,1,4,13,0,1,5,0.00087337,0.00456005,0.01393995,0.51488525,0.56325024,0.86654779
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-10 00:00:00.000000,0.00363234,0.00946538,0.03275246,1,3,12,0,1,4,0.00114293,0.00378582,0.01333570,0.51488934,0.56324947,0.86628438
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-11 00:00:00.000000,0.00385544,0.00964183,0.03244866,1,3,12,0,1,4,0.00112058,0.00382243,0.01303992,0.51489551,0.56324765,0.86579259
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-12 00:00:00.000000,0.00408048,0.01010859,0.03100282,1,3,11,0,1,4,0.00125688,0.00397884,0.01305117,0.51490486,0.56324334,0.86498314
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-13 00:00:00.000000,0.00433906,0.01058719,0.02992134,1,3,11,0,1,4,0.00132816,0.00403531,0.01277213,0.51491902,0.56323315,0.86383180
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-14 00:00:00.000000,0.00461309,0.01104881,0.02887056,1,4,10,0,1,4,0.00142738,0.00403818,0.01286822,0.51494050,0.56320906,0.86153248
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-15 00:00:00.000000,0.00490328,0.01149503,0.02799670,1,4,10,0,1,4,0.00152480,0.00413136,0.01296810,0.51497323,0.56315227,0.85577939
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-16 00:00:00.000000,0.00522482,0.01193031,0.02705810,1,4,10,0,1,4,0.00163003,0.00407390,0.01307391,0.51502346,0.56301890,0.84519350
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-17 00:00:00.000000,0.00555621,0.01235851,0.02621855,2,4,9,0,1,4,0.00173940,0.00418015,0.01319202,0.51422875,0.56270871,0.82566719
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-18 00:00:00.000000,0.00588393,0.01278252,0.02539891,2,4,9,0,1,4,0.00185273,0.00421386,0.01301802,0.51417142,0.56200336,0.79245522
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-19 00:00:00.000000,0.00610371,0.01317551,0.02515618,2,4,9,0,1,4,0.00196756,0.00426437,0.01287087,0.47694233,0.56047855,0.74559773
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-20 00:00:00.000000,0.00625141,0.01335389,0.02487590,2,4,9,0,1,4,0.00208090,0.00423964,0.01316732,0.44358056,0.55751441,0.68088028
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-21 00:00:00.000000,0.00629870,0.01336954,0.02467363,2,4,9,0,1,5,0.00218907,0.00422287,0.01352940,0.42749205,0.55278268,0.65003072
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-22 00:00:00.000000,0.00612895,0.01365264,0.02470978,2,5,9,0,1,5,0.00224028,0.00410222,0.01393241,0.42123672,0.54717512,0.68069338
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-23 00:00:00.000000,0.00593496,0.01416533,0.02453576,2,5,9,0,1,5,0.00208075,0.00406137,0.01436137,0.41885823,0.54245400,0.75522273
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-24 00:00:00.000000,0.00572903,0.01453251,0.02450808,2,5,9,0,1,5,0.00197966,0.00394188,0.01480809,0.41750643,0.53944932,0.77237411
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-25 00:00:00.000000,0.00519035,0.01490835,0.02505042,1,5,9,0,1,5,0.00200115,0.00380883,0.01526707,0.41545366,0.53771441,0.77339189
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-26 00:00:00.000000,0.00455314,0.01526831,0.02611163,1,5,9,0,1,5,0.00204060,0.00371972,0.01573282,0.41062632,0.53633896,0.76834746
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-27 00:00:00.000000,0.00402867,0.01515508,0.02712690,1,5,10,0,1,6,0.00190287,0.00363665,0.01619892,0.39189946,0.53418854,0.75586519
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-28 00:00:00.000000,0.00357272,0.01516343,0.02809450,1,5,10,0,1,6,0.00169020,0.00353797,0.01666020,0.35650126,0.52992748,0.73043525
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-29 00:00:00.000000,0.00318627,0.01525438,0.02902737,1,5,10,0,1,6,0.00149225,0.00344909,0.01712712,0.32261118,0.52348421,0.69450932
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-30 00:00:00.000000,0.00286347,0.01506478,0.02993372,1,5,11,0,1,6,0.00132855,0.00353413,0.01760760,0.30182932,0.51638441,0.68552875
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-03-31 00:00:00.000000,0.00258993,0.01502863,0.03078433,0,5,11,0,1,6,0.00119175,0.00362135,0.01847599,0.29181064,0.50042635,0.68734946
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-01 00:00:00.000000,0.00235398,0.01476893,0.03190943,0,5,11,0,1,7,0.00107544,0.00370962,0.01922180,0.28656540,0.46430540,0.68240695
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-02 00:00:00.000000,0.00214698,0.01441807,0.03285043,0,5,12,0,1,7,0.00097461,0.00379642,0.01977962,0.28221584,0.44961693,0.63999357
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-03 00:00:00.000000,0.00196293,0.01397491,0.03265528,0,5,12,0,1,7,0.00088566,0.00388144,0.02008092,0.27952048,0.44776600,0.60135888
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-04 00:00:00.000000,0.00179782,0.01354238,0.03193523,0,5,11,0,1,7,0.00080618,0.00396528,0.01987630,0.27836611,0.44772393,0.58238797
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-05 00:00:00.000000,0.00167643,0.01312295,0.03095781,0,4,11,0,1,7,0.00073471,0.00404845,0.01936818,0.27796371,0.44817102,0.56784959
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-06 00:00:00.000000,0.00156868,0.01271766,0.03002302,0,4,11,0,1,7,0.00067038,0.00413138,0.01906316,0.27791890,0.44946139,0.57783160
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-07 00:00:00.000000,0.00147043,0.01233407,0.02973132,0,4,11,0,1,6,0.00061256,0.00421449,0.01864035,0.27813261,0.45285098,0.58353536
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-08 00:00:00.000000,0.00137463,0.01191067,0.02902578,0,4,10,0,1,6,0.00056061,0.00429833,0.01820678,0.27867487,0.45590783,0.58675119
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-09 00:00:00.000000,0.00127797,0.01142245,0.02814313,0,4,10,0,1,6,0.00051383,0.00415690,0.01763526,0.27979390,0.45775681,0.58753929
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-10 00:00:00.000000,0.00118989,0.01095766,0.02733701,0,4,10,0,1,6,0.00047887,0.00399805,0.01710383,0.28195467,0.44981596,0.58493481
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-11 00:00:00.000000,0.00109897,0.01040711,0.02659316,0,3,9,0,1,6,0.00045053,0.00377084,0.01661954,0.28573993,0.45570354,0.58064956
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-12 00:00:00.000000,0.00100678,0.00970405,0.02588856,0,3,9,0,1,6,0.00042399,0.00367341,0.01617017,0.29057857,0.45704991,0.60399215
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-13 00:00:00.000000,0.00091145,0.00925870,0.02521538,0,3,9,0,1,5,0.00039823,0.00357809,0.01574185,0.28774896,0.45977844,0.61944468
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-14 00:00:00.000000,0.00082373,0.00889443,0.02485808,0,3,9,0,1,5,0.00037310,0.00343624,0.01532870,0.27811020,0.46368740,0.62074068
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-15 00:00:00.000000,0.00074501,0.00855002,0.02518488,0,3,9,0,1,5,0.00034940,0.00331230,0.01492983,0.26815461,0.46568532,0.62026780
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-16 00:00:00.000000,0.00067591,0.00822737,0.02584122,0,3,9,0,1,5,0.00032754,0.00318786,0.01454813,0.26008610,0.46822026,0.62070373
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-17 00:00:00.000000,0.00061653,0.00792942,0.02650653,0,2,9,0,1,5,0.00030742,0.00307051,0.01422438,0.25358427,0.47127283,0.62561934
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-18 00:00:00.000000,0.00056612,0.00765868,0.02717197,0,2,10,0,1,5,0.00028081,0.00296175,0.01378766,0.24954183,0.47921684,0.62820584
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-19 00:00:00.000000,0.00052376,0.00741473,0.02782682,0,2,10,0,1,5,0.00025832,0.00286281,0.01338149,0.24734568,0.50083452,0.63200855
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-20 00:00:00.000000,0.00048857,0.00697010,0.02848475,0,2,10,0,1,4,0.00023949,0.00277393,0.01313693,0.24651751,0.50409702,0.64000078
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-21 00:00:00.000000,0.00045853,0.00676288,0.02925858,0,2,10,0,1,4,0.00022383,0.00269369,0.01308004,0.24631477,0.52806491,0.64786180
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-22 00:00:00.000000,0.00043196,0.00650337,0.03016319,0,2,11,0,0,4,0.00021038,0.00261962,0.01305139,0.24775173,0.52728766,0.65598612
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-23 00:00:00.000000,0.00040810,0.00634144,0.03110342,0,2,11,0,0,4,0.00019843,0.00254928,0.01311050,0.25064588,0.52143214,0.64604554
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-24 00:00:00.000000,0.00038673,0.00624444,0.03206188,0,2,11,0,0,4,0.00018769,0.00243284,0.01317841,0.26342806,0.51688323,0.66704419
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-25 00:00:00.000000,0.00036786,0.00597151,0.03303075,0,2,12,0,0,4,0.00017805,0.00236065,0.01326767,0.25638698,0.51071471,0.69176761
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-26 00:00:00.000000,0.00035178,0.00556245,0.03399459,0,2,12,0,0,5,0.00016949,0.00228828,0.01340434,0.25320144,0.50544164,0.67758172
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-27 00:00:00.000000,0.00033859,0.00517205,0.03492470,0,1,13,0,0,5,0.00016215,0.00221548,0.01359751,0.25203707,0.50421420,0.68239921
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-28 00:00:00.000000,0.00032736,0.00480160,0.03578167,0,1,13,0,0,5,0.00015610,0.00213825,0.01377586,0.24959820,0.50386745,0.69483895
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-29 00:00:00.000000,0.00031727,0.00455301,0.03653517,0,1,13,0,0,5,0.00015101,0.00204355,0.01394395,0.24469854,0.48147152,0.70407926
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-04-30 00:00:00.000000,0.00030806,0.00444176,0.03718758,0,1,13,0,0,5,0.00014646,0.00192645,0.01411496,0.23982549,0.44873149,0.72436585
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-01 00:00:00.000000,0.00029983,0.00412480,0.03776888,0,1,14,0,0,5,0.00014231,0.00185822,0.01424751,0.23552674,0.43450498,0.75576204
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-02 00:00:00.000000,0.00029258,0.00407449,0.03831218,0,1,14,0,0,5,0.00013856,0.00174397,0.01436854,0.23279508,0.43450097,0.78180140
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-03 00:00:00.000000,0.00028590,0.00403835,0.03884039,0,1,14,0,0,5,0.00013517,0.00169737,0.01439780,0.23178884,0.43445682,0.79660532
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-04 00:00:00.000000,0.00027706,0.00400308,0.03936614,0,1,14,0,0,5,0.00013197,0.00162432,0.01457448,0.23078545,0.42174837,0.80275488
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-05 00:00:00.000000,0.00026732,0.00396841,0.03989532,0,1,14,0,0,5,0.00012781,0.00158417,0.01465518,0.23252444,0.41528341,0.80508400
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-06 00:00:00.000000,0.00025770,0.00393431,0.04042956,0,1,15,0,0,5,0.00012308,0.00150142,0.01466514,0.23694325,0.41628294,0.80624282
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-07 00:00:00.000000,0.00024849,0.00390096,0.04096624,0,1,15,0,0,5,0.00011829,0.00144145,0.01455543,0.24675515,0.41876240,0.80756866
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-08 00:00:00.000000,0.00023986,0.00386910,0.04149455,0,1,15,0,0,5,0.00011329,0.00138391,0.01444685,0.26450839,0.42442048,0.81019116
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-09 00:00:00.000000,0.00023199,0.00384036,0.04198641,0,1,15,0,0,5,0.00010869,0.00130252,0.01428944,0.27742090,0.43941893,0.81491298
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-10 00:00:00.000000,0.00022509,0.00381745,0.04239488,0,1,15,0,0,5,0.00010461,0.00129115,0.01414238,0.29088745,0.45723748,0.81790461
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-11 00:00:00.000000,0.00021929,0.00380651,0.04269526,0,1,15,0,0,5,0.00010108,0.00128103,0.01393378,0.29546255,0.46565167,0.83635161
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-12 00:00:00.000000,0.00021496,0.00369383,0.04291873,0,1,16,0,0,5,0.00009800,0.00127308,0.01355656,0.29913155,0.47053325,0.84046313
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-13 00:00:00.000000,0.00021162,0.00354814,0.04310810,0,1,16,0,0,4,0.00009522,0.00126836,0.01292402,0.31297775,0.47405834,0.83943381
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-14 00:00:00.000000,0.00020925,0.00341754,0.04328905,0,1,16,0,0,4,0.00009266,0.00126683,0.01227265,0.31162812,0.47692157,0.83773428
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-15 00:00:00.000000,0.00020787,0.00330103,0.04347975,0,1,16,0,0,4,0.00009027,0.00126778,0.01156079,0.31335728,0.48430572,0.82895585
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-16 00:00:00.000000,0.00020734,0.00319595,0.04371179,0,1,16,0,0,4,0.00008808,0.00127053,0.01092773,0.32160543,0.51547847,0.82654335
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-17 00:00:00.000000,0.00020722,0.00309932,0.04404997,0,1,16,0,0,3,0.00008633,0.00127457,0.01033288,0.33117738,0.54158402,0.83972233
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-18 00:00:00.000000,0.00020590,0.00300886,0.04455651,0,1,16,0,0,3,0.00008517,0.00127951,0.00982296,0.33431037,0.54453745,0.86400215
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-19 00:00:00.000000,0.00020541,0.00293270,0.04524780,0,1,16,0,0,3,0.00008449,0.00128512,0.00969486,0.33744797,0.54535604,0.88949411
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-20 00:00:00.000000,0.00020551,0.00295534,0.04613151,0,1,17,0,0,3,0.00008418,0.00128890,0.00979088,0.34049530,0.54589112,0.91609242
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-21 00:00:00.000000,0.00020614,0.00298124,0.04718520,0,1,17,0,0,3,0.00008412,0.00125200,0.00990519,0.34165659,0.54755972,0.94034296
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-22 00:00:00.000000,0.00020754,0.00301279,0.04835409,0,1,18,0,0,3,0.00008426,0.00121717,0.01004097,0.34527937,0.55215216,0.94399548
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-23 00:00:00.000000,0.00020979,0.00305163,0.04959088,0,1,18,0,0,3,0.00008470,0.00118444,0.01019863,0.34836628,0.57102476,0.95118796
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-24 00:00:00.000000,0.00021282,0.00309800,0.05086980,0,1,19,0,0,3,0.00008549,0.00115407,0.01037679,0.34972202,0.61253251,0.96729418
51195,0,USVirginiaWise,Virginia,Wise,2020-07-17 19:23:58.138776,2020-05-25 00:00:00.000000,0.00021671,0.00311187,0.05217985,0,1,19,0,0,3,0.00008663,0.00112641,0.01057346,0.34842974,0.63374169,0.98366403
