FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-09 00:00:00.000000,0.08181300,0.37759515,1.20315354,1,8,26,0,2,9,0.01485014,0.09163141,0.42006583,0.54100485,0.73847460,1.08546576
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-10 00:00:00.000000,0.05737870,0.25283617,0.95613358,1,5,21,0,2,6,0.02214239,0.10468343,0.29549575,0.54103615,0.73847484,1.08546580
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-11 00:00:00.000000,0.04768348,0.20620332,0.74246479,1,4,16,0,1,5,0.01077151,0.06308622,0.24482638,0.54109465,0.73847517,1.08546592
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-12 00:00:00.000000,0.03172209,0.14734319,0.59907799,0,3,13,0,1,4,0.01097694,0.05102112,0.18097627,0.54120394,0.73847553,1.08546632
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-13 00:00:00.000000,0.02380242,0.11458458,0.44950557,0,2,10,0,0,3,0.00535618,0.03390982,0.15148058,0.54140794,0.73847536,1.08546765
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-14 00:00:00.000000,0.01367673,0.08001169,0.35891154,0,1,7,0,0,2,0.00556579,0.02849757,0.11018700,0.54178804,0.73847068,1.08547203
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-15 00:00:00.000000,0.01079182,0.06075392,0.23484968,0,1,5,0,0,1,0.00256537,0.01933094,0.08841682,0.54249395,0.75161033,1.08548645
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-16 00:00:00.000000,0.04358552,0.11128605,0.25870967,0,2,5,0,0,1,0.00231098,0.01476271,0.06864812,0.54379705,0.75134385,1.08553394
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-17 00:00:00.000000,0.06540282,0.16122036,0.28074106,1,3,6,0,1,2,0.02355392,0.06325720,0.12195615,0.53501342,0.75607307,1.08569005
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-18 00:00:00.000000,0.09307550,0.21882820,0.41790697,2,4,9,0,1,2,0.02738421,0.06978151,0.13192362,0.52551354,0.75812254,1.08620020
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-19 00:00:00.000000,0.10824526,0.24765887,0.49037828,2,5,10,0,1,3,0.03411588,0.08519419,0.17221648,0.50040325,0.75365645,1.08783675
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-20 00:00:00.000000,0.11889098,0.26928755,0.55870419,2,5,12,0,1,4,0.03713013,0.08938205,0.18318290,0.48053317,0.76760963,1.09278860
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-21 00:00:00.000000,0.12421719,0.28369127,0.60836209,2,6,13,0,2,4,0.03886885,0.09559331,0.19966278,0.46450996,0.75250217,1.10188296
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-22 00:00:00.000000,0.12723209,0.30515305,0.64146669,2,6,14,0,2,4,0.03971104,0.09693268,0.20748146,0.45218867,0.73508459,1.11001552
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-23 00:00:00.000000,0.10153382,0.25926343,0.55287933,2,5,12,0,2,4,0.04017872,0.10090226,0.21571498,0.44877822,0.72785944,1.12013141
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-24 00:00:00.000000,0.07520756,0.20645881,0.45839547,1,4,10,0,1,2,0.02056898,0.06009523,0.13195864,0.44761522,0.72469447,1.12149829
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-25 00:00:00.000000,0.04623856,0.14080189,0.33303854,1,3,7,0,1,2,0.01577124,0.05282669,0.11554617,0.44722818,0.73080023,1.12397738
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-26 00:00:00.000000,0.03320615,0.10528408,0.28794628,0,2,6,0,0,2,0.00850357,0.03144432,0.10139826,0.44763433,0.73719322,1.12711004
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-27 00:00:00.000000,0.01888915,0.07270283,0.23103953,0,1,5,0,0,1,0.00706580,0.02529714,0.08320139,0.43479343,0.74322416,1.11889638
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-28 00:00:00.000000,0.01179691,0.05157426,0.19612970,0,1,4,0,0,1,0.00329282,0.01648245,0.06895242,0.43731925,0.75142193,1.12998380
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-29 00:00:00.000000,0.00675971,0.03570998,0.17843300,0,0,3,0,0,1,0.00208556,0.01302952,0.05803014,0.42797734,0.73809717,1.15104413
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-30 00:00:00.000000,0.00428925,0.02743412,0.15812396,0,0,3,0,0,1,0.00115124,0.00845156,0.04891574,0.41591562,0.73294963,1.16128536
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-03-31 00:00:00.000000,0.00193722,0.01956907,0.13349043,0,0,2,0,0,0,0.00060009,0.00681093,0.04130820,0.40533842,0.74452246,1.17012128
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-01 00:00:00.000000,0.00100456,0.01484617,0.11276570,0,0,2,0,0,0,0.00028860,0.00484619,0.03492053,0.39942550,0.74148074,1.17958541
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-02 00:00:00.000000,0.00052180,0.01114595,0.09528246,0,0,2,0,0,0,0.00016756,0.00367424,0.02952188,0.38432690,0.74082615,1.18104887
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-03 00:00:00.000000,0.00028851,0.00850377,0.08051411,0,0,1,0,0,0,0.00008444,0.00269390,0.02496341,0.37167094,0.72780840,1.18417294
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-04 00:00:00.000000,0.00014918,0.00621627,0.06804286,0,0,1,0,0,0,0.00004686,0.00207977,0.02111433,0.37166702,0.73248412,1.21351326
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-05 00:00:00.000000,0.00007943,0.00450542,0.05751053,0,0,1,0,0,0,0.00002333,0.00147165,0.01786736,0.37326313,0.72745552,1.29980105
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-06 00:00:00.000000,0.00003985,0.00324180,0.04861496,0,0,1,0,0,0,0.00001216,0.00104536,0.01512377,0.36500021,0.72915424,1.30277806
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-07 00:00:00.000000,0.00002015,0.00239625,0.04110097,0,0,0,0,0,0,0.00000585,0.00075715,0.01280565,0.35196022,0.72808234,1.24176907
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-08 00:00:00.000000,0.00000974,0.00166489,0.03475318,0,0,0,0,0,0,0.00000290,0.00052391,0.01082918,0.35479432,0.72388988,1.26385101
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-09 00:00:00.000000,0.00000474,0.00111857,0.02938981,0,0,0,0,0,0,0.00000137,0.00034388,0.00914513,0.35631452,0.72227074,1.30117341
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-10 00:00:00.000000,0.00000223,0.00073754,0.02485726,0,0,0,0,0,0,0.00000065,0.00023924,0.00771602,0.35690261,0.73082286,1.30208606
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-11 00:00:00.000000,0.00000105,0.00053228,0.02097812,0,0,0,0,0,0,0.00000030,0.00016362,0.00650762,0.35682729,0.73263373,1.30325917
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-12 00:00:00.000000,0.00000052,0.00035668,0.01768765,0,0,0,0,0,0,0.00000016,0.00011427,0.00548758,0.33239719,0.72443443,1.33141216
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-13 00:00:00.000000,0.00000029,0.00023942,0.01491246,0,0,0,0,0,0,0.00000009,0.00007922,0.00462716,0.29456683,0.71451022,1.33103437
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-14 00:00:00.000000,0.00000016,0.00016822,0.01257238,0,0,0,0,0,0,0.00000005,0.00005650,0.00390155,0.28610100,0.71224464,1.25385350
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-15 00:00:00.000000,0.00000009,0.00012029,0.01059929,0,0,0,0,0,0,0.00000003,0.00003957,0.00328968,0.28615872,0.72043026,1.23179272
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-16 00:00:00.000000,0.00000004,0.00008690,0.00893555,0,0,0,0,0,0,0.00000001,0.00002913,0.00277370,0.29198567,0.72028366,1.24058690
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-17 00:00:00.000000,0.00000002,0.00005880,0.00753235,0,0,0,0,0,0,0.00000000,0.00002019,0.00233852,0.30232431,0.72707455,1.25281294
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-18 00:00:00.000000,0.00000001,0.00003895,0.00634834,0,0,0,0,0,0,0.00000000,0.00001301,0.00197135,0.30569984,0.73802694,1.28002041
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-19 00:00:00.000000,0.00000000,0.00002731,0.00534869,0,0,0,0,0,0,0.00000000,0.00000869,0.00166131,0.30222753,0.75644565,1.23246992
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-20 00:00:00.000000,0.00000000,0.00001911,0.00450451,0,0,0,0,0,0,0.00000000,0.00000613,0.00139930,0.30142211,0.74178795,1.22092301
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-21 00:00:00.000000,0.00000000,0.00001400,0.00379196,0,0,0,0,0,0,0.00000000,0.00000445,0.00117791,0.30112042,0.73376681,1.26677374
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-22 00:00:00.000000,0.00000000,0.00001028,0.00319107,0,0,0,0,0,0,0.00000000,0.00000327,0.00099111,0.30103784,0.73297035,1.35401719
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-23 00:00:00.000000,0.00000000,0.00000754,0.00268477,0,0,0,0,0,0,0.00000000,0.00000240,0.00083370,0.29029967,0.73946366,1.46804803
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-24 00:00:00.000000,0.00000000,0.00000550,0.00225840,0,0,0,0,0,0,0.00000000,0.00000175,0.00070117,0.27961306,0.73163821,1.47544815
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-25 00:00:00.000000,0.00000000,0.00000399,0.00189940,0,0,0,0,0,0,0.00000000,0.00000127,0.00058959,0.27633407,0.71557114,1.48708383
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-26 00:00:00.000000,0.00000000,0.00000292,0.00159715,0,0,0,0,0,0,0.00000000,0.00000094,0.00049565,0.27486431,0.69834466,1.51424578
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-27 00:00:00.000000,0.00000000,0.00000220,0.00134276,0,0,0,0,0,0,0.00000000,0.00000071,0.00041657,0.26463855,0.68860193,1.57343268
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-28 00:00:00.000000,0.00000000,0.00000167,0.00112873,0,0,0,0,0,0,0.00000000,0.00000054,0.00035005,0.25963990,0.68638628,1.64249154
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-29 00:00:00.000000,0.00000000,0.00000127,0.00094874,0,0,0,0,0,0,0.00000000,0.00000041,0.00029411,0.25767465,0.68894338,1.62374114
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-04-30 00:00:00.000000,0.00000000,0.00000097,0.00079762,0,0,0,0,0,0,0.00000000,0.00000031,0.00024711,0.25699912,0.68174114,1.57688677
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-01 00:00:00.000000,0.00000000,0.00000074,0.00067154,0,0,0,0,0,0,0.00000000,0.00000024,0.00020772,0.25694487,0.67231861,1.51289865
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-02 00:00:00.000000,0.00000000,0.00000054,0.00056560,0,0,0,0,0,0,0.00000000,0.00000018,0.00017510,0.25784020,0.66059792,1.44288613
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-03 00:00:00.000000,0.00000000,0.00000040,0.00047670,0,0,0,0,0,0,0.00000000,0.00000013,0.00014757,0.25289303,0.65720490,1.47385205
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-04 00:00:00.000000,0.00000000,0.00000027,0.00040174,0,0,0,0,0,0,0.00000000,0.00000008,0.00012438,0.23590702,0.65474818,1.48673346
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-05 00:00:00.000000,0.00000000,0.00000017,0.00033855,0,0,0,0,0,0,0.00000000,0.00000006,0.00010483,0.23721014,0.64679573,1.47922039
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-06 00:00:00.000000,0.00000000,0.00000011,0.00028530,0,0,0,0,0,0,0.00000000,0.00000004,0.00008834,0.25200044,0.64175568,1.47579903
53023,0,USWashingtonGarfield,Washington,Garfield,2020-09-28 21:55:52.327127,2020-05-07 00:00:00.000000,0.00000000,0.00000007,0.00024040,0,0,0,0,0,0,0.00000000,0.00000002,0.00007445,0.25085349,0.63778213,1.47425007
