FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-09 00:00:00.000000,0.01763032,0.08883303,0.34828126,3,19,78,0,3,10,0.00000000,0.01447614,0.04598305,0.49453526,0.68329471,1.02445273
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-10 00:00:00.000000,0.02960294,0.14447270,1.17503441,6,32,263,0,4,17,0.00270904,0.01945745,0.07714176,0.49453534,0.68329471,1.02445055
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-11 00:00:00.000000,0.02578758,0.09112230,0.34262153,5,20,76,0,3,9,0.00000000,0.01737951,0.04246917,0.49453575,0.68329469,1.02444652
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-12 00:00:00.000000,0.03147084,0.14978176,1.27729667,7,33,286,0,4,19,0.00362697,0.02108841,0.08662997,0.49453812,0.68329461,1.02443909
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-13 00:00:00.000000,0.03092287,0.09016891,0.34619348,6,20,77,0,4,8,0.00010812,0.01894467,0.03980846,0.49455194,0.68329414,1.02442530
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-14 00:00:00.000000,0.03502631,0.15691321,1.33245716,7,35,298,0,5,20,0.00442957,0.02267775,0.09013282,0.49463266,0.68329153,1.02439957
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-15 00:00:00.000000,0.03285069,0.09481701,0.35690540,7,21,80,0,4,8,0.00019922,0.01964531,0.03835069,0.49510147,0.68327711,1.02435119
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-16 00:00:00.000000,0.03884103,0.16405637,1.36639053,8,36,306,1,5,20,0.00483837,0.02368221,0.09327622,0.49772588,0.68319717,1.02425916
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-17 00:00:00.000000,0.03318184,0.10240081,0.37420090,7,22,83,0,4,8,0.00049555,0.02042908,0.03828489,0.50374128,0.68275579,1.02408119
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-18 00:00:00.000000,0.04101409,0.16494412,1.40340868,9,36,314,1,5,21,0.00531374,0.02540886,0.09613895,0.50515379,0.68036275,1.02372950
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-19 00:00:00.000000,0.03305116,0.10905600,0.39979048,7,24,89,0,4,8,0.00107827,0.02105076,0.03928006,0.50512060,0.67267024,1.02301479
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-20 00:00:00.000000,0.04500716,0.17551990,1.51132250,10,39,338,1,6,22,0.00586328,0.02741773,0.09870762,0.48501819,0.65556114,1.02151304
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-21 00:00:00.000000,0.03496293,0.11428672,0.42584628,7,25,95,0,4,9,0.00121074,0.02170859,0.04235771,0.48032392,0.61759455,1.01790209
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-22 00:00:00.000000,0.04903459,0.18028597,1.63153906,10,40,365,1,6,22,0.00648554,0.02903879,0.10083343,0.46261739,0.59585935,1.01031177
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-23 00:00:00.000000,0.03558748,0.12122964,0.45249615,7,27,101,0,5,10,0.00122856,0.02246801,0.04621781,0.45792989,0.59222533,0.98569384
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-24 00:00:00.000000,0.05014746,0.18188372,1.69337994,11,40,379,1,6,23,0.00717686,0.03006187,0.10273713,0.45672038,0.58992284,0.95322999
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-25 00:00:00.000000,0.03632612,0.13301964,0.48335137,8,29,108,0,5,11,0.00116298,0.02333937,0.05037288,0.45616945,0.58820435,0.93310539
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-26 00:00:00.000000,0.04959454,0.18345008,1.68599802,11,41,378,1,7,24,0.00793079,0.03138580,0.10880088,0.45379634,0.58615368,0.93722244
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-27 00:00:00.000000,0.03594170,0.13870297,0.54226053,8,31,121,0,5,12,0.00107987,0.02409693,0.05473636,0.44174259,0.57986466,0.92426258
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-28 00:00:00.000000,0.05256418,0.18505161,1.67728923,11,41,376,1,7,24,0.00874229,0.03232348,0.10892456,0.44276818,0.56488313,0.91230926
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-29 00:00:00.000000,0.03442417,0.14932943,0.58821032,7,33,131,0,5,13,0.00103850,0.02460315,0.05946910,0.44437744,0.55954269,0.90542419
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-30 00:00:00.000000,0.05670676,0.18886311,1.66816786,12,42,374,2,7,24,0.00969013,0.03296824,0.10883434,0.43123797,0.55931574,0.89067660
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-03-31 00:00:00.000000,0.03311956,0.15836225,0.62306146,7,35,139,0,5,14,0.00090909,0.02529701,0.06466484,0.40761373,0.55550460,0.88813409
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-04-01 00:00:00.000000,0.06109952,0.18971359,1.66333288,13,42,373,2,7,24,0.01057474,0.03381728,0.10845676,0.39782776,0.55930150,0.88309095
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-04-02 00:00:00.000000,0.03229188,0.17110818,0.66022430,7,38,148,0,5,15,0.00067599,0.02635756,0.07044753,0.39528725,0.55714458,0.87348043
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-04-03 00:00:00.000000,0.06587844,0.19124597,1.64140690,14,42,368,2,7,24,0.01146374,0.03398832,0.10780212,0.39466850,0.56286699,0.86580802
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-04-04 00:00:00.000000,0.03023244,0.17345048,0.70226752,6,38,157,0,6,17,0.00046579,0.02807830,0.07681299,0.39392942,0.57567119,0.87653589
53039,0,USWashingtonKlickitat,Washington,Klickitat,2020-07-17 16:21:51.828194,2020-04-05 00:00:00.000000,0.07098970,0.19950250,1.62693697,15,44,364,2,7,24,0.01243492,0.03349395,0.10914204,0.39399536,0.58895274,0.90228984
