FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-09 00:00:00.000000,0.00592926,0.03170930,0.09897416,1,6,21,0,2,7,0.00091872,0.01011080,0.03354385,0.51588263,0.70859729,1.05638798
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-10 00:00:00.000000,0.00328082,0.02946650,0.10242181,0,6,21,0,1,6,0.00074855,0.00873882,0.02991129,0.51587798,0.70856436,1.05638797
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-11 00:00:00.000000,0.00394284,0.03384570,0.11470475,0,7,24,0,1,6,0.00068938,0.00912049,0.03105302,0.51587016,0.70849938,1.05638794
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-12 00:00:00.000000,0.00409162,0.03811616,0.12813613,0,8,27,0,2,7,0.00066024,0.00960080,0.03271326,0.51585704,0.70837126,1.05638782
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-13 00:00:00.000000,0.00425461,0.04289123,0.14846755,0,9,31,0,2,7,0.00064307,0.01009191,0.03481856,0.51583513,0.70811903,1.05638745
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-14 00:00:00.000000,0.00442522,0.04603100,0.16963072,0,9,36,0,2,8,0.00063584,0.01036898,0.03734131,0.51579888,0.70762347,1.05638638
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-15 00:00:00.000000,0.00460346,0.04871532,0.19178215,0,10,41,0,2,8,0.00063662,0.01092826,0.04026279,0.51574018,0.70665017,1.05638436
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-16 00:00:00.000000,0.00478947,0.05237687,0.21507225,1,11,46,0,2,9,0.00065128,0.01164683,0.04357187,0.51564998,0.70470908,1.05638777
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-17 00:00:00.000000,0.00498346,0.05641690,0.23964194,1,12,51,0,2,10,0.00067116,0.01215058,0.04726394,0.51553130,0.70200445,1.05640224
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-18 00:00:00.000000,0.00518576,0.06185289,0.26560416,1,13,56,0,2,11,0.00069122,0.01271093,0.05133978,0.51439426,0.69721472,1.05593483
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-19 00:00:00.000000,0.00539734,0.06733297,0.29297857,1,14,62,0,2,11,0.00071134,0.01332430,0.05580415,0.50269000,0.68970579,1.05301108
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-20 00:00:00.000000,0.00562587,0.07271309,0.32152980,1,15,68,0,3,13,0.00073162,0.01403467,0.06066230,0.49002833,0.68596827,1.06687181
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-21 00:00:00.000000,0.00588275,0.07798496,0.35068614,1,16,75,0,3,14,0.00075222,0.01478739,0.06591190,0.43408709,0.68059860,1.07961455
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-22 00:00:00.000000,0.00615508,0.08274930,0.38016943,1,17,81,0,3,15,0.00077803,0.01555599,0.07153324,0.42658531,0.66841468,1.07928890
54005,0,USWestVirginiaBoone,West Virginia,Boone,2020-09-28 21:58:06.824146,2020-03-23 00:00:00.000000,0.01485590,0.09555404,0.41889144,3,20,89,0,3,16,0.00081101,0.01633662,0.07750019,0.42629400,0.65500808,1.07962506
