FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-09 00:00:00.000000,0.00752706,0.03643676,0.10519186,1,7,23,0,1,6,0.00097415,0.00681201,0.03041627,0.49832356,0.67780669,0.94244521
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-10 00:00:00.000000,0.00509003,0.02084343,0.08212823,1,4,18,0,1,5,0.00184745,0.00758518,0.02656333,0.49832353,0.67780226,0.94244455
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-11 00:00:00.000000,0.00441775,0.01865816,0.07024911,0,4,15,0,1,4,0.00146495,0.00547733,0.02249604,0.49832344,0.67779279,0.94244265
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-12 00:00:00.000000,0.00380750,0.01433694,0.05972539,0,3,13,0,1,4,0.00124888,0.00469089,0.01897546,0.49832303,0.67777253,0.94243715
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-13 00:00:00.000000,0.00335584,0.01276063,0.05036484,0,2,11,0,0,3,0.00106577,0.00390922,0.01660705,0.49832138,0.67772926,0.94242119
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-14 00:00:00.000000,0.00282263,0.01006788,0.04241873,0,2,9,0,0,3,0.00089701,0.00317489,0.01586223,0.49831458,0.67763701,0.94237490
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-15 00:00:00.000000,0.00220946,0.00822520,0.03869110,0,1,8,0,0,3,0.00073129,0.00247168,0.01548392,0.49828664,0.67744127,0.94224064
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-16 00:00:00.000000,0.00153473,0.00727675,0.03534527,0,1,7,0,0,3,0.00056200,0.00213958,0.01503633,0.49817246,0.67737541,0.94185165
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-17 00:00:00.000000,0.00120868,0.00609350,0.03227744,0,1,7,0,0,3,0.00044757,0.00179364,0.01411322,0.49771403,0.67220305,0.94072821
54009,0,USWestVirginiaBrooke,West Virginia,Brooke,2020-09-22 06:41:14.530079,2020-03-18 00:00:00.000000,0.00097113,0.00504198,0.02959969,0,1,6,0,0,2,0.00032818,0.00153924,0.01288073,0.49599918,0.66549796,0.93728646
